"","X133_DCM_0d2.3","X124_DCM_0d45.0d8","X23_DCM_0d2.1d6","X41_SUR_0d2.1d6","X76_DCM_0d2.0d45","X68_MES_0d45.0d8","X37_OMZ_0d2.1d6","X65_SUR_0d2.3","X36_DCM_0d2.1d6","X7_SUR_0d2.1d6"
"COG0001",75,107,75,66,100,135,78,59,59,57
"COG0002",35,48,56,62,69,51,45,79,63,48
"COG0003",3,4,2,1,4,1,1,3,2,0
"COG0004",213,101,255,149,206,74,140,201,202,212
"COG0005",38,46,32,55,50,55,80,50,47,36
"COG0006",188,164,233,189,237,308,283,239,242,222
"COG0007",20,32,13,16,25,25,21,11,20,22
"COG0008",141,147,154,149,179,158,146,165,150,153
"COG0009",47,42,56,76,46,60,32,58,63,36
"COG0010",68,55,72,106,76,72,72,78,87,71
"COG0011",0,3,0,0,1,1,2,2,1,1
"COG0012",93,63,91,107,109,86,71,86,85,90
"COG0013",127,89,133,132,145,166,168,199,196,237
"COG0014",67,50,76,102,77,60,35,93,80,62
"COG0015",101,86,102,118,118,87,91,86,95,99
"COG0016",88,67,73,63,93,75,79,78,69,86
"COG0017",35,53,13,13,46,36,50,35,20,28
"COG0018",139,95,108,170,147,104,111,170,132,118
"COG0019",137,81,118,126,122,109,87,135,148,123
"COG0020",52,42,46,57,56,46,44,47,55,46
"COG0021",132,108,150,131,167,114,154,125,130,145
"COG0022",99,101,92,98,121,93,84,92,82,93
"COG0023",8,5,7,6,6,5,10,7,4,2
"COG0024",56,36,65,50,71,57,57,63,59,60
"COG0025",16,25,20,21,14,39,36,12,10,11
"COG0026",57,30,40,76,66,24,8,55,45,56
"COG0027",8,10,7,31,9,5,1,7,12,8
"COG0028",266,291,317,272,390,405,269,279,285,377
"COG0029",35,49,46,56,32,17,25,17,36,39
"COG0030",56,48,32,71,50,45,58,48,60,36
"COG0031",90,87,101,104,107,101,97,90,79,99
"COG0033",15,14,8,41,5,1,2,4,8,6
"COG0034",104,87,109,121,139,99,87,106,113,135
"COG0035",10,16,16,29,4,8,6,11,9,5
"COG0036",54,45,47,55,76,38,42,57,56,59
"COG0037",97,113,69,101,104,94,128,119,103,77
"COG0038",24,43,32,40,4,40,25,21,19,22
"COG0039",69,60,85,71,98,66,55,79,66,108
"COG0040",32,31,31,38,33,33,33,42,37,40
"COG0041",34,20,31,35,26,21,26,31,36,35
"COG0042",68,58,68,95,76,61,63,61,75,77
"COG0043",38,100,23,4,46,74,63,37,19,16
"COG0044",147,95,135,110,168,143,129,129,114,165
"COG0045",108,69,116,96,144,93,57,115,98,114
"COG0046",102,107,145,88,121,159,209,184,148,173
"COG0047",77,53,105,74,68,79,67,82,76,108
"COG0048",33,26,33,30,45,38,33,28,27,31
"COG0049",35,36,49,32,37,42,36,42,44,40
"COG0050",104,81,114,78,108,87,105,75,64,115
"COG0051",24,13,23,25,20,20,13,23,23,24
"COG0052",62,49,65,50,65,36,29,40,31,38
"COG0053",4,8,6,14,16,35,30,9,9,7
"COG0054",18,20,25,22,26,25,13,28,28,28
"COG0055",115,69,142,107,122,102,76,125,102,164
"COG0056",122,83,176,135,128,85,91,132,147,162
"COG0057",110,88,118,88,85,69,93,114,115,122
"COG0058",16,27,21,58,10,15,23,17,33,10
"COG0059",70,53,86,63,100,57,47,69,81,83
"COG0060",213,149,190,193,262,175,209,243,244,227
"COG0061",55,63,60,59,87,50,69,52,60,50
