"","X23_SUR_0d2.1d6","X70_SUR_0d45.0d8","X93_DCM_0d2.3","X146_SUR_0d2.3","X68_DCM_0d2.0d45","X9_SUR_0d2.1d6","X41_DCM_0.0d2","X133_DCM_0d2.3","X9_DCM_0d2.1d6","X124_SUR_0d45.0d8"
"COG0001",6150,7911,7234,7710,8626,6638,2155,6616,6942,9156
"COG0002",4585,4450,4683,5424,4233,5838,1801,4706,5191,4887
"COG0003",124,584,156,276,194,26,13,282,211,181
"COG0004",25784,14308,14298,17305,23626,17089,7761,17222,17304,13303
"COG0005",3668,4423,2222,5196,4741,3409,910,2980,4017,4641
"COG0006",20939,20784,20023,25223,22770,19473,2702,21058,23821,13818
"COG0007",1087,1241,1442,1072,1215,1667,3518,1407,1516,3555
"COG0008",14459,15497,16012,16061,14790,15535,7438,14511,14947,14052
"COG0009",4777,5643,6181,6145,4991,6360,2339,5664,6140,4961
"COG0010",7533,8119,8532,8850,9224,6411,1009,8088,8624,6790
"COG0011",67,242,66,63,17,93,16,129,179,1207
"COG0012",9036,8614,6976,10103,10427,8791,1958,8339,9188,7748
"COG0013",19578,19173,15551,20453,20930,19213,4865,17928,19733,16417
"COG0014",8702,6555,6224,7362,6357,7991,2640,7026,7416,5994
"COG0015",10503,10202,8184,10512,10856,10698,3796,9921,10766,9667
"COG0016",8511,8189,6989,9033,8365,8227,1764,7518,8498,6506
"COG0017",1480,4549,3569,4854,5128,1476,213,2144,2554,1918
"COG0018",7295,8291,7184,9008,7919,13034,3459,12481,13538,12327
"COG0019",12586,10823,11723,12574,9913,13665,5899,11778,12078,8562
"COG0020",3737,4908,3808,5326,4685,5278,1294,4795,5495,5127
"COG0021",15045,11322,10109,12974,16920,13273,3527,12745,13361,10846
"COG0022",7553,11490,9634,10429,12042,8986,3700,10065,9852,11669
"COG0023",249,763,689,593,613,459,460,604,632,816
"COG0024",6622,6002,4831,6602,7018,3939,1554,3851,4067,3953
"COG0025",1000,2512,3395,1802,1561,1760,3969,1765,1507,5649
"COG0026",5473,5388,5861,5123,4605,6390,1927,5046,5141,6110
"COG0027",998,1780,1076,706,358,1318,2132,1192,747,4527
"COG0028",25601,17205,15543,20387,22776,28421,10019,26944,29021,19394
"COG0029",3863,3902,2884,2270,2746,3259,2763,3367,3179,6510
"COG0030",3841,5693,4294,5875,4464,5749,1610,5117,5715,5770
"COG0031",9508,9969,8331,10123,9636,9774,5726,8619,9796,12092
"COG0033",405,1649,1279,512,458,857,1555,959,840,4550
"COG0034",12634,11022,9867,10930,12337,12126,2997,11742,10956,10914
"COG0035",935,1524,1259,1150,951,1209,1183,1160,1358,2755
"COG0036",5245,5594,4743,6801,6103,5559,1269,5205,5979,5467
"COG0037",5198,6900,6287,7936,6216,10733,4521,9949,10486,9437
"COG0038",2415,3076,2575,2157,1441,2671,1265,1968,2327,6144
"COG0039",9562,6858,6443,8432,9796,7913,1082,7016,7658,3981
"COG0040",4122,3334,3589,4355,3280,4519,1252,3538,3843,3345
"COG0041",4257,3553,3280,3720,4831,3853,781,3570,3886,3233
"COG0042",8270,8779,8977,8040,8109,8484,5088,8047,8203,10802
"COG0043",1740,4440,2530,5998,5050,954,1359,2870,4112,3917
"COG0044",15427,13359,11638,15123,14789,14918,3315,13541,14353,8565
"COG0045",11197,9733,8821,11044,13555,10390,2206,9634,10857,5180
"COG0046",19375,18204,15414,16928,21307,19070,6496,18147,17749,15495
"COG0047",8849,8967,9433,7497,10686,9875,6187,8338,8711,6917
"COG0048",3311,2869,2423,3226,3654,2914,518,3002,2891,2775
"COG0049",3615,3429,2909,3869,4496,3481,838,3506,3732,3419
"COG0050",13414,8388,9063,8826,12174,9946,3664,9448,8845,8745
"COG0051",2691,2351,1920,2286,2630,2429,655,2300,2249,2413
"COG0052",6140,5721,4823,6376,5810,6431,1565,5713,5955,5510
"COG0053",588,445,920,1128,1093,535,1802,895,1378,1251
"COG0054",2705,2939,2417,2687,2299,3131,757,2580,2898,2768
"COG0055",10826,6934,6822,7598,9840,12119,2192,11126,10966,10200
"COG0056",16983,11750,11206,12635,15575,13487,2787,12120,11773,11404
"COG0057",12115,9714,11528,9905,10779,11016,6526,10654,10215,11532
"COG0058",1276,3302,2181,1619,1019,1708,12025,2161,1962,8189
"COG0059",9777,6886,6750,7433,8708,8157,1888,6995,7317,6215
"COG0060",21255,21972,18921,23447,22301,21893,5148,21302,23030,19735
"COG0061",5398,6287,5045,6706,6579,6444,1498,5771,6620,7795
"COG0062",2088,3347,1843,4083,3889,2040,2707,2348,3306,5341
"COG0063",2897,3933,2210,4748,4870,3060,2722,2901,4123,6237
"COG0064",10695,8121,6203,9199,8134,9504,2149,8639,9008,8708
"COG0065",14721,11249,9600,13212,15336,11440,2274,11455,12333,8672
"COG0066",4327,5657,3818,5965,6299,4860,1289,5084,5655,3918
"COG0067",30179,20081,20217,21355,24792,27841,8818,21749,22184,16289
"COG0068",40,273,55,57,249,78,124,83,50,514
"COG0069",42444,27914,30231,29097,35013,35716,10642,31220,31387,23476
"COG0070",29778,18058,18644,20212,23998,26787,8653,20262,21162,13871
"COG0071",3152,2409,2678,2484,2713,4579,34488,9019,4151,3000
"COG0072",16314,16143,14439,17450,14375,17674,4144,15560,16907,14661
"COG0073",15039,14031,14524,13407,12932,15629,7432,13729,14540,12504
"COG0074",9549,7010,6650,8454,11573,7521,1619,7208,7934,3769
"COG0075",6168,7014,3974,5872,4787,5683,358,5053,5409,9637
"COG0076",1280,3114,3941,2950,2506,1106,1615,1673,1909,3783
"COG0077",7048,5715,6104,6339,6319,7322,1807,6199,6527,5402
"COG0078",6241,5395,4646,6376,6018,5911,1804,5279,5954,5005
"COG0079",8978,9059,8292,10780,8209,10029,5526,9405,10170,11031
"COG0080",2092,1939,1664,2066,2766,3395,934,3068,3034,3018
"COG0081",5558,4830,4301,5510,6421,5417,1328,4981,5521,4611
"COG0082",8660,8281,6748,8239,10691,5539,1237,5179,5453,5259
"COG0083",427,938,1135,990,1200,1211,42,996,1290,3594
"COG0084",4978,5105,5914,5388,4689,5671,3568,5027,5558,5683
"COG0085",34999,27388,24926,30065,33058,32602,6422,38928,28853,23535
"COG0086",35861,31538,26188,32386,35773,33372,8227,41911,31683,32810
"COG0087",5401,5035,4086,5878,6958,3387,640,3423,3654,3122
"COG0088",2638,2964,2374,3319,3812,4665,943,4482,4800,4026
"COG0089",1510,1927,1631,2048,2019,1949,462,1916,1945,1953
"COG0090",7278,5826,4874,6516,7902,6400,1242,6049,6169,5689
"COG0091",2849,2669,2195,2926,3179,2903,460,2705,2880,2349
"COG0092",5679,4983,4131,5697,6216,5281,1086,5253,5458,5143
"COG0093",3297,2629,2172,2927,3107,2881,615,2805,2720,2411
"COG0094",4190,3953,3498,4530,3856,2786,656,2866,2894,2525
"COG0095",355,906,206,582,167,481,634,406,572,2518
"COG0096",2800,2840,2398,3198,2764,2913,845,2811,2891,2908
"COG0097",4208,3989,3134,4302,4100,4216,932,3811,4100,3731
"COG0098",4733,4009,3322,4148,5098,4145,628,4066,4259,3785
"COG0099",3105,2861,2352,3332,3388,2951,682,2863,3115,2887
"COG0100",3484,2723,2423,3166,4006,3094,510,2849,3016,2785
"COG0101",5004,5775,5226,5814,5328,5936,1558,5725,6106,5208
"COG0102",3276,3590,2947,3692,3837,2424,609,2276,2427,2217
"COG0103",3105,3114,2508,3358,3300,3178,755,2974,3208,2732
"COG0104",10995,9699,8654,10413,12645,10243,4642,10585,10628,8862
"COG0105",2804,3028,2368,3096,3126,2103,540,1885,2063,2117
"COG0106",4434,3419,3430,4211,3201,4413,1264,3453,3856,3598
"COG0107",4456,2867,3046,3863,3470,5980,1271,4498,4913,4606
"COG0108",7912,7496,6300,7375,7010,8124,2317,6989,7601,8301
"COG0109",7052,7451,6581,8217,9796,7395,1569,7074,7672,6631
"COG0110",2906,2691,3577,3365,3164,3434,2156,2232,2566,3188
"COG0111",19795,16360,17608,18255,15330,18583,6529,16815,18006,14746
"COG0112",11205,9287,8377,9962,12141,9959,2574,10513,10308,8607
"COG0113",7527,6604,6393,6065,6063,7390,1850,6351,6077,6873
"COG0114",9557,10437,7923,9505,11632,9495,2564,9363,9906,9221
"COG0115",14510,14634,13122,15157,15240,14835,3921,15028,15837,13652
"COG0116",1086,2506,3471,945,938,1653,3468,1952,1315,5225
"COG0117",5405,6252,5565,5995,5228,6682,1649,5878,6335,5654
"COG0118",4715,3531,3757,4540,3571,4823,989,3432,3835,3639
"COG0119",24851,17633,17830,21065,22569,20050,11181,19691,20622,13766
"COG0120",1641,2497,1900,1936,2452,1722,1105,1965,2068,3048
"COG0121",112,264,591,197,460,155,1405,131,128,275
"COG0122",3670,3987,3851,4601,4283,4164,918,3915,4810,2130
"COG0123",7899,6468,8109,6758,6090,7856,1439,6439,6997,4553
"COG0124",9322,9832,8095,11126,10522,6642,1472,6271,6808,5430
"COG0125",2544,4074,2203,4878,3544,3378,948,3407,4559,3633
"COG0126",8178,9093,7738,9345,9155,9230,1794,8732,9435,8378
"COG0127",3894,5171,3522,5102,4304,4937,1592,4429,5059,5717
"COG0128",8819,9276,7842,9963,8488,10311,3646,8582,9500,8743
"COG0129",13957,9702,10043,9813,12102,17355,9143,14782,15037,12074
"COG0130",3541,5011,3805,4679,4234,4582,1552,4206,4689,5487
"COG0131",5234,3045,3684,3688,3340,4383,1217,3293,3554,3290
"COG0132",303,633,538,667,484,654,1168,662,784,2534
"COG0133",10026,6955,6515,7615,9160,9111,2905,6717,7524,6254
"COG0134",4344,4719,4496,4599,3659,5512,1457,4257,4718,4601
