"","X138_MES_0d2.3","X34_SUR_0d2.1d6","X7_DCM_0d2.1d6","X41_SUR_0d2.1d6","X124_DCM_0d45.0d8","X142_MES_0d2.3","X67_SUR_0d45.0d8","X56_MES_0d2.3","X124_DCM_0d1.0d2","X132_SUR_0d2.3"
"COG0001",8791,5984,5635,6073,10626,10764,6048,9688,3607,7153
"COG0002",2554,3079,2103,3678,2234,5301,4251,5452,2726,6302
"COG0003",304,387,325,245,361,288,187,134,651,107
"COG0004",12212,18248,20986,17624,10583,10925,12996,10574,7749,16924
"COG0005",6089,4763,3504,5299,4388,5317,2709,5355,1989,5217
"COG0006",26174,24988,20799,20412,17683,27342,21280,22566,8789,19053
"COG0007",2065,773,1773,1218,2047,3787,2429,3089,1932,2117
"COG0008",15033,14667,13427,13106,15303,16104,16642,14955,6398,13627
"COG0009",4406,6129,4326,5809,4291,5400,5958,5480,2447,5744
"COG0010",7885,9532,7967,9562,5572,8966,7800,8603,3656,8664
"COG0011",294,153,75,192,260,130,56,183,190,38
"COG0012",7694,9060,7826,9860,7309,10300,7743,10339,3301,9898
"COG0013",14881,18899,17332,20925,14451,16474,16050,17042,7220,20974
"COG0014",4428,8188,6588,9156,4897,4476,4689,5095,3377,9160
"COG0015",4406,5684,5061,6289,4729,7988,9479,8306,4090,11167
"COG0016",6528,8117,6785,8255,6225,7087,7170,7054,3071,8542
"COG0017",4966,3222,3097,1337,5586,6845,4634,6293,1084,1731
"COG0018",9445,13288,9690,14835,9607,10001,12560,11192,4809,14561
"COG0019",8085,12117,9879,13329,7582,8813,8997,10124,5682,13171
"COG0020",4311,5441,3817,5315,4117,4703,5612,5207,2264,5102
"COG0021",13302,13490,12864,13760,9194,9708,8316,9216,5166,14839
"COG0022",7703,8925,8900,8390,10699,7790,14753,9110,5733,9252
"COG0023",738,496,613,678,669,1151,779,934,272,681
"COG0024",5081,5963,6081,5952,5191,5186,4993,6149,2665,6345
"COG0025",3712,2033,2898,2897,3286,4416,2011,5929,2762,2860
"COG0026",1382,5878,4288,7755,3312,3050,5337,4044,2796,7453
"COG0027",239,675,686,1597,856,363,1202,979,1595,2492
"COG0028",29614,27134,27466,26294,30841,30417,19494,28035,11815,27929
"COG0029",3162,2987,5108,4674,3918,1811,2764,2209,2084,5055
"COG0030",5075,5645,3556,6196,4571,5337,5871,5834,2392,6094
"COG0031",9533,8659,8762,10388,9101,10439,8660,10919,7400,11361
"COG0033",784,1224,1989,3653,1021,510,245,1367,1481,3436
"COG0034",9218,10344,10905,10541,8740,9541,10814,10026,4275,12070
"COG0035",1183,1745,1400,2280,1353,1373,1533,1357,1141,2050
"COG0036",4407,5788,4672,5703,4519,5019,4822,5132,2613,5918
"COG0037",10025,10228,7404,11142,9626,10461,10762,10283,5589,10622
"COG0038",2945,3072,3272,3893,3643,4232,2254,4096,1972,3615
"COG0039",5769,7392,7160,6429,5781,6097,5982,5954,2402,7301
"COG0040",3275,3766,3235,3769,3109,3592,3425,3775,1725,4165
"COG0041",2761,3514,3423,3567,2815,3273,3228,3290,1344,3881
"COG0042",6336,8032,8638,9324,7839,5622,8361,5476,4540,9520
"COG0043",7904,3182,3177,1207,11083,8239,1690,6465,2327,974
"COG0044",13350,13865,11426,11866,10236,12823,12031,12978,4711,13109
"COG0045",7873,9784,8980,9062,7502,9479,9150,9076,3475,9550
"COG0046",17002,16774,16875,16626,14370,15922,16928,15712,6357,19029
"COG0047",7693,7150,7891,7642,7093,8431,9917,7324,3268,8638
"COG0048",2402,2746,3064,2692,2284,2671,2496,2711,1302,2911
"COG0049",3179,3466,3424,3160,2994,3497,3395,3538,1585,3349
"COG0050",9931,8711,12227,9026,8224,3919,4949,3471,2313,5652
"COG0051",1652,2220,2264,2163,1963,1978,2249,1956,1041,2376
"COG0052",4935,5690,5300,5640,4771,2886,3315,3015,1422,3256
"COG0053",3880,1624,778,902,891,3163,1399,2445,1153,485
"COG0054",1867,2819,2695,3216,2511,2214,3014,2328,1187,3366
"COG0055",7849,10914,13410,11433,7651,7188,9436,7026,4631,13326
"COG0056",8637,12253,14186,12915,8281,7849,10873,7789,5279,14918
"COG0057",8803,10633,12191,10419,8590,8948,12064,9210,6073,12249
"COG0058",2878,5312,4558,5812,2631,2036,503,2459,7869,4565
"COG0059",4912,7065,8040,7519,5428,6262,6532,6156,3400,8159
"COG0060",18356,22844,18813,21847,16867,18694,20915,19562,8228,22858
"COG0061",5409,6248,5144,7220,5231,6897,6138,7298,2978,7530
"COG0062",6634,3131,2658,3732,4524,6291,1174,5486,1956,3886
"COG0063",7538,4010,3114,4474,5055,6915,1962,6180,2145,4768
"COG0064",6672,9759,8042,11193,6302,7274,7547,8477,3664,10888
"COG0065",7610,12621,12809,12364,9923,9254,9001,9374,4528,13052
"COG0066",3433,5880,4282,5406,4722,4089,4513,4548,2063,5335
"COG0067",14018,25545,25190,27375,14130,14469,18784,15762,10630,26656
"COG0068",779,35,973,80,740,263,32,232,577,152
"COG0069",22214,33027,35800,36279,19495,23029,25052,22785,13393,36240
"COG0070",12010,23942,24691,24369,13377,11864,17065,13617,9464,24054
"COG0071",4130,6242,8257,7886,3408,3835,4730,5017,34252,4568
"COG0072",11616,17042,12673,17948,11972,11917,14789,12566,6448,17919
"COG0073",10676,14132,13202,13566,11235,10693,15474,10384,6545,13391
"COG0074",6336,7288,7464,6340,6174,4850,3373,4143,1360,3923
"COG0075",7495,6232,6901,7769,7700,8360,4750,7468,3611,7793
"COG0076",3864,2737,3186,3775,3653,4319,3422,3302,4274,3327
"COG0077",2380,3684,3034,3680,2430,4858,5630,5202,2652,6932
"COG0078",3170,3281,2694,2933,2736,6045,4185,5900,2506,5641
"COG0079",12097,9513,7984,12640,9173,10501,8343,12000,7187,12015
"COG0080",2848,3106,2606,2977,2550,2937,2779,2836,1364,2934
"COG0081",4256,5093,5193,5226,4107,4941,4830,4817,2095,5374
"COG0082",2776,4759,4562,4928,3319,5888,6495,6026,3317,9188
"COG0083",1424,1063,1785,1644,1599,1507,638,1398,612,980
"COG0084",5022,4929,4998,5247,4862,5356,5960,5113,3065,5375
"COG0085",23042,27716,30983,26870,22073,23851,33653,23320,16010,30265
"COG0086",23138,31906,35840,30995,23704,20788,33126,21452,18594,35376
"COG0087",4327,5284,4933,5295,4063,4744,4544,5302,2108,5365
"COG0088",1962,2711,2222,2621,1970,4108,4312,4384,1939,4536
"COG0089",1734,2060,1706,1922,1578,1816,1977,1984,860,1852
"COG0090",5103,6377,6884,6540,4714,5435,5350,5451,2617,7157
"COG0091",2275,2795,2657,2702,2193,2395,2568,2547,1051,2927
"COG0092",4255,5208,5644,5326,4151,4418,4907,4426,2178,5491
"COG0093",2078,2585,3019,2705,2101,2265,2338,2227,1062,2811
"COG0094",3722,4186,3708,4017,3307,3679,4158,3991,1820,4116
"COG0095",2762,933,528,1396,1239,1401,382,1644,466,1224
"COG0096",2592,2987,2715,2948,2404,2470,2787,2736,1274,3097
"COG0097",3271,4270,3788,4098,3180,3161,3858,3598,1802,4360
"COG0098",3154,3799,4569,3828,3283,1856,1926,1807,895,2194
"COG0099",2697,2963,2839,2884,2406,2919,2977,2995,1279,3101
"COG0100",2524,2947,3051,2550,2502,2719,2509,2616,1275,2808
"COG0101",3585,6286,4238,5927,4071,3527,5917,3669,2366,5989
"COG0102",2919,3610,3078,3571,2873,3151,3456,3261,1514,3444
"COG0103",2403,3138,2644,2975,2394,2478,2870,2565,1316,3062
"COG0104",7935,9971,10263,10674,7588,7961,8430,8320,7820,10676
"COG0105",3201,2973,2692,3006,2596,2730,2925,2790,1167,2992
"COG0106",1543,2097,1798,2499,1712,3296,2911,3536,1699,4512
"COG0107",4115,4733,4760,5461,4044,4094,3381,4502,2306,6027
"COG0108",4305,8065,6683,8923,5854,5066,6236,5531,3793,8773
"COG0109",5480,7631,6467,7829,5873,7554,6345,6940,3254,8562
"COG0110",3679,2146,2108,2138,3743,4411,3321,4758,2913,2411
"COG0111",19523,18755,15352,17458,20160,9431,9322,8806,5821,10217
"COG0112",8041,10099,10539,10948,7978,8763,8906,8348,5273,10951
"COG0113",3609,6169,6400,7540,4684,4655,5253,5045,2535,8283
"COG0114",5115,9740,8689,9470,7025,5676,7295,6122,3703,10466
"COG0115",12758,14602,12646,14867,13835,13925,15756,14119,5797,15752
"COG0116",1305,1334,2532,2895,2448,1439,3061,1257,1598,2775
"COG0117",3662,6613,4600,6352,4615,1739,3343,2049,1325,3558
"COG0118",3210,4041,2826,4278,3405,3159,3070,3643,1861,4598
"COG0119",17213,20140,19852,19695,15052,17360,17142,16687,10048,20123
"COG0120",806,1177,1347,1080,1053,2665,2219,2357,1060,2252
"COG0121",755,198,436,93,613,585,184,266,480,72
"COG0122",3790,4093,2904,3778,3801,5145,3393,5152,1736,3666
"COG0123",5303,8840,5976,7025,4743,4802,5128,3948,3570,7003
"COG0124",7944,10059,7776,10813,7596,8290,9206,8710,3789,10593
"COG0125",3846,4470,2970,4189,3623,3796,2523,3853,1679,4030
"COG0126",6923,9308,7353,9734,6820,7886,8532,8086,3376,9712
"COG0127",3701,5031,3744,5569,3784,3505,4130,4150,2256,5699
"COG0128",5835,9053,6907,9288,6945,7486,8351,7897,3821,10117
"COG0129",6374,9443,9860,9123,7407,12910,14593,13095,6408,17443
"COG0130",3838,4357,3765,4257,4640,4668,5389,4485,1829,4342
"COG0131",2876,3319,4139,4079,2700,3348,3642,3597,1543,4658
"COG0132",1157,915,1112,1478,1490,2029,732,2274,762,1362
"COG0133",5274,6955,7706,8219,5394,6258,5584,6396,2898,9443
"COG0134",3540,4866,3452,5865,3598,4335,3991,4916,2116,6079
"COG0135",2380,3623,2650,3911,2701,2594,3554,2467,1662,3836
"COG0136",5540,8308,7918,9589,5557,7035,7251,6989,3661,9280
"COG0137",5836,6988,7039,7877,5197,3761,2979,3973,1799,4392
"COG0138",4745,6244,5268,6318,4843,7420,10632,7784,6657,11950
"COG0139",1835,2505,2642,3356,2003,2297,2093,2483,1261,3479
"COG0140",749,1429,1611,2267,1115,1048,1768,1299,852,2268
"COG0141",6432,11704,11078,10988,6749,8131,9788,7592,4207,11763
"COG0142",10855,15233,12162,15071,11890,12811,14243,13309,5423,15338
"COG0143",10459,12240,9448,11776,9467,10916,12063,11254,4776,12323
"COG0144",3995,5357,4676,6032,5372,3966,5654,4315,2128,5805
"COG0145",17714,8116,6328,5132,19723,11510,8791,9630,2657,5048
"COG0146",13836,6288,4642,4073,16516,9615,6322,7980,2374,3991
"COG0147",10346,14365,11485,16383,10335,10892,12502,12796,6296,16569
"COG0148",8158,10152,8377,9749,7927,8889,8468,8941,3870,10078
"COG0149",3931,5351,3820,5266,4009,4060,5015,4790,2113,5257
"COG0150",3420,3723,3431,4722,3460,6614,6889,7215,15921,7847
"COG0151",7478,9536,7186,9327,7631,8833,8662,8426,3407,10096
"COG0152",5404,5597,4811,5375,5134,5421,5946,5504,6719,5899
"COG0153",2800,1646,1555,979,1522,1754,2185,1614,594,1516
"COG0154",22517,24168,20510,23709,27995,25540,16567,22424,8227,25021
"COG0155",4511,2842,3685,5720,4742,5854,3265,5804,3672,5619
"COG0156",7344,5795,7357,6243,8285,8112,9574,9368,2945,6338
"COG0157",3094,4073,3406,5106,3613,3929,3272,4523,1904,4776
"COG0158",1146,881,916,622,1331,1028,1657,831,674,536
"COG0159",3021,4798,3554,5147,3537,3869,3998,4173,1955,5475
"COG0160",9040,4470,3546,3322,6256,7866,7020,5828,2547,3409
"COG0161",6835,6484,6546,6445,6266,13515,10688,11464,4922,12162
"COG0162",7215,9111,6829,9363,7135,8025,8844,7947,3408,9524
"COG0163",2168,845,930,246,1838,1801,482,1450,842,155
"COG0164",3760,4742,3299,4306,3412,4272,4756,4314,2030,4411
"COG0165",6888,8396,6922,9053,5799,8502,6378,8534,3662,9378
"COG0166",7182,9113,6233,10286,7227,7647,8647,9140,3810,10016
"COG0167",8611,8147,5965,8772,6528,7383,7803,7389,4052,8831
"COG0168",8557,12671,9318,12593,8554,9328,9950,9621,5517,13417
"COG0169",4225,6485,4600,6909,5301,5497,6238,6060,3040,6561
"COG0170",2247,761,416,1119,527,826,203,721,417,1087
"COG0171",6129,8769,7983,10354,6865,6150,7050,7271,12407,9275
"COG0172",7331,9414,8110,9857,7179,8458,8922,8586,4048,9797
"COG0173",8772,12252,10686,13880,8771,4108,6696,4575,2498,7857
"COG0174",18812,21833,21775,20710,14405,21777,16892,18497,11311,21325
"COG0175",3694,1780,4182,2730,4721,4521,3110,4629,7934,2494
"COG0176",3591,7627,9018,8720,3774,3708,3682,5354,28906,6286
"COG0177",4107,5338,4082,5492,4204,4437,4664,4563,2825,5467
"COG0178",18653,22046,22103,22379,21200,16814,24327,18452,8711,24292
"COG0179",7062,6851,7374,6203,8767,10002,8705,9241,2814,7001
"COG0180",6581,8377,6817,8280,6245,7303,7359,7289,3428,8487
"COG0181",3617,6941,5662,7843,5053,4718,5923,5406,2827,8065
"COG0182",4378,3593,2205,2897,2939,4448,1119,3824,1855,2833
"COG0183",25494,20255,20537,14828,22623,23656,21290,22430,7298,16429
"COG0184",1849,2137,1738,2000,1912,2373,2360,2443,806,2042
"COG0185",1813,2232,2195,2122,1650,1837,1805,1957,832,2177
"COG0186",1426,1681,1610,1541,1526,1649,1816,1832,887,1545
"COG0187",16948,22231,23032,21731,19104,16466,31492,16169,11746,24082
"COG0188",19001,26757,27570,28289,21686,17692,33154,19368,13457,31392
"COG0189",5295,6721,8516,9241,6266,7916,6356,7888,13164,7634
"COG0190",5684,6762,6396,6797,5009,6435,5999,6294,2702,7122
"COG0191",2384,2504,2849,3996,1896,1545,3996,2110,1161,4333
"COG0192",7350,9403,9700,9121,7107,8028,8345,7917,4624,9736
"COG0193",3312,3976,3082,4136,2861,2613,4381,3120,1661,4339
"COG0194",2770,3694,3168,4119,2876,2477,4480,3031,2226,3918
"COG0195",4440,5699,5978,5840,4045,7472,10036,7887,4283,12240
"COG0196",4460,6355,3973,6642,4215,4202,7038,4830,2593,6592
"COG0197",2473,3075,3297,2855,2506,2757,2857,2618,1322,2960
"COG0198",1701,1654,1545,1634,1711,1855,2132,1857,699,1753
"COG0199",858,1917,1656,1946,1288,1040,2049,1285,978,1886
"COG0200",2490,3054,2641,2928,2561,2926,3178,3023,1336,3023
"COG0201",7988,10061,10353,9526,8147,8197,8882,8224,4271,10489
"COG0202",7000,8242,7944,7415,6348,6244,8130,6659,4390,7669
"COG0203",2303,2699,2560,2658,2185,1987,3299,2221,1230,2859
"COG0204",10745,11800,9481,11153,12466,9279,13095,8310,5964,10580
"COG0205",4601,4567,4428,4003,4015,3735,5994,3529,1327,4600
"COG0206",7745,10579,11371,9468,8023,8439,7891,8401,4145,10637
"COG0207",1553,2667,4302,2560,3388,2189,7989,1939,20338,2780
"COG0208",3430,11372,19454,13683,4413,3377,14784,5251,67410,8501
"COG0209",18260,32690,50747,35712,19911,19705,35305,22563,192453,25106
"COG0210",19558,17863,17995,22184,17094,17694,18795,19408,98104,20009
"COG0211",1250,1824,1913,1861,1346,1260,1649,1340,802,1868
"COG0212",2205,2940,2095,2902,2208,3031,3485,3296,1278,3147
"COG0213",3362,1586,1227,1045,2499,1923,1297,2255,377,1213
"COG0214",1750,1497,1218,762,1630,1562,537,1178,398,648
"COG0215",8615,10878,8129,11921,8515,8936,9557,9794,3950,12311
"COG0216",6218,7448,7137,7952,5509,5317,7069,5545,3076,8768
"COG0217",3906,4763,4127,4130,3682,3653,4975,3632,2270,4301
"COG0218",758,966,955,846,1031,1664,3699,1411,664,1784
"COG0219",1639,3021,2373,3252,2109,2113,1828,1952,1510,2974
"COG0220",1548,2443,2096,2589,2840,1738,4016,2024,1232,2834
"COG0221",424,1197,1391,2382,1038,748,511,1450,2865,2443
"COG0222",2160,2526,2443,2964,1975,1744,2680,1809,1101,2992
"COG0223",6720,8136,6273,8806,6930,6253,7721,6180,8748,8733
"COG0224",5183,6849,6565,7452,4866,4685,6264,4845,2868,7786
"COG0225",3823,5856,5096,7420,4718,5227,7033,5170,2758,7981
"COG0226",1273,8217,15187,6130,2728,1444,2625,2250,6125,10377
"COG0227",1189,2107,1594,2155,1175,1230,1975,1364,930,2057
"COG0228",1329,1715,1536,1591,1084,1748,2992,1943,1082,2915
"COG0229",3266,3979,4034,4199,3274,3603,4999,3446,2005,4845
"COG0230",210,238,149,362,127,214,353,210,58,411
"COG0231",3661,4090,4239,4197,3766,3905,3951,3896,2020,4336
"COG0232",3420,5298,4002,5604,3290,3643,4041,4330,2304,5181
"COG0233",2654,3447,3272,3584,2659,2503,3817,2645,1426,3653
"COG0234",2373,2439,2713,2770,2006,1804,3007,1827,12385,2730
"COG0235",2829,5544,4747,4235,5745,4979,3818,4018,2682,4164
"COG0236",1502,1474,1813,1567,1565,1283,1937,1512,973,1987
"COG0237",3576,4275,2561,4318,3444,3846,4302,3687,1661,4160
"COG0238",1227,1517,1063,1582,1103,1154,1661,1180,620,1540
"COG0239",414,557,613,394,813,586,1043,500,286,539
"COG0240",5279,6027,4556,5388,4210,4954,5975,4661,1993,5699
"COG0241",2593,1709,1902,1303,2002,2394,2148,1870,938,1657
"COG0242",3877,4860,5870,7139,4034,3272,5484,3886,12206,5480
"COG0243",28199,10371,11941,7961,16080,7475,4659,5930,3036,4147
"COG0244",3561,4486,4376,4284,3619,3839,3998,3681,1747,4351
"COG0245",2927,5046,3026,5392,3001,2267,3320,2992,2135,5329
"COG0246",665,1729,2302,1300,1459,1606,3394,1665,1201,1285
"COG0247",11569,9040,6776,5636,6338,15724,12691,11011,3929,8617
"COG0248",2371,4202,5446,6012,4500,2998,4558,3878,3205,5946
"COG0249",8470,8364,8942,11543,9846,7013,14748,7928,5099,11543
"COG0250",4191,4204,4275,4236,4030,3573,4337,3459,1827,4068
"COG0251",6887,5335,4860,4415,7527,6782,5982,5586,2115,4536
"COG0252",2063,1378,1566,548,2620,3379,2726,2820,1246,511
"COG0253",3103,6131,4403,7201,3879,3602,5170,4039,2492,7043
"COG0254",1239,1594,1612,1668,1395,662,1034,722,406,976
"COG0255",506,232,326,169,404,339,482,367,192,181
"COG0256",2186,2379,2276,2335,2083,2532,2499,2681,1116,2216
"COG0257",32,153,229,73,71,111,126,85,96,69
"COG0258",7149,11091,10321,13526,7287,12816,22279,14503,42145,19491
"COG0259",2105,3568,2971,3462,2168,2359,3823,2517,1406,3532
"COG0260",7925,10650,10394,10642,9629,7757,7938,6932,5160,10492
"COG0261",1865,2950,2569,3374,2154,2028,3056,2165,1123,3268
"COG0262",1393,1447,1659,1348,2007,1478,4092,1911,1153,1675
"COG0263",4165,6921,5844,8701,4460,2442,2164,2745,1903,4562
"COG0264",3849,4805,4736,5270,3815,3595,6017,4027,2453,5413
"COG0265",18938,15401,14577,14501,19498,13554,13034,13442,9267,15570
"COG0266",3348,7181,4380,6692,5263,4366,4393,5386,3659,6336
"COG0267",421,639,557,727,515,477,777,509,400,666
"COG0268",901,1709,1284,1651,1086,1021,1557,1144,759,1631
"COG0269",739,109,40,23,46,170,103,244,4,29
"COG0270",2705,3425,4597,4862,4359,2722,4703,2793,66899,2921
"COG0271",1071,1528,1221,1573,1225,992,1234,1057,572,1607
"COG0272",10881,14688,11508,14894,10762,8953,14693,9934,11609,13892
"COG0274",2448,1921,1577,2238,1486,970,1117,890,1409,1258
"COG0275",4648,6330,4340,7146,4161,4015,6462,4651,2374,6772
"COG0276",3076,6531,6266,8159,5331,3272,6115,4098,3477,8748
"COG0277",22772,20945,17791,19299,18864,20066,16443,18833,9973,17705
"COG0278",1567,2052,1552,1835,1442,1554,1320,1439,859,2021
"COG0279",3197,1648,1666,1895,2417,2522,1238,2136,3099,1941
"COG0280",5242,10604,11113,9284,6032,6674,9526,8151,3854,9846
"COG0281",5558,9084,10094,7553,6458,6959,9270,6210,4068,8215
"COG0282",1036,312,1045,127,1077,875,340,964,688,93
"COG0283",3279,4530,3628,5295,3313,2947,4148,3206,1977,5075
"COG0284",4617,5243,3972,5325,4358,4445,4985,4671,2216,5375
"COG0285",6588,8727,6212,8969,6241,5558,7101,6050,3347,8748
"COG0286",2002,1021,3096,1434,4338,3483,1586,4153,4561,1228
