"","X23_SUR_0d2.1d6","X76_MES_0d2.3","X38_OMZ_0d2.1d6","X149_MES_0d2.3","X64_SUR_0d2.3","X70_MES_0d2.3","X122_DCM_0d1.0d2","X123_SUR_0d2.0d45","X148_MES_0d2.3","X122_DCM_0d2.3"
"COG0001",5987,12546,7766,12010,6762,8429,3340,6635,12557,7042
"COG0002",4612,5641,4969,5796,5923,4545,2683,4730,4882,4656
"COG0003",105,329,116,180,229,186,407,249,297,294
"COG0004",25654,10667,16713,11326,17775,9707,5797,15133,10879,11343
"COG0005",3672,5392,7002,5995,5665,3380,916,4734,5386,4796
"COG0006",20884,26541,31285,31484,22236,6815,3488,7940,8802,7299
"COG0007",1575,3657,5727,3124,1858,5002,3764,500,2485,2154
"COG0008",14470,15677,14469,16311,14300,14303,7945,16337,15919,14228
"COG0009",4698,5465,5426,5667,5837,4368,3223,6732,5432,5655
"COG0010",7342,8353,8890,10574,9466,8346,2558,7692,10007,8139
"COG0011",60,82,313,109,161,33,11,4,80,188
"COG0012",9121,10182,8086,11533,10280,7320,2865,9820,10675,7701
"COG0013",19667,15801,16334,18469,21681,12419,6548,21496,18751,19318
"COG0014",8765,4781,6415,4909,8509,4353,2768,8372,5209,7011
"COG0015",10451,7536,9136,9406,11290,6282,3299,12050,10649,9653
"COG0016",8492,6992,6902,7768,8800,5267,2343,8768,8170,7455
"COG0017",525,2096,1233,2342,946,4712,1976,3344,7249,2910
"COG0018",10866,9511,11008,10871,14987,7877,4303,15097,12332,12303
"COG0019",12463,8715,11186,9758,12671,8333,6524,14223,9461,11324
"COG0020",3754,4709,4484,5145,5559,3720,2155,7200,5396,5574
"COG0021",15315,9582,15949,10545,14663,9334,5723,15611,11051,14353
"COG0022",7599,7016,7977,8423,10705,4737,3776,12648,11196,9619
"COG0023",284,973,412,981,731,1100,637,310,914,542
"COG0024",6706,5379,5359,5679,6475,4676,2401,6639,6469,5939
"COG0025",979,3037,2666,2732,2876,4420,4557,1102,2047,3043
"COG0026",5547,3037,1608,2886,6991,3249,2638,5511,3072,3678
"COG0027",953,601,67,245,2402,791,536,176,382,1079
"COG0028",38645,39149,31026,40318,27316,26896,10931,26107,36849,30614
"COG0029",3860,1779,2768,1151,4393,3124,2714,1269,1451,2722
"COG0030",3790,5271,5086,5788,6291,4090,2279,6710,5970,5726
"COG0031",9552,10046,10174,10829,10692,8133,6179,8726,10189,9221
"COG0033",428,473,276,119,3241,2352,1887,16,146,1337
"COG0034",12624,9705,10270,10555,11581,7337,3571,11755,10463,9871
"COG0035",920,1319,1273,1117,2020,1357,1242,1180,880,1585
"COG0036",5298,4703,4930,5614,6278,3838,2064,6683,6223,5381
"COG0037",7652,10269,11190,10975,11684,9079,5756,12769,11091,10723
"COG0038",2445,3645,2467,3450,3375,1394,927,146,816,888
"COG0039",9511,5672,6243,7002,7314,4462,2415,9135,7676,6944
"COG0040",4152,3440,3900,3966,4002,3050,1704,3287,3749,3897
"COG0041",4165,3240,3292,3691,3811,2555,1397,3762,3457,3318
"COG0042",8198,5342,6949,5411,9529,7096,5896,7573,6433,8031
"COG0043",1735,8005,5616,8590,2665,6387,2597,1452,10006,5528
"COG0044",15569,14177,14202,15794,13003,9405,2823,16085,15248,12417
"COG0045",11324,9006,8228,11053,9928,7056,3181,13009,9973,8751
"COG0046",19093,15295,18281,17056,17914,13803,7450,18610,17310,16199
"COG0047",8818,7210,6999,7795,7976,9145,5602,9873,7362,7582
"COG0048",3357,2610,2566,2791,2955,1921,1327,3153,2831,2824
"COG0049",3647,3551,3087,3892,3455,2594,1405,3769,3858,3615
"COG0050",13447,6887,10112,7724,9077,6745,5252,9747,7971,8166
"COG0051",2621,1833,1880,2062,2256,486,350,818,685,761
"COG0052",6163,5014,5550,5672,6055,3903,2047,6534,5762,5810
"COG0053",610,2998,4076,2721,867,2179,807,1419,1568,997
"COG0054",2710,2232,1939,2286,3299,2057,1062,3154,2545,2761
"COG0055",16272,6502,9451,7868,12389,1918,1390,4266,2912,3348
"COG0056",16957,7285,10654,8720,13890,6239,4955,14201,9198,11639
"COG0057",12194,8290,8421,8141,10099,8757,7542,10695,8654,9933
"COG0058",1292,2875,2577,1607,4883,3506,8959,678,791,2658
"COG0059",9696,5998,5746,6722,7793,5750,3682,7752,6588,6474
"COG0060",21341,19021,20495,21396,23194,14673,7031,24626,21778,21415
"COG0061",5396,6737,5408,7318,7210,5085,2093,6766,6840,6142
"COG0062",715,1954,2465,2218,1392,5300,2920,2139,5758,4182
"COG0063",2944,6784,8178,7597,5012,5692,3114,2783,7151,5081
"COG0064",10852,7995,7804,8650,10604,5211,1783,10423,7851,9101
"COG0065",14504,9376,8810,10562,12536,7193,3124,12107,11783,10000
"COG0066",4289,4063,4087,4727,5748,3161,1684,5371,6300,5547
"COG0067",30168,14371,19868,15552,25494,13794,9485,25152,15402,21415
"COG0068",43,319,741,164,34,1860,2272,21,105,275
"COG0069",42798,21794,29041,24355,34134,20167,13412,33035,23319,29020
"COG0070",29505,11612,15631,12951,23663,12147,9462,22725,13253,20179
"COG0071",4639,4240,3855,4092,4566,3022,21949,4638,4107,4486
"COG0072",16413,11716,12522,13058,18387,9493,5008,19060,15218,16422
"COG0073",14956,10214,11039,10566,14203,11347,6832,17166,11020,14641
"COG0074",9588,8557,6794,9873,7270,6159,2148,9506,8005,7286
"COG0075",6087,9828,6094,9563,6791,7523,3453,3247,8090,5170
"COG0076",1235,3789,4275,3686,4029,3806,3265,2778,3074,3030
"COG0077",6935,4755,4951,5480,6554,4631,2992,7312,5482,6068
"COG0078",6326,6160,5730,7377,5640,4607,2559,5451,6717,6116
"COG0079",8976,11004,12648,11093,11329,10611,7854,8551,10465,9258
"COG0080",3119,2966,3057,3227,3166,2228,1460,3299,2988,2936
"COG0081",5439,4814,4787,5185,5622,3645,2162,5475,5093,5185
