"","X36_DCM_0d2.1d6","X34_SUR_0d1.0d2","X30_SUR_0d2.1d6","X68_MES_0d45.0d8","X57_SUR_0d2.3","X138_SUR_0d2.3","X140_SUR_0d2.3","X146_SUR_0d2.3","X111_MES_0d2.3","X9_SUR_0d2.1d6"
"COG0001",6477,2258,6285,11358,6432,7597,6105,7775,10991,6805
"COG0002",5712,1785,7000,4620,5439,5985,5788,5430,5785,5899
"COG0003",251,666,9,318,212,236,279,249,156,33
"COG0004",18100,8098,18217,9121,17702,18392,17717,17334,13910,16935
"COG0005",4047,1549,3574,5557,5098,1706,1465,1641,2070,1096
"COG0006",8188,2450,6928,10323,6999,19710,21311,24982,31065,19538
"COG0007",1367,427,839,3357,2550,1987,1670,1634,4242,1671
"COG0008",14304,6348,12793,16008,13911,13729,14838,16137,16841,15837
"COG0009",6222,2082,7776,4944,5726,5784,5804,6001,5729,6405
"COG0010",9562,2912,6197,9143,9999,3032,2559,3038,3517,2176
"COG0011",105,22,19,106,325,443,168,56,53,82
"COG0012",8655,3403,8993,8667,9188,10207,9136,10092,10925,8871
"COG0013",18382,6937,18630,15315,21897,20953,19647,20197,17659,18993
"COG0014",8801,2417,6482,4928,8225,8741,8432,7340,5383,8064
"COG0015",9910,3678,11337,9452,10776,11448,10371,10664,9248,10838
"COG0016",8123,3134,6971,6739,8463,8743,8155,9051,7660,8014
"COG0017",2130,1967,2044,4850,2431,2092,2157,4908,6671,2164
"COG0018",12784,4818,13134,10445,14519,14483,14015,13488,11560,12985
"COG0019",13354,4561,14705,8720,12237,13243,12947,12213,9103,13866
"COG0020",4641,1940,5491,4955,5185,5273,5555,5338,5077,5228
"COG0021",13709,4124,16809,11703,14536,14689,14149,13075,12080,13331
"COG0022",7479,10244,10531,10329,8956,9889,9404,10427,7837,9005
"COG0023",329,252,386,760,548,706,538,600,887,488
"COG0024",5580,2250,7147,5049,6075,6237,5879,6520,5594,5898
"COG0025",1350,1029,1172,2461,2958,2945,2136,1759,2371,1745
"COG0026",5937,1694,7161,2248,6462,7152,5984,5188,2903,6386
"COG0027",1135,689,570,336,2383,2466,1774,761,180,1330
"COG0028",28059,27961,26634,40935,25107,26786,25448,30544,34662,28681
"COG0029",3065,1026,3531,1881,4641,4570,3627,2280,1896,3241
"COG0030",5377,1762,6181,5296,5414,5969,5720,5821,5683,5679
"COG0031",7922,5663,10099,9664,9909,10976,8686,10209,10767,9617
"COG0033",259,104,110,59,1223,3157,1931,562,110,917
"COG0034",11129,3744,12701,9924,12393,11268,10696,10897,11104,12082
"COG0035",1093,539,677,1432,1847,2056,1856,1207,1526,1206
"COG0036",5483,1798,5630,4898,5672,5929,5653,6638,5729,5415
"COG0037",10880,4106,9577,9495,10709,10593,10687,11778,10704,10574
"COG0038",684,241,405,1134,1479,3599,2793,2170,3609,2724
"COG0039",7411,2278,6716,6662,6810,7007,6834,8312,7067,8031
"COG0040",4165,1250,3995,2958,3739,3697,3909,4404,3559,4476
"COG0041",3312,1145,4242,3085,3706,3715,3274,3722,3493,3803
"COG0042",7768,2690,10305,6371,9506,9154,8094,8151,6247,8453
"COG0043",1807,867,368,6815,2356,1142,1692,6053,7902,903
"COG0044",14071,4628,16652,14456,13260,12334,13107,14936,14950,15000
"COG0045",10227,3122,9272,9974,9115,9868,9710,10973,10276,10208
"COG0046",16990,5671,17634,16474,18318,17795,17124,16984,18125,18901
"COG0047",7638,2748,9968,8430,7631,8111,8384,7518,8661,9802
"COG0048",2536,1102,2170,2407,3007,3066,2705,3249,2869,2858
"COG0049",3187,1409,2314,3337,3581,3417,3380,3923,3879,3529
"COG0050",8812,2987,8175,8826,9498,10093,9801,8886,8463,9955
"COG0051",2199,798,1706,1949,2368,2385,2366,2314,2214,2509
"COG0052",5388,2109,4961,5164,5867,5885,6028,6280,5668,6359
"COG0053",956,619,649,3689,1268,219,513,381,1223,183
"COG0054",2743,988,2865,2274,3229,3104,3046,2799,2261,2971
"COG0055",11223,3468,10806,8194,12447,12690,11606,11468,8367,12360
"COG0056",12450,3771,11959,9008,13922,14415,13178,12694,9763,13507
"COG0057",10735,3643,12015,7336,11574,9947,11741,9895,8436,10851
"COG0058",4185,21511,938,1859,6383,5347,4174,1577,1899,1749
"COG0059",7029,2364,7827,5411,7615,7986,7764,7447,6407,8053
"COG0060",7239,2740,7354,6071,7698,22502,22651,23091,21183,22211
"COG0061",5813,1984,6948,5440,7518,7193,6593,6745,6994,6290
"COG0062",2218,967,1460,6205,3847,3995,2886,4202,6982,2148
"COG0063",2840,1203,2597,6968,4606,4977,3671,4853,7747,3096
"COG0064",9843,2954,9345,7192,11299,10833,10209,8988,8127,9428
