"","X94_SUR_0d2.3","X138_MES_0d2.3","X146_SUR_0d2.3","X68_SUR_0d45.0d8","X72_MES_0.0d2","X122_SUR_0d2.0d45","X152_SUR_0d2.3","X9_DCM_0d2.1d6","X82_SUR_0d2.3","X145_MES_0d2.3"
"COG0001",698,862,770,799,285,715,781,722,864,1158
"COG0002",598,418,574,522,242,466,508,565,467,528
"COG0003",8,45,25,24,35,29,19,20,23,11
"COG0004",553,443,584,455,224,1363,1748,1759,1147,1099
"COG0005",397,609,511,448,211,462,413,398,342,655
"COG0006",2114,2641,2596,1875,775,2258,2302,2452,2336,3034
"COG0007",174,381,180,269,338,18,43,49,81,119
"COG0008",1468,1464,1661,1532,857,1566,1640,1546,1614,1776
"COG0009",652,441,621,545,212,682,604,635,591,565
"COG0010",835,807,829,746,202,792,901,843,1123,947
"COG0011",5,38,5,36,4,16,10,10,2,7
"COG0012",805,809,1007,958,316,1031,966,924,722,1073
"COG0013",1999,1433,1985,1980,716,2169,2115,1961,1640,1794
"COG0014",908,466,697,700,405,681,695,750,505,447
"COG0015",1033,819,1015,1055,408,1233,1137,1101,810,919
"COG0016",780,669,952,808,274,835,867,863,783,774
"COG0017",229,467,463,407,65,404,421,386,353,657
"COG0018",1359,965,1346,1336,488,533,459,476,360,359
"COG0019",1372,811,1177,1011,823,1185,1141,1228,973,825
"COG0020",473,423,518,590,213,650,538,541,435,560
"COG0021",1360,1362,1345,1213,578,1651,1210,1301,834,1077
"COG0022",817,768,1058,1186,498,1128,1118,1009,1364,906
"COG0023",42,77,66,103,3,38,63,57,73,121
"COG0024",214,155,193,206,132,630,696,633,495,555
"COG0025",214,390,167,383,488,147,182,137,178,305
"COG0026",669,162,518,513,299,451,565,468,509,328
"COG0027",166,54,78,352,78,77,133,68,136,20
"COG0028",3084,2875,3073,2401,1373,2546,2968,2888,2262,3834
"COG0029",329,298,239,584,264,226,366,316,270,159
"COG0030",566,469,637,645,173,645,576,549,444,535
"COG0031",1023,844,960,1117,754,967,952,985,785,1072
"COG0033",139,86,64,381,91,73,110,69,39,18
"COG0034",1260,886,1117,1141,380,1224,1238,1110,1107,1087
"COG0035",46,33,40,69,30,97,149,142,112,143
"COG0036",574,454,688,659,179,642,620,619,452,542
"COG0037",1039,963,1217,1021,495,1251,1064,1082,1077,1129
"COG0038",254,319,220,461,211,119,222,212,289,350
"COG0039",810,603,834,569,265,849,778,784,625,688
"COG0040",425,363,428,375,181,326,341,383,346,369
"COG0041",126,103,127,129,41,382,380,358,328,384
"COG0042",901,589,856,1106,537,858,904,836,836,565
"COG0043",72,828,623,521,86,229,362,418,175,812
"COG0044",1417,1348,1516,1190,787,1428,1428,1451,1345,1496
"COG0045",1214,736,1060,780,348,1229,1130,1060,892,1024
"COG0046",1950,1751,1687,1798,640,2009,1893,1822,1652,1792
"COG0047",992,768,734,852,277,994,1051,871,944,825
"COG0048",260,246,309,338,106,312,288,283,340,305
"COG0049",359,321,382,397,125,373,365,358,464,409
"COG0050",898,1009,913,870,507,926,849,931,1113,755
"COG0051",218,160,215,248,85,254,250,265,266,189
"COG0052",585,514,658,590,222,617,655,619,691,562
"COG0053",34,429,91,89,161,73,83,137,50,343
"COG0054",308,207,273,310,131,325,292,263,349,251
"COG0055",425,256,365,334,104,1235,1201,1099,1270,749
"COG0056",1316,909,1323,1216,404,1382,1341,1233,1471,826
"COG0057",1000,936,997,1015,480,1022,1037,1097,1093,812
"COG0058",218,265,154,657,241,247,203,199,35,215
"COG0059",778,517,757,690,289,693,762,717,673,655
