"","X122_DCM_0d45.0d8","X68_SUR_0d2.0d45","X122_DCM_0d2.3","X57_SUR_0d2.3","X100_MES_0d2.3","X72_SUR_0d2.3","X123_DCM_0d2.0d45","X133_SUR_0d2.3","X125_DCM_0d45.0d8","X56_SUR_0d2.3"
"COG0001",373,392,347,336,442,311,636,388,474,336
"COG0002",240,301,203,275,233,312,311,285,250,298
"COG0003",20,3,22,10,10,13,7,4,21,7
"COG0004",560,802,545,895,805,748,539,925,674,905
"COG0005",196,257,237,260,314,262,278,154,273,283
"COG0006",726,1335,1104,987,1629,908,1007,1057,793,1020
"COG0007",211,65,101,117,215,108,170,88,182,107
"COG0008",684,753,710,667,776,641,776,712,663,722
"COG0009",236,312,311,267,263,255,258,322,282,273
"COG0010",257,460,382,449,475,402,367,371,402,474
"COG0011",31,0,8,17,6,11,8,6,67,18
"COG0012",342,526,404,444,410,445,429,444,426,526
"COG0013",787,1112,1049,1092,792,955,815,929,887,1069
"COG0014",293,406,351,432,299,424,293,396,313,466
"COG0015",395,601,480,521,435,504,515,517,537,612
"COG0016",274,417,343,404,290,371,399,372,361,445
"COG0017",150,200,146,123,237,78,306,100,220,102
"COG0018",520,829,598,722,551,643,583,680,687,693
"COG0019",431,766,554,631,515,607,501,635,426,649
"COG0020",239,325,267,262,237,254,244,236,251,241
"COG0021",610,722,755,706,655,620,530,703,565,721
"COG0022",444,479,487,428,409,314,298,320,416,302
"COG0023",58,42,33,23,31,42,40,32,52,46
"COG0024",260,331,293,319,271,277,279,278,289,300
"COG0025",252,73,140,145,148,127,145,99,302,132
"COG0026",209,299,197,299,130,350,177,309,284,414
"COG0027",186,27,43,94,20,118,43,102,210,146
"COG0028",901,1412,1528,1194,1540,1241,1695,1471,953,1398
"COG0029",267,88,131,219,147,222,130,194,343,235
"COG0030",274,357,286,276,261,351,239,268,321,292
"COG0031",527,461,473,504,512,503,459,467,575,554
"COG0033",198,41,52,192,17,140,23,61,260,167
"COG0034",424,556,489,624,507,541,450,616,555,566
"COG0035",105,58,77,85,90,107,44,82,128,114
"COG0036",238,323,243,261,269,193,201,213,201,199
"COG0037",446,648,525,547,514,508,578,538,495,525
"COG0038",251,48,144,226,176,164,127,104,294,176
"COG0039",195,394,351,358,306,233,204,258,155,255
"COG0040",157,244,189,219,172,149,243,228,183,211
"COG0041",172,190,165,185,168,189,155,198,160,224
"COG0042",433,421,440,510,376,418,378,435,526,488
"COG0043",310,145,274,127,343,61,413,70,203,90
"COG0044",299,524,441,426,445,538,566,730,458,631
"COG0045",241,667,472,465,435,463,492,530,290,458
"COG0046",662,931,841,911,909,837,753,952,821,862
"COG0047",368,441,392,385,425,438,338,443,313,395
"COG0048",124,156,144,137,129,144,139,140,150,153
"COG0049",135,160,174,181,191,150,182,178,216,173
"COG0050",436,385,372,456,468,446,390,464,447,417
"COG0051",98,106,103,107,84,50,83,96,88,70
"COG0052",206,347,305,308,241,271,297,293,278,299
"COG0053",44,52,46,68,216,38,58,19,20,38
"COG0054",126,163,144,146,99,156,133,147,153,177
"COG0055",388,546,518,635,470,548,398,600,476,609
"COG0056",432,609,600,746,495,613,461,670,546,673
"COG0057",521,449,495,548,372,346,295,322,408,382
"COG0058",333,63,139,317,130,264,86,119,470,305
"COG0059",276,382,295,393,273,371,291,398,283,379
"COG0060",828,1250,1059,1182,1038,1036,916,1149,975,1139
"COG0061",329,355,276,354,282,296,331,333,369,356
"COG0062",309,149,213,223,344,177,254,110,309,236
"COG0063",331,181,296,211,373,143,216,111,211,167
"COG0064",352,508,454,547,353,447,375,462,478,568
"COG0065",413,619,501,645,435,560,532,618,516,621
"COG0066",215,278,293,286,190,245,253,268,243,264
