"","X123_SUR_0d2.0d45","X18_SUR_0.0d2","X67_SUR_0d45.0d8","X76_DCM_0d2.3","X78_DCM_0d2.0d45","X68_MES_0d2.3","X98_DCM_0d2.3","X7_DCM_0d2.1d6","X111_DCM_0d2.3","X38_DCM_0d2.1d6"
"COG0001",320,165,300,413,416,192,115,100,127,99
"COG0002",243,144,216,219,270,307,270,186,250,285
"COG0003",19,15,9,26,9,9,10,22,8,8
"COG0004",722,477,673,661,1017,529,765,1120,839,855
"COG0005",238,103,138,196,234,282,277,171,268,235
"COG0006",1256,532,1019,848,1220,1707,1151,1024,1241,1079
"COG0007",23,193,125,137,62,176,73,151,67,102
"COG0008",841,666,817,651,750,807,697,655,740,699
"COG0009",334,155,311,218,324,87,111,69,97,95
"COG0010",379,169,394,293,366,520,387,404,425,467
"COG0011",0,1,3,9,1,5,14,9,23,13
"COG0012",495,165,380,369,499,512,511,375,477,447
"COG0013",1057,385,799,803,1075,869,1072,841,1062,962
"COG0014",375,222,259,301,429,298,473,344,420,374
"COG0015",641,262,465,459,597,464,535,458,532,471
"COG0016",428,174,359,316,464,387,404,341,417,420
"COG0017",158,105,240,198,206,326,142,166,143,128
"COG0018",803,325,634,559,712,537,669,468,673,634
"COG0019",660,478,450,470,672,462,723,491,682,590
"COG0020",354,113,284,213,285,101,99,57,102,64
"COG0021",790,315,426,647,798,523,780,624,825,687
"COG0022",639,339,728,521,500,401,524,451,500,430
"COG0023",10,25,39,33,21,44,23,35,41,24
"COG0024",290,182,240,295,320,269,317,347,295,254
"COG0025",52,285,88,190,41,113,134,124,99,141
"COG0026",275,156,253,193,270,191,252,242,257,331
"COG0027",12,107,57,78,27,6,106,69,77,108
"COG0028",1331,609,967,1479,1610,1940,1478,1391,1464,1293
"COG0029",62,177,120,203,94,75,180,236,168,198
"COG0030",369,136,320,250,308,275,305,172,255,244
"COG0031",422,376,422,460,521,500,529,467,503,488
"COG0033",1,15,12,108,9,8,110,98,94,120
"COG0034",195,77,188,136,208,469,545,503,572,533
"COG0035",55,48,78,68,45,64,95,80,79,84
"COG0036",355,86,249,231,335,273,291,221,275,298
"COG0037",653,318,505,428,598,531,559,395,577,518
"COG0038",23,271,111,172,50,169,136,169,141,180
"COG0039",455,180,286,304,413,364,358,404,400,333
"COG0040",160,114,150,162,206,198,248,161,197,189
"COG0041",177,78,163,146,205,180,177,177,192,200
"COG0042",365,330,454,376,380,303,406,437,424,459
"COG0043",60,154,66,261,200,396,187,168,183,179
"COG0044",787,249,611,557,728,742,736,561,738,613
"COG0045",643,182,470,421,644,532,489,455,544,415
"COG0046",901,490,899,718,933,890,871,848,882,790
"COG0047",471,350,532,358,426,424,373,383,400,365
"COG0048",172,72,120,130,149,136,158,162,146,136
"COG0049",188,79,165,163,175,172,186,172,192,177
"COG0050",489,321,447,392,486,388,490,635,530,417
"COG0051",117,62,117,89,130,98,119,105,124,104
"COG0052",342,141,333,233,306,265,326,259,344,258
"COG0053",63,124,67,59,58,158,41,50,43,66
"COG0054",166,65,135,141,138,121,140,138,145,145
"COG0055",622,218,463,455,582,389,621,687,621,527
"COG0056",720,294,537,498,640,453,662,725,717,655
"COG0057",551,523,616,473,522,398,546,633,548,494
"COG0058",35,56,28,227,33,111,160,237,142,270
