"","X57_SUR_0d2.3","X149_SUR_0d2.3","X141_SUR_0d2.3","X65_DCM_0d2.3","X98_DCM_0d2.3","X72_SUR_0d2.3","X52_SUR_0d2.1d6","X31_SUR_0d2.1d6","X137_DCM_0d2.3","X110_MES_0d2.3"
"COG0001",3214,3244,2890,3478,3843,3326,4315,4027,4095,4722
"COG0002",2684,2355,2794,2354,2998,2876,2695,3018,2421,2647
"COG0003",110,183,89,125,58,155,83,142,138,116
"COG0004",8774,8503,7682,8958,7689,7729,9239,9062,8315,8187
"COG0005",2572,2370,2145,2458,2767,2398,2607,2705,3251,2707
"COG0006",3497,4138,3324,3899,3772,9374,9285,10142,15385,14250
"COG0007",1192,567,920,665,817,1049,1419,1325,2704,1700
"COG0008",7024,8021,7461,7432,7107,6100,6939,6463,7312,8159
"COG0009",3003,3031,3285,2970,3043,2696,2930,2635,2499,3094
"COG0010",4895,4624,4487,4569,3727,4270,3765,5344,4684,4768
"COG0011",146,52,132,48,148,96,403,119,128,76
"COG0012",4685,4853,3737,4538,4819,4561,4822,4703,3758,5129
"COG0013",10878,10347,9559,9811,10774,9873,10347,9961,7821,9128
"COG0014",4118,3618,3609,3823,4601,4076,4136,4168,2905,3013
"COG0015",5493,5279,4663,5332,5440,5362,6159,5275,4339,4817
"COG0016",4153,4542,3776,4392,4227,1305,1302,1335,1110,1247
"COG0017",1116,2594,1159,2100,1167,909,867,913,1809,2871
"COG0018",7339,6703,6945,6103,7131,6770,7433,6392,5130,6239
"COG0019",6169,5973,5532,5966,7145,5935,5969,5408,5387,4951
"COG0020",2567,2863,2573,2674,3062,2456,2857,2328,2166,2617
"COG0021",7217,6428,6599,7119,7882,6617,7623,7169,7387,6194
"COG0022",4391,5839,4724,5441,4929,4562,4570,4909,4133,4430
"COG0023",288,294,189,233,308,351,380,407,246,369
"COG0024",3064,3344,3030,3130,3111,2806,3053,3036,2663,3003
"COG0025",1532,842,935,1059,1198,1371,1859,2006,1630,1061
"COG0026",3289,2476,3020,2535,2691,3496,3213,3688,777,1980
"COG0027",384,135,368,184,343,1161,1594,1536,161,261
"COG0028",12691,14155,13949,15240,14973,12787,12698,14408,15352,15269
"COG0029",2331,1389,1685,1460,1826,2141,2593,3006,1517,1348
"COG0030",2769,2867,2831,2723,3035,2916,3070,2670,2602,2874
"COG0031",4970,4614,4491,4633,5328,5033,6044,5943,4849,5213
"COG0033",1815,286,862,411,1123,1468,1789,2322,361,290
"COG0034",6074,5825,5617,5516,5743,5528,5829,5498,5142,5711
"COG0035",950,582,941,677,986,977,1114,1134,722,798
"COG0036",2927,3324,2910,2972,3031,2649,3065,2695,2552,3013
"COG0037",5392,5740,4647,5179,5739,5193,5124,4884,5119,5375
"COG0038",2270,1016,1678,1330,1445,1744,2098,2555,1624,1631
"COG0039",3481,4194,3391,4093,3579,3071,3013,2912,3204,3476
"COG0040",1850,1920,2054,1939,2184,1752,2139,1790,1899,1798
"COG0041",1784,1939,1804,1932,2017,1745,1797,1820,1550,1827
"COG0042",4697,4210,4395,4150,4319,4202,4955,4939,3510,3649
"COG0043",1184,2780,1420,2417,1569,707,563,1026,3542,3216
"COG0044",6573,7737,6553,7096,7281,5735,5400,5215,7075,7041
"COG0045",4545,5532,3914,5573,5067,4518,4129,3862,4188,5242
"COG0046",9208,9157,8930,9211,8678,2741,3107,2909,2870,3104
"COG0047",3799,4016,4153,4057,3826,3998,4588,3846,3691,4427
"COG0048",1437,1655,1308,1589,1539,1300,1626,1467,1173,1485
"COG0049",1793,2030,1683,1945,1854,1528,1874,1640,1531,1943
"COG0050",4642,4638,4045,4682,4766,4127,5082,4928,5194,4469
"COG0051",1252,1151,1148,1187,1157,305,442,374,281,343
"COG0052",2975,3324,2942,3128,3159,2744,3168,3068,2686,2762
"COG0053",618,576,956,611,396,348,192,326,2141,1464
"COG0054",1617,1369,1469,1341,1569,1447,1600,1484,1030,1254
"COG0055",6248,6017,5431,5927,5962,5357,6229,6144,4833,4890
"COG0056",7144,6632,6457,6526,6551,6206,6856,6898,5282,5433
"COG0057",5878,5104,5831,4807,5330,5349,5871,6256,4335,4750
"COG0058",3210,863,1652,1165,1971,823,1233,1097,413,467
"COG0059",1305,1270,1197,1230,1261,3458,4115,3861,2680,3297
"COG0060",11593,11638,11754,11518,11709,9934,11314,10347,9585,11093
"COG0061",3684,3279,3624,3062,3878,3257,3889,3813,2681,3416
"COG0062",1916,1508,1441,1751,2060,588,718,821,1241,951
"COG0063",2283,1987,1698,2147,2708,2236,2847,3141,4004,3206
"COG0064",5621,4485,5141,4655,5212,4973,5850,5198,3683,4267
"COG0065",6301,6522,4940,6793,5900,5381,6157,6273,4447,5295
"COG0066",2707,3129,2672,3227,2680,792,892,811,655,823
"COG0067",13415,10975,13910,12194,11207,11625,11695,12885,9781,9389
"COG0068",28,7,37,41,12,72,21,87,208,137
"COG0069",17568,14878,17331,16227,16007,15573,16527,17473,13825,14279
"COG0070",12162,10335,12327,11982,9974,10559,10096,11748,8749,8013
"COG0071",2970,1923,2756,2060,2124,5874,2520,2955,2253,2581
