"","X76_SUR_0.0d2","X68_SUR_0d2.0d45","X124_DCM_0d2.3","X111_MES_0d2.3","X36_SUR_0d2.1d6","X141_SUR_0d2.3","X122_DCM_0d2.0d45","X99_SUR_0d2.3","X7_DCM_0d2.1d6","X34_DCM_0d2.1d6","X82_SUR_0d2.3","X58_DCM_0d2.3"
"COG0001",263,340,554,553,305,297,359,398,299,600,463,329
"COG0002",171,302,218,303,281,284,228,334,197,268,247,284
"COG0003",9,0,17,2,5,7,3,4,14,11,9,10
"COG0004",372,871,733,702,914,799,599,796,1051,624,564,895
"COG0005",127,249,278,316,161,198,230,202,161,247,145,259
"COG0006",505,1289,1131,1538,1209,956,1180,970,1038,1355,1243,1119
"COG0007",157,69,112,216,59,87,42,75,169,119,142,90
"COG0008",497,810,796,860,784,700,743,704,655,841,798,667
"COG0009",157,330,289,307,290,349,323,295,207,270,285,279
"COG0010",138,423,404,508,471,448,389,368,386,462,562,501
"COG0011",16,0,8,3,2,12,0,10,3,4,1,10
"COG0012",172,511,461,538,405,389,444,444,427,501,342,454
"COG0013",464,1069,978,903,827,916,947,1101,880,952,831,1083
"COG0014",204,390,329,296,442,360,409,449,292,302,264,464
"COG0015",257,594,490,445,532,467,533,602,472,539,391,594
"COG0016",190,440,457,402,391,391,381,422,322,410,360,397
"COG0017",102,176,260,319,65,97,162,105,148,298,159,102
"COG0018",296,803,604,578,582,697,433,505,332,396,418,451
"COG0019",523,696,512,465,635,568,595,715,443,519,510,624
"COG0020",159,280,252,288,232,265,272,293,174,300,221,254
"COG0021",404,773,625,644,680,681,556,483,444,434,258,508
"COG0022",387,478,559,391,358,517,566,445,467,588,682,422
"COG0023",3,32,32,56,15,16,13,39,20,42,47,29
"COG0024",205,327,325,282,267,308,303,311,295,296,256,287
"COG0025",334,65,68,99,69,95,65,109,149,68,97,114
"COG0026",162,312,241,146,269,281,205,348,225,185,233,332
"COG0027",77,31,44,7,57,84,34,93,61,41,76,104
"COG0028",845,1450,1750,1687,1484,1342,1574,1410,1436,1753,1095,1325
"COG0029",194,102,124,100,141,190,96,243,270,78,147,202
"COG0030",119,308,276,290,245,287,298,331,184,304,243,289
"COG0031",472,447,551,551,375,471,453,569,472,507,397,515
"COG0033",61,24,12,9,25,62,19,108,119,23,19,146
"COG0034",278,615,551,576,541,583,568,611,530,545,559,614
"COG0035",56,57,48,81,71,116,70,63,67,70,62,76
"COG0036",105,331,310,277,287,288,249,280,223,304,273,281
"COG0037",242,628,598,553,506,467,625,564,371,572,513,562
"COG0038",168,61,89,197,120,174,70,128,143,128,173,175
"COG0039",201,405,395,358,379,362,384,343,353,401,329,364
"COG0040",117,223,209,164,192,188,170,210,181,192,167,190
"COG0041",68,181,173,176,159,166,192,200,168,164,173,180
"COG0042",230,406,400,354,400,405,254,323,261,234,260,297
"COG0043",26,148,475,398,55,116,181,75,151,437,112,95
"COG0044",437,817,662,757,672,627,701,705,551,770,699,656
"COG0045",218,634,544,495,514,404,364,352,332,339,269,317
"COG0046",388,947,829,912,824,899,859,963,823,816,799,900
"COG0047",170,464,368,467,380,460,441,433,336,285,468,329
"COG0048",99,154,146,161,122,119,139,175,141,156,176,137
"COG0049",80,190,177,165,142,169,153,179,151,178,206,159
"COG0050",286,386,445,416,460,396,502,453,632,358,579,469
"COG0051",76,109,104,108,102,113,120,117,137,118,122,92
