"","Sample.1.to.10","Sample.11.to.20","BaseMean","Estimated.dispersion","AbundanceStrata","VariabilityStrata"
"COG0065",-1.5,NA,61132.9527952373,0.11896375476016,"3","1"
"COG0073",NA,-1.5,72668.6325357748,0.0517755724363851,"3","1"
"COG0082",-1.5,NA,42884.4623517496,0.124831862039485,"3","1"
"COG0083",-1.5,NA,9248.59808069588,0.267777320013946,"3","1"
"COG0087",NA,-1.5,28291.6782397961,0.0835027775959878,"3","1"
"COG0091",NA,-1.5,14707.3987324791,0.100855733946849,"3","1"
"COG0093",NA,-1.5,14396.0107776949,0.0951135338060203,"3","1"
"COG0097",NA,-1.5,21526.2237835557,0.0935044991661608,"3","1"
"COG0104",NA,-1.5,54738.5614462285,0.0690449767532262,"3","1"
"COG0106",NA,-1.5,20770.8827603151,0.0787231326032468,"3","1"
"COG0112",-1.5,NA,53804.0671338146,0.0625226606562389,"3","1"
"COG0113",NA,-1.5,34124.1407485644,0.109314615812553,"3","1"
"COG0118",NA,-1.5,21670.8613772255,0.0923285613463194,"3","1"
"COG0142",-1.5,NA,78049.8694751246,0.0900814984821696,"3","1"
"COG0146",-1.5,NA,34546.1816486287,0.328426687630414,"3","2"
"COG0156",-1.5,NA,37038.1727903889,0.0273646586269965,"3","1"
"COG0161",NA,-1.5,66888.5824434288,0.0506261525410938,"3","1"
"COG0174",-1.5,NA,116034.013896336,0.0779378147714993,"3","1"
"COG0177",NA,-1.5,28537.7004759775,0.0727246840489764,"3","1"
"COG0182",-1.5,NA,17973.3495353877,0.192726578048118,"3","1"
"COG0187",NA,-1.5,125617.262112701,0.0699569212402091,"3","1"
"COG0200",NA,-1.5,16617.0379171269,0.0829434774048876,"3","1"
"COG0201",-1.5,NA,53389.0759599299,0.0843138735308358,"3","1"
"COG0202",NA,-1.5,42164.3520848739,0.0645911268527303,"3","1"
"COG0207",NA,-1.5,26039.3305807506,0.4659026479556,"3","2"
"COG0211",NA,-1.5,9667.69477118835,0.0977868789722674,"3","1"
"COG0224",-1.5,NA,35962.0170956031,0.10253058069589,"3","1"
"COG0225",-1.5,NA,35843.2243431864,0.0963710244880832,"3","1"
"COG0237",-1.5,NA,22920.9708067389,0.0913802253783181,"3","1"
"COG0241",NA,-1.5,11068.4491155425,0.070105821615355,"3","1"
"COG0251",-1.5,NA,31297.1707033912,0.0527637333303199,"3","1"
"COG0253",-1.5,NA,30387.1772894488,0.131620278148209,"3","1"
"COG0265",NA,-1.5,88433.0497332094,0.0355555980107391,"3","1"
"COG0266",NA,-1.5,32180.1384660984,0.0893281002097681,"3","1"
"COG0317",NA,-1.5,80166.9743876057,0.0554321287869487,"3","1"
"COG0334",-1.5,NA,36049.9196354168,0.0470718988864865,"3","1"
"COG0367",-1.5,NA,61931.4454033594,0.118960298859678,"3","1"
"COG0372",-1.5,NA,51944.3021659847,0.0422328796887058,"3","1"
"COG0374",-1.5,NA,1891.65652898055,1.62095036196292,"2","3"
"COG0401",-1.5,NA,238.277452900182,1.92293817118593,"1","3"
"COG0402",NA,-1.5,39897.3091750521,0.0973332247600622,"3","1"
"COG0410",NA,-1.5,44960.8454755088,0.0827187612822782,"3","1"
"COG0415",-1.5,NA,88495.989324888,0.659677271238351,"3","2"
"COG0422",NA,-1.5,16491.5097430868,0.164379654365517,"3","1"
"COG0423",-1.5,NA,30150.4161066969,0.275857664462865,"3","1"
"COG0425",-1.5,NA,3461.69464327487,0.194070502706673,"2","1"
"COG0435",-1.5,NA,8321.78253814728,0.267335122838025,"3","1"
"COG0462",-1.5,NA,43286.8962287879,0.0622153940947883,"3","1"
"COG0488",-1.5,NA,68585.1163418889,0.08910133299525,"3","1"
"COG0502",-1.5,NA,9622.13891088356,0.159585465779179,"3","1"
"COG0503",NA,-1.5,20721.5465715332,0.0601087171111725,"3","1"
"COG0505",-1.5,NA,44833.4968061917,0.0984398577447407,"3","1"
"COG0509",-1.5,NA,13447.6810146462,0.0788376303513075,"3","1"
"COG0524",-1.5,NA,80299.9791272856,0.0744484829405118,"3","1"
"COG0539",-1.5,NA,61578.3350160571,0.098155989288976,"3","1"
"COG0549",-1.5,NA,4645.50001466966,0.560105482005017,"2","2"
"COG0551",-1.5,NA,14016.2629847407,0.201158543376548,"3","1"
"COG0558",-1.5,NA,29433.9020445812,0.0816917558095594,"3","1"
"COG0559",NA,-1.5,58026.9189557727,0.0765874832234385,"3","1"
"COG0561",-1.5,NA,19734.1738434967,0.586456166154006,"3","2"
"COG0579",NA,-1.5,23246.1126377109,0.10819522203746,"3","1"
"COG0589",NA,-1.5,18778.3374551122,0.269323656884458,"3","1"
"COG0590",-1.5,NA,17223.3045620032,0.0537872940267918,"3","1"
"COG0600",-1.5,NA,32249.3810314292,0.0528828875644812,"3","1"
"COG0601",-1.5,NA,54818.2034721068,0.0900135083504005,"3","1"
"COG0610",-1.5,NA,15196.0444840076,0.530900492071069,"3","2"
"COG0614",-1.5,NA,17132.147064918,0.139258060220573,"3","1"
"COG0623",NA,-1.5,29944.2615306475,0.17576089164074,"3","1"
"COG0644",-1.5,NA,78517.2103489893,0.0995286852780709,"3","1"
"COG0651",NA,-1.5,23166.387604865,0.321970532892983,"3","2"
"COG0653",-1.5,NA,101554.568629357,0.0912670844109833,"3","1"
"COG0682",-1.5,NA,29830.5144572147,0.0948985536186657,"3","1"
"COG0690",-1.5,NA,3302.0514713374,0.187129917919062,"2","1"
"COG0695",NA,-1.5,16765.8056753257,0.178070232883542,"3","1"
"COG0702",NA,-1.5,53213.4684009887,0.0662874793734338,"3","1"
"COG0703",-1.5,NA,20685.7483901053,0.11321402680698,"3","1"
"COG0724",NA,-1.5,8685.76706025369,0.471551205384426,"3","2"
"COG0729",-1.5,NA,5428.45668544136,1.40924616132767,"2","2"
"COG0733",NA,-1.5,26686.2992882265,0.057915741021696,"3","1"
"COG0736",NA,-1.5,9329.95187099925,0.131217514297571,"3","1"
"COG0742",NA,-1.5,19303.3414287687,0.107507420263573,"3","1"
"COG0786",NA,-1.5,5152.78780650902,1.16647725154834,"2","2"
"COG0789",NA,-1.5,25209.3366054542,0.161930212994204,"3","1"
"COG0801",NA,-1.5,18351.0788321382,0.0830629445099968,"3","1"
"COG0816",NA,-1.5,14672.28454432,0.129475961806592,"3","1"
"COG0830",NA,-1.5,5821.52935915282,0.408875073379294,"2","2"
"COG0835",NA,-1.5,4911.60923077494,1.21892417616994,"2","2"
"COG0845",-1.5,NA,102948.774489356,0.13659045742991,"3","1"
"COG0848",-1.5,NA,15701.4964334807,0.0359190392435571,"3","1"
"COG1022",NA,-1.5,70805.2399388174,0.0899505576952547,"3","1"
"COG1026",-1.5,NA,9579.5444183453,0.290091079604526,"3","1"
"COG1034",-1.5,NA,42028.4587661258,0.174608913818463,"3","1"
"COG1038",-1.5,NA,11838.323548023,0.223284243484641,"3","1"
"COG1070",NA,-1.5,22575.4235599425,0.172227648133136,"3","1"
"COG1093",NA,-1.5,3666.46049680982,1.39902248408996,"2","2"
"COG1109",NA,-1.5,106542.57890965,0.0704157084539671,"3","1"
"COG1114",NA,-1.5,520.977467928369,2.07718923635556,"1","3"
"COG1126",NA,-1.5,24787.1939798276,0.111495326680227,"3","1"
"COG1142",-1.5,NA,4908.52106218009,0.86420589851934,"2","2"
"COG1148",-1.5,NA,2749.41851504468,4.22882148972233,"2","3"
"COG1168",-1.5,NA,6262.1398024949,0.159081560592732,"2","1"
"COG1182",-1.5,NA,5406.74514376388,0.348038614113681,"2","2"
"COG1186",-1.5,NA,39738.1433622338,0.082205725555474,"3","1"
"COG1197",-1.5,NA,72164.4018976449,0.0587137117317434,"3","1"
"COG1213",-1.5,NA,11197.1618384776,0.517384217869474,"3","2"
"COG1214",NA,-1.5,13624.9008815347,0.04082599730758,"3","1"
"COG1218",-1.5,NA,24967.4741598412,0.0952401379444428,"3","1"
"COG1229",-1.5,NA,1560.09545868874,0.349569963602767,"2","2"
"COG1241",NA,-1.5,11744.4373459357,0.890072624030179,"3","2"
"COG1245",-1.5,NA,6823.31151876431,1.32170501506841,"2","2"
"COG1249",NA,-1.5,97303.2282089146,0.0182127347612667,"3","1"
"COG1264",NA,-1.5,54.7958682292224,2.1431459759719,"1","3"
"COG1275",NA,-1.5,410.135527395022,2.6025019254652,"1","3"
"COG1283",-1.5,NA,11648.4324807041,0.282100982453008,"3","1"
"COG1295",-1.5,NA,10062.3907732705,0.227896726081921,"3","1"
"COG1299",NA,-1.5,443.728479344829,0.972668890976343,"1","2"
"COG1308",NA,-1.5,945.403617488296,2.18912571558009,"2","3"
"COG1311",NA,-1.5,3881.68902973617,0.908042957465452,"2","2"
"COG1321",NA,-1.5,9619.9631678732,0.225177422166821,"3","1"
"COG1328",-1.5,NA,4308.56403356895,2.1930304580269,"2","3"
"COG1340",NA,-1.5,1815.39623095368,1.33410069837728,"2","2"
"COG1343",NA,-1.5,51.6425774053786,2.49346925955083,"1","3"
"COG1344",-1.5,NA,31656.3127289414,0.182349199192208,"3","1"
"COG1346",-1.5,NA,1565.65103627619,1.26687864927544,"2","2"
"COG1349",NA,-1.5,4987.74886315658,0.784403442538848,"2","2"
"COG1378",NA,-1.5,3644.83418474473,1.42862621433849,"2","2"
"COG1395",-1.5,NA,16.9150084249457,6.99589755198012,"1","3"
"COG1396",NA,-1.5,25780.1646545874,0.125229470084594,"3","1"
"COG1401",-1.5,NA,3610.3993681504,0.400192991369155,"2","2"
"COG1407",NA,-1.5,6055.74732207957,0.28576692859448,"2","1"
"COG1448",-1.5,NA,5528.58230275004,0.303107463201254,"2","2"
"COG1455",-1.5,NA,71.81794425565,2.2682024047021,"1","3"
"COG1468",NA,-1.5,145.815048721052,2.13638801624759,"1","3"
"COG1477",NA,-1.5,14065.3140222442,0.0574744177709077,"3","1"
"COG1480",NA,-1.5,15779.5084127712,0.311737165964772,"3","2"
"COG1497",-1.5,NA,6.8591745762545,6.79993435606343,"1","3"
"COG1508",-1.5,NA,21480.2965347335,0.0388009029273134,"3","1"
"COG1519",-1.5,NA,36387.3838374985,0.114594220139665,"3","1"
"COG1522",-1.5,NA,29376.3125369575,0.31214991002404,"3","2"
"COG1525",NA,-1.5,15399.3972390364,0.263553633237315,"3","1"
"COG1549",NA,-1.5,2809.59086467124,1.36606471527633,"2","2"
"COG1558",NA,-1.5,2292.94028376889,0.223637546682658,"2","1"
"COG1568",-1.5,NA,152.169699703626,2.08013141868818,"1","3"
"COG1581",-1.5,NA,1246.8005640593,2.36776495575048,"2","3"
"COG1583",-1.5,NA,21.4223106266954,3.0233773467075,"1","3"
"COG1593",NA,-1.5,58157.6322475431,0.109650554802001,"3","1"
"COG1600",-1.5,NA,22627.4332856515,0.0446706147205896,"3","1"
"COG1606",NA,-1.5,5353.26713174798,0.753843100873109,"2","2"
"COG1626",-1.5,NA,2363.45379567181,0.823115856612663,"2","2"
"COG1630",-1.5,NA,1483.64370453952,5.26505609871246,"2","3"
"COG1637",NA,-1.5,507.932729678069,1.34387799072791,"1","2"
"COG1640",-1.5,NA,11670.8086899805,0.531741967931717,"3","2"
"COG1644",-1.5,NA,1261.87296083869,0.834814897715127,"2","2"
"COG1661",-1.5,NA,3879.62072952004,0.940189799903512,"2","2"
"COG1676",NA,-1.5,2774.47492792228,2.04422997520549,"2","3"
"COG1684",NA,-1.5,4250.13104141331,0.224125335019607,"2","1"
"COG1688",NA,-1.5,18.3017187655174,3.90301482320881,"1","3"
"COG1705",-1.5,NA,4851.48091099616,0.76488679547008,"2","2"
"COG1709",-1.5,NA,202.263422797136,1.67892545837137,"1","3"
"COG1719",NA,-1.5,96.7409260814698,2.04115885773222,"1","3"
"COG1726",NA,-1.5,13414.098437628,0.191794524149817,"3","1"
"COG1734",NA,-1.5,14188.7065293387,0.0507764561377511,"3","1"
"COG1746",-1.5,NA,3441.55144096906,2.72678706701772,"2","3"
"COG1758",NA,-1.5,11469.9583470618,0.132768587803905,"3","1"
"COG1770",NA,-1.5,43343.1806663668,0.145527261304208,"3","1"
"COG1772",-1.5,NA,489.338578452258,1.64817687218924,"1","3"
"COG1808",-1.5,NA,3417.85641443052,0.39684628313294,"2","2"
"COG1811",-1.5,NA,1718.55608056472,1.17771572668126,"2","2"
"COG1834",NA,-1.5,31393.6816733625,0.255539947446071,"3","1"
"COG1840",NA,-1.5,40356.105641999,0.13092645269434,"3","1"
"COG1841",NA,-1.5,4255.69161530687,0.157429757487761,"2","1"
"COG1865",NA,-1.5,34.8158977303832,2.85431885667792,"1","3"
"COG1867",NA,-1.5,5237.80062913172,1.08295932819148,"2","2"
"COG1871",NA,-1.5,707.384010738621,1.74752843839322,"1","3"
"COG1892",-1.5,NA,8.02825838586778,14.9885947153033,"1","3"
"COG1904",NA,-1.5,2601.17332215974,0.354246964240664,"2","2"
"COG1946",NA,-1.5,10350.4377793157,0.128710117822231,"3","1"
"COG1948",-1.5,NA,5612.37953077216,0.925297318589522,"2","2"
