"","Sample.1.to.3","Sample.4.to.6","BaseMean","Estimated.dispersion","AbundanceStrata","VariabilityStrata"
"COG0002",-3,NA,29057.3481958553,0.0705556776632369,"3","1"
"COG0019",-3,NA,63608.9455304754,0.0656238554371882,"3","1"
"COG0047",NA,-3,45547.960514578,0.0489946438843825,"3","1"
"COG0078",-3,NA,31306.0294127894,0.0598297038973998,"3","1"
"COG0080",NA,-3,16630.3454848712,0.0705514295684039,"3","1"
"COG0081",NA,-3,28018.8172759784,0.07503097087001,"3","1"
"COG0090",-3,NA,33614.4410089228,0.0943879681514939,"3","1"
"COG0091",-3,NA,14707.3987324791,0.100855733946849,"3","1"
"COG0111",-3,NA,98739.4148575751,0.0406750282878673,"3","1"
"COG0123",-3,NA,35238.9087890774,0.0819745546502519,"3","1"
"COG0129",NA,-3,81667.5705170656,0.0494226143093396,"3","1"
"COG0142",NA,-3,78049.8694751246,0.0900814984821696,"3","1"
"COG0158",NA,-3,5359.47971317648,0.18983902152162,"2","1"
"COG0163",NA,-3,5467.62588822117,0.371112047682328,"2","2"
"COG0165",-3,NA,45435.1257793355,0.0797379291607537,"3","1"
"COG0183",-3,NA,115316.658574418,0.0313839678516016,"3","1"
"COG0191",-3,NA,13533.8509631133,0.180378745506793,"3","1"
"COG0213",NA,-3,9819.20796739014,0.142453346037038,"3","1"
"COG0227",-3,NA,10140.7148030535,0.121087193977798,"3","1"
"COG0229",NA,-3,23816.1490144444,0.0838748491092086,"3","1"
"COG0287",NA,-3,32931.3297687628,0.0847111189499583,"3","1"
"COG0291",-3,NA,5801.81777166912,0.119101030304761,"2","1"
"COG0332",-3,NA,33732.5363213462,0.033456901305838,"3","1"
"COG0341",-3,NA,35454.1880928203,0.0714123487912995,"3","1"
"COG0342",-3,NA,60192.1572984813,0.0720063582062532,"3","1"
"COG0357",NA,-3,19975.7696909395,0.101061459706031,"3","1"
"COG0372",-3,NA,51944.3021659847,0.0422328796887058,"3","1"
"COG0373",-3,NA,24546.4525581671,0.120634926008116,"3","1"
"COG0393",NA,-3,3447.6925259037,0.0988627936832746,"2","1"
"COG0395",NA,-3,52786.0742436671,0.200931471250501,"3","1"
"COG0412",NA,-3,23104.340166421,0.0982164130878137,"3","1"
"COG0413",-3,NA,36182.3337384539,0.148810051419653,"3","1"
"COG0415",-3,NA,88495.989324888,0.659677271238351,"3","2"
"COG0420",-3,NA,9169.15286417557,1.00370824382595,"3","2"
"COG0428",NA,-3,6453.21821505203,0.199170209761944,"2","1"
"COG0435",NA,-3,8321.78253814728,0.267335122838025,"3","1"
"COG0440",-3,NA,17384.3592081517,0.0984853703840464,"3","1"
"COG0456",-3,NA,13702.9616803308,0.0632643267288374,"3","1"
"COG0464",-3,NA,32296.9037028784,0.273951997943421,"3","1"
"COG0468",-3,NA,91644.024264411,0.417867147532752,"3","2"
"COG0499",-3,NA,56161.46442368,0.108176749771818,"3","1"
"COG0521",-3,NA,11402.8092236612,0.0773710823881406,"3","1"
"COG0525",NA,-3,100668.433477196,0.0970653313439309,"3","1"
"COG0528",NA,-3,19312.9987247403,0.0474771535264402,"3","1"
"COG0554",-3,NA,37352.4805806537,0.0667878544691098,"3","1"
"COG0558",NA,-3,29433.9020445812,0.0816917558095594,"3","1"
"COG0565",-3,NA,19737.4930101801,0.121619322839389,"3","1"
"COG0598",NA,-3,3165.01503358883,1.16658080990122,"2","2"
"COG0600",NA,-3,32249.3810314292,0.0528828875644812,"3","1"
"COG0615",-3,NA,7351.21929095523,0.283928223495202,"2","1"
"COG0618",NA,-3,11318.4869558079,0.199254645843256,"3","1"
"COG0623",-3,NA,29944.2615306475,0.17576089164074,"3","1"
"COG0630",NA,-3,5233.80476647692,0.701768977133745,"2","2"
"COG0632",NA,-3,10503.9030774305,0.0476901111631647,"3","1"
"COG0635",NA,-3,26037.7468002142,0.0730966397327581,"3","1"
"COG0643",NA,-3,11825.0777860382,0.895852076374104,"3","2"
"COG0653",-3,NA,101554.568629357,0.0912670844109833,"3","1"
"COG0656",NA,-3,9754.0733043785,0.151788710481575,"3","1"
"COG0661",NA,-3,75743.9902388148,0.147419741188731,"3","1"
"COG0667",NA,-3,75828.8148209528,0.0770546822474224,"3","1"
"COG0674",NA,-3,29753.8023226052,0.541940157009179,"3","2"
"COG0677",NA,-3,25200.0658728108,0.0878432551081904,"3","1"
"COG0695",NA,-3,16765.8056753257,0.178070232883542,"3","1"
"COG0696",NA,-3,19962.989644346,0.16639850316022,"3","1"
"COG0705",NA,-3,23620.7932848655,0.0504355983996008,"3","1"
"COG0713",NA,-3,9426.99721888957,0.160534832944714,"3","1"
"COG0718",-3,NA,7610.4984654245,0.0750418408850156,"2","1"
"COG0724",-3,NA,8685.76706025369,0.471551205384426,"3","2"
"COG0725",-3,NA,4519.97469838313,0.243784352560063,"2","1"
"COG0726",-3,NA,42749.0505239124,0.0631580916134391,"3","1"
"COG0733",NA,-3,26686.2992882265,0.057915741021696,"3","1"
"COG0737",-3,NA,18282.9994922306,0.071966521246497,"3","1"
"COG0738",NA,-3,7832.30711508929,0.5225078302407,"2","2"
"COG0752",NA,-3,18885.83749476,0.0715898043756093,"3","1"
"COG0775",-3,NA,11702.1466636738,0.218424068133077,"3","1"
"COG0777",NA,-3,32156.3963498156,0.0874041167550264,"3","1"
"COG0786",NA,-3,5152.78780650902,1.16647725154834,"2","2"
"COG0798",-3,NA,4763.63179121882,0.726929385085716,"2","2"
"COG0800",NA,-3,8237.61302685105,0.128479302916039,"3","1"
"COG0801",NA,-3,18351.0788321382,0.0830629445099968,"3","1"
"COG0823",NA,-3,62957.6693741409,0.117750265688847,"3","1"
"COG0826",NA,-3,7536.97196904273,1.05909296164956,"2","2"
"COG0827",-3,NA,4016.41162566523,0.724575199136434,"2","2"
"COG0828",NA,-3,5588.45579871334,0.121185828177747,"2","1"
"COG0861",-3,NA,19155.5239674228,0.147596983491504,"3","1"
"COG1001",NA,-3,6893.0741235633,0.719739078120166,"2","2"
"COG1002",-3,NA,12201.9014298485,0.498675990142401,"3","2"
"COG1025",-3,NA,8946.5075747689,0.376559221098162,"3","2"
"COG1049",-3,NA,36155.0547680461,0.320659901503465,"3","2"
"COG1064",NA,-3,18549.6309858903,0.145628187331795,"3","1"
"COG1076",-3,NA,10958.119788049,0.0533566193250603,"3","1"
"COG1079",NA,-3,19131.5274519572,0.148438526558184,"3","1"
"COG1091",-3,NA,23210.9343790109,0.138520015243884,"3","1"
"COG1117",NA,-3,14088.2240432844,0.492104772752564,"3","2"
"COG1120",-3,NA,6483.57023950112,0.300163125090659,"2","2"
"COG1126",-3,NA,24787.1939798276,0.111495326680227,"3","1"
"COG1133",NA,-3,14769.996911234,0.35407081993191,"3","2"
"COG1157",-3,NA,7041.22301146921,0.236581712395282,"2","1"
"COG1165",-3,NA,12017.2683923356,0.377991899365471,"3","2"
"COG1174",-3,NA,1468.52475537119,0.920008858615855,"2","2"
"COG1177",NA,-3,25175.4073899281,0.104347742812444,"3","1"
"COG1182",-3,NA,5406.74514376388,0.348038614113681,"2","2"
"COG1187",NA,-3,24627.8982682987,0.0615719558695098,"3","1"
"COG1189",-3,NA,7430.69439737679,0.407203794448592,"2","2"
"COG1197",NA,-3,72164.4018976449,0.0587137117317434,"3","1"
"COG1204",-3,NA,12256.3612500318,0.636678301528104,"3","2"
"COG1228",NA,-3,70621.404140806,0.149115389516398,"3","1"
"COG1229",-3,NA,1560.09545868874,0.349569963602767,"2","2"
"COG1232",NA,-3,10926.389177031,0.272741547359956,"3","1"
"COG1233",NA,-3,78027.8250085002,0.280463482360724,"3","1"
"COG1239",NA,-3,16783.7377599906,0.481259482625477,"3","2"
"COG1260",NA,-3,9022.9007726054,0.663235509445139,"3","2"
"COG1263",-3,NA,68.5772286058782,2.09091993801435,"1","3"
"COG1269",NA,-3,8521.19897721054,1.19860183225803,"3","2"
"COG1270",-3,NA,8506.28536167528,0.245656464174987,"3","1"
"COG1286",-3,NA,3159.40630699768,0.205411744166862,"2","1"
"COG1331",-3,NA,27472.2098892164,0.340318443373073,"3","2"
"COG1333",NA,-3,6067.96794925417,1.12086861651846,"2","2"
"COG1341",-3,NA,77.4776432198093,3.30681781217395,"1","3"
"COG1348",NA,-3,5691.85924659432,1.54064016727534,"2","3"
"COG1358",NA,-3,1526.52336511242,1.13490795947416,"2","2"
"COG1361",-3,NA,2747.49016691293,5.07404356369924,"2","3"
"COG1389",-3,NA,7227.67240493491,0.923027473964018,"2","2"
"COG1390",-3,NA,1653.47655387727,1.27910900517618,"2","2"
"COG1396",NA,-3,25780.1646545874,0.125229470084594,"3","1"
"COG1412",-3,NA,173.3536067113,1.42924814093078,"1","2"
"COG1414",-3,NA,11168.2679216016,0.367909529873728,"3","2"
"COG1420",-3,NA,8835.31699478192,0.170590648919618,"3","1"
"COG1426",-3,NA,4330.39136316843,0.290277529083947,"2","1"
"COG1432",-3,NA,5098.36467998174,0.621622742497059,"2","2"
"COG1463",NA,-3,6782.89533255561,0.288069800329589,"2","1"
"COG1467",NA,-3,5196.48129560203,1.22204544484031,"2","2"
"COG1482",-3,NA,2066.06507188411,0.278659054665102,"2","1"
"COG1521",-3,NA,20177.4548254526,0.0833666615101404,"3","1"
"COG1547",-3,NA,1954.8207661851,1.17752062480129,"2","2"
"COG1548",NA,-3,817.710725488955,0.372325155135173,"2","2"
"COG1553",-3,NA,1048.72525918745,0.421548453733266,"2","2"
"COG1556",NA,-3,1082.0761601205,1.35479915708072,"2","2"
"COG1558",NA,-3,2292.94028376889,0.223637546682658,"2","1"
"COG1580",NA,-3,1626.90512417617,1.4355238227364,"2","2"
"COG1581",-3,NA,1246.8005640593,2.36776495575048,"2","3"
"COG1608",-3,NA,2480.95131690675,1.31804306596428,"2","2"
"COG1626",NA,-3,2363.45379567181,0.823115856612663,"2","2"
"COG1636",-3,NA,2463.71372281998,0.454782572563977,"2","2"
"COG1646",NA,-3,4427.88104120833,0.656699890047809,"2","2"
"COG1647",-3,NA,1230.82183419461,1.11185667114591,"2","2"
"COG1663",-3,NA,25141.0581248038,0.107724203390173,"3","1"
"COG1665",NA,-3,123.209689730658,3.4976967094668,"1","3"
"COG1668",-3,NA,6186.01912031849,0.161543804113916,"2","1"
"COG1669",NA,-3,105.543490561413,1.65579072596528,"1","3"
"COG1670",NA,-3,16408.5400299265,0.226508569638072,"3","1"
"COG1685",NA,-3,2533.25100475224,1.76555603297461,"2","3"
"COG1691",NA,-3,4706.01610138616,0.748260881882883,"2","2"
"COG1699",-3,NA,571.825730961754,0.861633567131812,"1","2"
"COG1716",-3,NA,2899.91341700707,0.440836965686231,"2","2"
"COG1719",NA,-3,96.7409260814698,2.04115885773222,"1","3"
"COG1722",-3,NA,2357.21903084303,0.0594455400749259,"2","1"
"COG1733",NA,-3,5941.9437053681,0.394957876424351,"2","2"
"COG1737",-3,NA,6070.32970505805,0.516708781980559,"2","2"
"COG1740",-3,NA,1064.80547573111,1.58218772705931,"2","3"
"COG1744",NA,-3,25323.3502953898,0.122882884337726,"3","1"
"COG1749",-3,NA,8111.34084189691,0.21915672737344,"3","1"
"COG1758",NA,-3,11469.9583470618,0.132768587803905,"3","1"
"COG1759",-3,NA,4921.69033460258,1.90562598079837,"2","3"
"COG1766",-3,NA,8774.55690282281,0.248116470796456,"3","1"
"COG1769",NA,-3,2.38760939369457,7.30810214755731,"1","3"
"COG1784",-3,NA,1765.89079499976,1.40675851474698,"2","2"
"COG1787",NA,-3,2326.94027742325,1.4945459853708,"2","3"
"COG1801",-3,NA,1740.02712872953,0.977716718810792,"2","2"
"COG1813",NA,-3,994.496393053829,0.831668448981081,"2","2"
"COG1815",NA,-3,2249.24207243122,0.220205010489316,"2","1"
"COG1817",-3,NA,2860.87032387442,1.43642344274696,"2","2"
"COG1824",-3,NA,541.259573328064,2.35367893665593,"1","3"
"COG1831",-3,NA,1624.37615363376,1.28897772249809,"2","2"
"COG1832",NA,-3,10649.6992159061,0.225046836606175,"3","1"
"COG1835",-3,NA,15727.8394217414,0.18200773986332,"3","1"
"COG1842",-3,NA,3881.5851310157,0.752322916605763,"2","2"
"COG1852",-3,NA,262.366378183169,1.84313773934526,"1","3"
"COG1862",-3,NA,5332.39951956047,0.0454274377796854,"2","1"
"COG1867",NA,-3,5237.80062913172,1.08295932819148,"2","2"
"COG1874",-3,NA,2967.28241205015,0.505009351446858,"2","2"
"COG1881",NA,-3,2105.38589994955,0.702534305229377,"2","2"
"COG1883",NA,-3,5385.60593958441,0.344658045619083,"2","2"
"COG1923",NA,-3,1475.28453178215,0.284173762465449,"2","1"
"COG1940",-3,NA,25145.2316809859,0.0956515314577274,"3","1"
"COG1942",NA,-3,1299.13952854558,0.545834608382453,"2","2"
"COG1943",NA,-3,3322.77264934019,1.17942114011757,"2","2"
"COG1983",NA,-3,578.815439393531,1.46311934703088,"1","3"
"COG2009",-3,NA,10822.3233114118,0.131703928066825,"3","1"
"COG2014",-3,NA,368.056498463413,1.44332960317164,"1","2"
"COG2026",NA,-3,479.32615719897,1.61574461774554,"1","3"
"COG2041",-3,NA,19163.0821435252,0.0841064418225956,"3","1"
"COG2046",NA,-3,15352.9205615593,0.295855953151967,"3","1"
"COG2051",-3,NA,448.010665840199,2.12435493033573,"1","3"
"COG2061",-3,NA,4.00992248798324,10.0764758930212,"1","3"
"COG2081",-3,NA,13186.9959246146,0.473380309385859,"3","2"
"COG2085",-3,NA,3961.88262195401,0.560963213381969,"2","2"
"COG2088",NA,-3,225.68879795932,1.76631849055701,"1","3"
"COG2094",-3,NA,4019.67607357543,0.440262295546701,"2","2"
"COG2108",NA,-3,1650.93546587207,1.31376318149291,"2","2"
"COG2130",NA,-3,19015.2490648798,0.086574789390004,"3","1"
"COG2149",-3,NA,54.928419561535,1.53612144781604,"1","3"
"COG2202",NA,-3,75068.1292904688,1.35328020415306,"3","2"
"COG2205",NA,-3,2334.033414212,1.42739814562792,"2","2"
"COG2209",-3,NA,6351.02615406731,0.177261551704175,"2","1"
"COG2211",-3,NA,33159.6793274529,0.198894296192598,"3","1"
"COG2225",-3,NA,47903.3311080107,0.104707407641695,"3","1"
"COG2235",NA,-3,1086.04827457001,0.893231730851233,"2","2"
"COG2236",-3,NA,15111.9605641304,0.202324318588429,"3","1"
"COG2243",NA,-3,6099.14477675107,0.334986315063608,"2","2"
"COG2274",NA,-3,18736.6338595386,0.192532857872432,"3","1"
"COG2309",NA,-3,7837.6862445315,0.328216996120216,"3","2"
"COG2316",NA,-3,751.087081683217,1.556074502939,"2","3"
"COG2352",-3,NA,46736.6281722835,0.16531383993895,"3","1"
"COG2353",NA,-3,6249.98602402848,0.171364236417312,"2","1"
"COG2429",-3,NA,1217.179370061,5.00176747488924,"2","3"
"COG2431",NA,-3,172.704147073574,2.00036061643558,"1","3"
"COG2440",NA,-3,93.3600773716044,1.72062534429122,"1","3"
"COG2450",-3,NA,57.196980325337,1.36774022177618,"1","2"
"COG2512",NA,-3,1841.01634042494,5.21127675386371,"2","3"
"COG2520",-3,NA,5994.30223942691,1.21303309728073,"2","2"
"COG2608",-3,NA,581.089672666541,1.34014736871901,"1","2"
"COG2703",NA,-3,475.777948885708,2.19373809452782,"1","3"
"COG2731",-3,NA,71.4652300321262,1.18345502171917,"1","2"
"COG2810",NA,-3,17.7728896999069,6.44010071614039,"1","3"
"COG2848",-3,NA,277.768440961248,0.86102734367438,"1","2"
"COG2861",-3,NA,3533.47748718433,0.466043241162468,"2","2"
"COG2873",-3,NA,48923.0868138033,0.153458735533452,"3","1"
"COG2895",-3,NA,11042.637299869,0.106049797490753,"3","1"
"COG2902",NA,-3,11570.3860540419,1.06192070475085,"3","2"
"COG2905",NA,-3,4495.53182073747,1.57617170654447,"2","3"
"COG2923",-3,NA,761.872738303116,0.43244333684796,"2","2"
"COG2927",NA,-3,2248.42464839556,0.155819457683674,"2","1"
"COG2931",-3,NA,45720.9529547632,0.122196303725278,"3","1"
"COG2932",NA,-3,1497.15485755845,1.43432069930455,"2","2"
"COG2958",-3,NA,56.524024376886,2.12355621470185,"1","3"
"COG2959",-3,NA,2437.89335652652,0.896517459225516,"2","2"
"COG2971",NA,-3,2912.96948676483,0.569378440436956,"2","2"
"COG2974",NA,-3,1896.0177501734,1.3273416619485,"2","2"
"COG2979",-3,NA,394.691730089849,2.28311058723508,"1","3"
"COG3001",NA,-3,6372.71666167711,0.293709696938154,"2","1"
"COG3004",-3,NA,15296.5125993415,0.104854021545947,"3","1"
"COG3008",-3,NA,2357.62868709063,1.85915190877545,"2","3"
"COG3015",-3,NA,68.4479608155859,2.7474933274848,"1","3"
"COG3040",-3,NA,2590.17717702094,0.321614031887755,"2","2"
"COG3062",NA,-3,24.1173218030413,4.9213950691904,"1","3"
"COG3077",-3,NA,142.406518458435,1.91103385744328,"1","3"
"COG3080",-3,NA,236.867051498448,6.33426759026668,"1","3"
