"","Sample.1.to.50","Sample.51.to.100","BaseMean","Estimated.dispersion","AbundanceStrata","VariabilityStrata"
"COG0001",NA,-1.5,43844.7948254965,0.0948972419019688,"3","1"
"COG0010",NA,-1.5,45800.4727842166,0.119557400021532,"3","1"
"COG0014",NA,-1.5,38955.544177558,0.114237953222095,"3","1"
"COG0027",-1.5,NA,7893.60377153957,0.534547613444246,"3","2"
"COG0041",-1.5,NA,19267.5353088924,0.0880398667716801,"3","1"
"COG0043",NA,-1.5,22404.158826827,0.428717568016092,"3","2"
"COG0095",-1.5,NA,5468.03658827381,0.481126262396971,"2","2"
"COG0100",-1.5,NA,15751.8701408964,0.0868199229528074,"3","1"
"COG0104",-1.5,NA,54738.5614462285,0.0690449767532262,"3","1"
"COG0107",-1.5,NA,27763.0319219643,0.10035529269824,"3","1"
"COG0112",-1.5,NA,53804.0671338146,0.0625226606562389,"3","1"
"COG0125",NA,-1.5,21815.6109543875,0.0934825218311197,"3","1"
"COG0138",-1.5,NA,60885.1498785921,0.0988723491287391,"3","1"
"COG0140",-1.5,NA,8606.95110747675,0.123379482063081,"3","1"
"COG0148",-1.5,NA,51676.1673561099,0.0888269408434636,"3","1"
"COG0152",-1.5,NA,33836.8595369256,0.0883147126361426,"3","1"
"COG0153",-1.5,NA,9357.34782743723,0.224345708284492,"3","1"
"COG0154",NA,-1.5,130428.240637719,0.0728833861585772,"3","1"
"COG0172",-1.5,NA,50501.6264782939,0.0876705021131855,"3","1"
"COG0177",-1.5,NA,28537.7004759775,0.0727246840489764,"3","1"
"COG0227",NA,-1.5,10140.7148030535,0.121087193977798,"3","1"
"COG0234",-1.5,NA,22831.0328350807,0.468604749648564,"3","2"
"COG0236",NA,-1.5,9651.00453976806,0.050708006773214,"3","1"
"COG0247",-1.5,NA,66546.5104801767,0.143146636368943,"3","1"
"COG0248",NA,-1.5,25767.1034763042,0.190333598285825,"3","1"
"COG0258",-1.5,NA,119534.369596649,0.179320949873273,"3","1"
"COG0280",NA,-1.5,53163.5823532062,0.104331506256605,"3","1"
"COG0293",NA,-1.5,17221.1539492639,0.0826916464894664,"3","1"
"COG0315",-1.5,NA,10718.7809754125,0.105341108035065,"3","1"
"COG0323",-1.5,NA,22565.0153133738,0.0473147488974656,"3","1"
"COG0333",-1.5,NA,3414.09905392029,0.16545479172789,"2","1"
"COG0360",-1.5,NA,13471.9846096313,0.0810651657567155,"3","1"
"COG0371",-1.5,NA,8244.91588565461,0.683523879419839,"3","2"
"COG0384",-1.5,NA,8501.60888219911,0.0722757821342711,"3","1"
"COG0411",-1.5,NA,41190.7098217538,0.105293770699933,"3","1"
"COG0412",-1.5,NA,23104.340166421,0.0982164130878137,"3","1"
"COG0418",NA,-1.5,10381.8768558657,0.246068764309218,"3","1"
"COG0424",-1.5,NA,22712.8683126346,0.0581699231925542,"3","1"
"COG0449",-1.5,NA,69960.5667097918,0.056392468112078,"3","1"
"COG0468",-1.5,NA,91644.024264411,0.417867147532752,"3","2"
"COG0470",-1.5,NA,79025.1572685341,0.392992526936146,"3","2"
"COG0481",NA,-1.5,68267.2660822955,0.123612151250185,"3","1"
"COG0484",NA,-1.5,57194.0569047571,0.0898712080525493,"3","1"
"COG0506",-1.5,NA,29148.9595276339,0.134485067207615,"3","1"
"COG0518",-1.5,NA,71024.035267892,0.0775484886427424,"3","1"
"COG0527",NA,-1.5,57146.6570274675,0.0497586635384378,"3","1"
"COG0537",NA,-1.5,24521.7015363031,0.0556942268927065,"3","1"
"COG0540",-1.5,NA,40800.317340344,0.0856703633521165,"3","1"
"COG0546",-1.5,NA,30959.0168142031,0.0235226754867193,"3","1"
"COG0571",NA,-1.5,23399.7459585697,0.114098450140038,"3","1"
"COG0572",-1.5,NA,6783.92663095911,0.14991020419646,"2","1"
"COG0579",NA,-1.5,23246.1126377109,0.10819522203746,"3","1"
"COG0581",-1.5,NA,19357.4789305525,0.607300321918175,"3","2"
"COG0597",NA,-1.5,14753.4413835032,0.0432752809073207,"3","1"
"COG0608",-1.5,NA,32710.1333720425,0.0657238856686917,"3","1"
"COG0615",NA,-1.5,7351.21929095523,0.283928223495202,"2","1"
"COG0632",NA,-1.5,10503.9030774305,0.0476901111631647,"3","1"
"COG0648",NA,-1.5,7008.32124590727,0.645147584320368,"2","2"
"COG0661",-1.5,NA,75743.9902388148,0.147419741188731,"3","1"
"COG0662",NA,-1.5,38609.7923134146,0.252309845373025,"3","1"
"COG0670",-1.5,NA,19365.1019516703,0.120370300462963,"3","1"
"COG0674",NA,-1.5,29753.8023226052,0.541940157009179,"3","2"
"COG0675",NA,-1.5,2766.50869401614,1.7403134732008,"2","3"
"COG0683",NA,-1.5,74306.2419046414,0.06368464936461,"3","1"
"COG0692",NA,-1.5,8486.80761981293,0.194393744503298,"3","1"
"COG0697",-1.5,NA,242061.048815264,0.115363164771739,"3","1"
"COG0701",-1.5,NA,5383.93926625418,0.44114039068555,"2","2"
"COG0714",-1.5,NA,122377.579811125,0.367065805774999,"3","2"
"COG0744",-1.5,NA,26913.4081620785,0.101653986159933,"3","1"
"COG0769",-1.5,NA,56337.2813624197,0.125263273290208,"3","1"
"COG0781",-1.5,NA,14747.2419101748,0.0838889728954925,"3","1"
"COG0812",-1.5,NA,31057.8505688461,0.101162064921211,"3","1"
"COG0839",-1.5,NA,17135.4765782456,0.16498936246624,"3","1"
"COG0847",-1.5,NA,36640.2359790692,0.0463912923924676,"3","1"
"COG0851",-1.5,NA,1496.88467657787,0.829405802306394,"2","2"
"COG0858",NA,-1.5,12170.4758161135,0.0891091670428783,"3","1"
"COG0861",NA,-1.5,19155.5239674228,0.147596983491504,"3","1"
"COG1005",NA,-1.5,39168.1731599646,0.165621354943126,"3","1"
"COG1006",NA,-1.5,1687.10711096047,0.231998987219823,"2","1"
"COG1018",NA,-1.5,18727.6215372038,0.367780209257562,"3","2"
"COG1027",NA,-1.5,3456.43477956844,1.91830980834702,"2","3"
"COG1069",NA,-1.5,2200.28921006626,0.487659194559511,"2","2"
"COG1082",-1.5,NA,29107.6333140009,0.0826461043365407,"3","1"
"COG1088",-1.5,NA,40457.7705470791,0.261791024683155,"3","1"
"COG1108",NA,-1.5,28502.7979253135,0.229788165486864,"3","1"
"COG1127",NA,-1.5,10748.8838626352,0.163289469822234,"3","1"
"COG1141",-1.5,NA,2082.58243634561,1.94765544337259,"2","3"
"COG1143",NA,-1.5,22431.4398995545,0.31925005720178,"3","2"
"COG1167",-1.5,NA,18138.6419052372,0.175127746729103,"3","1"
"COG1168",-1.5,NA,6262.1398024949,0.159081560592732,"2","1"
"COG1175",-1.5,NA,57958.550544821,0.193945744580954,"3","1"
"COG1177",-1.5,NA,25175.4073899281,0.104347742812444,"3","1"
"COG1191",NA,-1.5,5130.80139446272,0.269634368389936,"2","1"
"COG1199",NA,-1.5,30221.4402717114,0.117162236298463,"3","1"
"COG1202",NA,-1.5,41.3859214527058,5.35158310564687,"1","3"
"COG1205",NA,-1.5,3816.03783089783,0.544272537234442,"2","2"
"COG1209",-1.5,NA,26067.4320052277,0.0869227165518458,"3","1"
"COG1227",NA,-1.5,1010.32792129907,0.841318211369819,"2","2"
"COG1230",-1.5,NA,12348.2242306056,1.06453700061089,"3","2"
"COG1263",-1.5,NA,68.5772286058782,2.09091993801435,"1","3"
"COG1283",-1.5,NA,11648.4324807041,0.282100982453008,"3","1"
"COG1302",NA,-1.5,25.6068915324518,1.63084442555209,"1","3"
"COG1336",NA,-1.5,3.38478998114855,5.80966288717863,"1","3"
