"","Sample.1.to.3","Sample.4.to.6","BaseMean","Estimated.dispersion","AbundanceStrata","VariabilityStrata"
"COG0002",-1.5,NA,29057.3481958553,0.0705486924923815,"3","1"
"COG0040",NA,-1.5,20537.832141944,0.0660608659943858,"3","1"
"COG0051",NA,-1.5,12305.8879139585,0.0706788039470585,"3","1"
"COG0052",NA,-1.5,31600.0596593038,0.0759137315780618,"3","1"
"COG0063",-1.5,NA,26444.9210713124,0.12235709656515,"3","1"
"COG0065",NA,-1.5,61132.9527952373,0.118959766334012,"3","1"
"COG0067",-1.5,NA,118159.567788303,0.113810896148259,"3","1"
"COG0075",NA,-1.5,35963.558616148,0.129847452320096,"3","1"
"COG0084",NA,-1.5,30472.7202379797,0.0376820500383844,"3","1"
"COG0091",NA,-1.5,14707.3987324791,0.100848439663436,"3","1"
"COG0098",NA,-1.5,21072.4280819067,0.0895584987656496,"3","1"
"COG0102",NA,-1.5,18782.7241541612,0.0827555968540715,"3","1"
"COG0109",-1.5,NA,40774.0677827171,0.092075426123863,"3","1"
"COG0121",NA,-1.5,2052.97254869834,0.68913245940897,"2","2"
"COG0132",NA,-1.5,6515.59333112492,0.201883837673402,"2","1"
"COG0137",-1.5,NA,38751.668244192,0.0754709300541763,"3","1"
"COG0141",NA,-1.5,55650.0088274591,0.127342474540452,"3","1"
"COG0148",NA,-1.5,51676.1673561099,0.088821026663641,"3","1"
"COG0160",NA,-1.5,31987.879120725,0.102487258258427,"3","1"
"COG0164",NA,-1.5,25103.5377078405,0.0988516026037013,"3","1"
"COG0169",NA,-1.5,34093.9834359713,0.0776519109402029,"3","1"
"COG0175",-1.5,NA,20574.9321115928,0.26347893494816,"3","1"
"COG0179",-1.5,NA,42525.4301626081,0.0507562747570311,"3","1"
"COG0180",NA,-1.5,44143.0986010045,0.0759930183485196,"3","1"
"COG0243",-1.5,NA,57662.6538401959,0.160406236150979,"3","1"
"COG0263",NA,-1.5,35026.6024608989,0.0888168833087641,"3","1"
"COG0264",NA,-1.5,27326.8045684579,0.0725529775576038,"3","1"
"COG0293",NA,-1.5,17221.1539492639,0.0826841993201071,"3","1"
"COG0294",-1.5,NA,33356.0535183897,0.0942961916508886,"3","1"
"COG0296",NA,-1.5,17807.6410898782,0.272844309786855,"3","1"
"COG0299",-1.5,NA,26495.3003570407,0.143416143138393,"3","1"
"COG0318",-1.5,NA,190337.269544916,0.0353903078255578,"3","1"
"COG0321",NA,-1.5,23101.6609151884,0.114821633757136,"3","1"
"COG0328",NA,-1.5,17897.8975821796,0.106002993546828,"3","1"
"COG0334",-1.5,NA,36049.9196354168,0.0470652036265285,"3","1"
"COG0339",-1.5,NA,30727.035828143,0.0902086172360922,"3","1"
"COG0375",NA,-1.5,502.562681891035,1.11832818136461,"1","2"
"COG0398",NA,-1.5,19457.6079206789,0.0846445700442047,"3","1"
"COG0418",NA,-1.5,10381.8768558657,0.246072198220039,"3","1"
"COG0423",-1.5,NA,30150.4161066969,0.275870791023277,"3","1"
"COG0427",NA,-1.5,4107.37719914357,0.906488807856174,"2","2"
"COG0450",-1.5,NA,14585.7324748061,0.0945551372515991,"3","1"
"COG0455",NA,-1.5,5112.92980295909,0.272374984443391,"2","1"
"COG0462",-1.5,NA,43286.8962287879,0.062208592254959,"3","1"
"COG0467",NA,-1.5,7552.33165350313,1.00282803200019,"2","2"
"COG0468",NA,-1.5,91644.024264411,0.417876171665674,"3","2"
"COG0492",NA,-1.5,70336.8654996498,0.118232512256965,"3","1"
"COG0505",NA,-1.5,44833.4968061917,0.0984342466598149,"3","1"
"COG0506",-1.5,NA,29148.9595276339,0.134481379765371,"3","1"
"COG0515",NA,-1.5,46041.4712183359,0.287042646640848,"3","1"
"COG0517",NA,-1.5,69920.9340736767,0.0298140969218272,"3","1"
"COG0518",-1.5,NA,71024.035267892,0.0775423148230836,"3","1"
"COG0534",NA,-1.5,66202.9381932806,0.0401083102314459,"3","1"
"COG0542",NA,-1.5,113611.11909789,0.095633780131137,"3","1"
"COG0547",NA,-1.5,35065.9908634345,0.0529202497511944,"3","1"
"COG0550",NA,-1.5,99201.5895830581,0.0863011321717135,"3","1"
"COG0553",NA,-1.5,81130.8724681153,1.03032812512062,"3","2"
"COG0572",-1.5,NA,6783.92663095911,0.14990178069084,"2","1"
"COG0576",NA,-1.5,24481.569059968,0.0895903181690246,"3","1"
"COG0584",-1.5,NA,27957.9060495975,0.0470355128612839,"3","1"
"COG0592",-1.5,NA,51586.0691027642,0.0860408623640552,"3","1"
"COG0595",-1.5,NA,38374.8672984044,0.185798875108454,"3","1"
"COG0597",NA,-1.5,14753.4413835032,0.0432690320409996,"3","1"
"COG0598",-1.5,NA,3165.01503358883,1.16668387396029,"2","2"
"COG0601",-1.5,NA,54818.2034721068,0.0900076534956031,"3","1"
"COG0604",-1.5,NA,98453.1519187121,0.0275762250863687,"3","1"
"COG0640",NA,-1.5,11109.3244435335,0.479483776129718,"3","2"
"COG0647",-1.5,NA,18997.8905781982,0.199742858624348,"3","1"
"COG0674",-1.5,NA,29753.8023226052,0.541998637276454,"3","2"
"COG0699",-1.5,NA,1615.19244111766,0.749078389144679,"2","2"
"COG0701",-1.5,NA,5383.93926625418,0.441158937343726,"2","2"
"COG0711",NA,-1.5,28284.11895425,0.191628524707448,"3","1"
"COG0728",-1.5,NA,46884.0385832247,0.131581600347256,"3","1"
"COG0735",NA,-1.5,34389.4488991996,0.152447804666205,"3","1"
"COG0762",NA,-1.5,9628.90468171564,0.137533047449042,"3","1"
"COG0769",NA,-1.5,56337.2813624197,0.125259740806823,"3","1"
"COG0778",-1.5,NA,38609.9717770888,0.0335087333433791,"3","1"
"COG0782",NA,-1.5,18106.9535006569,0.0299579587094838,"3","1"
"COG0783",-1.5,NA,2674.41452910828,1.1183423005053,"2","2"
