"","X142_SUR_0d2.3","X38_DCM_0d2.1d6","X133_SUR_0d2.3","X72_DCM_0d2.3","X122_DCM_0d2.0d45","X137_DCM_0d2.3"
"COG0001",3201,3206,3780,3294,3689,4098
"COG0002",2510,2658,2922,2508,2509,2496
"COG0003",140,94,129,88,84,146
"COG0004",8206,8055,9321,8104,6391,8312
"COG0005",2577,2247,1447,2365,2193,3201
"COG0006",11170,11276,10210,11965,11845,15493
"COG0007",673,1073,830,754,531,2634
"COG0008",7576,6880,7436,5011,5103,4774
"COG0009",3064,2820,3000,3068,3036,2522
"COG0010",4072,4905,3999,4144,3754,4676
"COG0011",64,157,35,36,17,132
"COG0012",4668,4373,4325,4606,4712,3803
"COG0013",10107,9415,9567,10419,9682,7724
"COG0014",3864,3761,4148,4111,3776,2974
"COG0015",5427,4801,5335,5411,5442,4433
"COG0016",4259,3825,3891,4048,3996,3384
"COG0017",1218,832,712,1493,1631,1746
"COG0018",6694,6568,6892,6839,6698,5146
"COG0019",6343,5756,6717,6633,6101,5361
"COG0020",2808,2509,2462,2882,2946,2139
"COG0021",6860,6780,6720,7398,7946,7163
"COG0022",5688,4160,4425,5235,5314,4021
"COG0023",282,244,277,264,183,236
"COG0024",3147,2749,2998,3077,3076,2615
"COG0025",1164,1362,1010,794,783,1612
"COG0026",2767,2949,3034,2389,1833,752
"COG0027",769,1045,990,502,261,152
"COG0028",13061,13040,14746,15002,15176,15112
"COG0029",1519,2041,2158,1213,893,1428
"COG0030",3016,2652,2788,2933,3103,2577
"COG0031",4672,4824,4703,4777,4716,5019
"COG0033",888,1389,561,415,228,329
"COG0034",5842,5432,5936,3602,3734,3380
"COG0035",729,929,629,684,597,701
"COG0036",3030,2780,2745,2815,2873,2522
"COG0037",5842,5366,5175,5769,6337,5124
"COG0038",1375,1928,1007,1011,650,1542
"COG0039",3690,3144,3603,4011,3908,3210
"COG0040",1782,1844,2062,1876,1844,1846
"COG0041",1772,1656,1951,1927,1731,1423
"COG0042",4171,4506,4385,3982,3860,3530
"COG0043",1849,1546,637,1397,1727,3425
"COG0044",6891,6242,6983,7340,7032,7161
"COG0045",5142,4395,5122,5657,5569,4030
"COG0046",8807,7901,9180,8572,8725,8738
"COG0047",4010,3385,4885,4115,4539,3526
"COG0048",1511,1336,1465,1476,1470,1187
"COG0049",1837,1634,1711,1735,1728,1575
"COG0050",4536,4286,4775,4855,4982,5267
"COG0051",1236,1056,1072,1082,1108,922
"COG0052",3086,2570,3048,2858,3109,2662
"COG0053",589,586,163,472,455,2066
"COG0054",1446,1413,1442,1350,1336,980
"COG0055",5704,5422,5898,5954,5835,4790
"COG0056",6385,6107,6425,6490,6391,5131
"COG0057",5346,4876,5340,5053,4672,4292
"COG0058",1558,2759,1227,1873,841,1185
"COG0059",3690,3430,3929,3669,3434,2730
"COG0060",11378,10652,11196,11494,11500,9494
"COG0061",3306,3445,3264,3145,3142,2635
"COG0062",2012,1775,1014,1895,1955,3916
"COG0063",2486,2131,1580,2377,2681,4090
"COG0064",4627,4895,4803,5063,4518,3632
"COG0065",6245,5651,5706,3937,3346,3023
"COG0066",1879,1664,1678,2656,2292,1984
"COG0067",11398,12542,12362,10811,10411,10020
"COG0068",29,27,16,81,173,212
"COG0069",15324,15685,17519,15109,13800,13810
"COG0070",10790,11389,11814,9910,9655,8743
"COG0071",1856,5928,2917,3659,2448,2349
"COG0072",5897,5252,5823,8636,8624,6537
"COG0073",7304,6145,7149,6684,7418,6211
"COG0074",3768,3198,3778,4082,4150,3365
"COG0075",2848,3401,2949,2351,2261,3191
"COG0076",1716,1553,1190,1169,1307,2149
"COG0077",3126,3065,3623,3253,3022,2499
"COG0078",2926,2744,2762,2798,3173,3016
"COG0079",5026,5362,5373,5077,4810,6048
"COG0080",1663,1432,1467,1583,1549,1454
"COG0081",2782,2463,2509,2662,2629,2201
"COG0082",4310,4126,4318,4296,4089,3063
"COG0083",684,879,653,350,403,332
"COG0084",2657,2661,2727,2872,2941,2584
"COG0085",14677,13312,16168,15010,15507,12077
"COG0086",16937,15653,17616,16085,15834,12617
"COG0087",2868,2523,2438,2619,2713,2283
"COG0088",2565,2199,2188,2331,2358,1789
"COG0089",989,885,930,655,707,575
"COG0090",3285,3028,3109,3193,3129,2572
"COG0091",1523,1261,1383,1420,1435,1069
"COG0092",2732,2484,2598,2799,2666,2074
"COG0093",1397,1201,1288,1352,1345,1081
"COG0094",2163,2092,2116,1429,1534,1200
"COG0095",295,319,233,271,197,1173
"COG0096",1590,1391,1415,1518,1509,1365
"COG0097",2154,1922,2001,2043,2119,1667
"COG0098",1343,1245,1312,1899,2013,1644
"COG0099",1604,1386,1543,1463,1493,1283
"COG0100",1504,1314,1515,1470,1403,1315
"COG0101",3072,3215,3100,2945,3005,2129
"COG0102",1796,1712,1669,1785,1767,1386
"COG0103",1693,1400,1597,1533,1579,1331
"COG0104",5384,4879,5196,5418,5535,4156
"COG0105",1536,1387,1522,1573,1510,1533
