"","Sample.1.to.50","Sample.51.to.100","BaseMean","Estimated.dispersion","AbundanceStrata","VariabilityStrata"
"COG0018",NA,-3,93577.9293677835,0.0504944333133335,"3","1"
"COG0024",NA,-3,43749.7782228054,0.026389577803674,"3","1"
"COG0033",-3,NA,11085.344983306,0.869509218664713,"3","2"
"COG0034",-3,NA,80211.1639115943,0.0330627682664508,"3","1"
"COG0050",NA,-3,66225.1315769831,0.03102719328074,"3","1"
"COG0059",NA,-3,51868.5086988474,0.039202997588983,"3","1"
"COG0066",-3,NA,37529.8577731834,0.0479614626750319,"3","1"
"COG0068",NA,-3,1718.73992107449,1.21881702735103,"2","3"
"COG0071",NA,-3,38081.2971478642,0.183255574586432,"3","1"
"COG0091",-3,NA,19920.9354041476,0.0320146692957085,"3","1"
"COG0098",NA,-3,28354.7869754568,0.0327112807732787,"3","1"
"COG0146",-3,NA,46541.8093157666,0.280996603485633,"3","2"
"COG0174",NA,-3,153835.904978905,0.0439395373286649,"3","1"
"COG0175",NA,-3,21290.621641754,0.11187320640465,"3","1"
"COG0187",-3,NA,165981.375937964,0.055383142206996,"3","1"
"COG0214",NA,-3,10054.8562594173,0.403102039055159,"3","2"
"COG0216",NA,-3,54661.5033553007,0.0533915735269,"3","1"
"COG0226",NA,-3,31377.916589708,0.663987576335607,"3","2"
"COG0228",-3,NA,20132.4619294928,0.0851729703974453,"3","1"
"COG0231",NA,-3,30917.5638002087,0.0212995357561863,"3","1"
"COG0234",-3,NA,19447.0568411412,0.0459895386399103,"3","1"
"COG0236",NA,-3,12497.4904949605,0.0387989881932378,"3","1"
"COG0241",-3,NA,14569.4543649516,0.0445040899447861,"3","1"
"COG0261",-3,NA,21724.1514893395,0.0748334697772577,"3","1"
"COG0263",NA,-3,46613.6523677026,0.0730979086999076,"3","1"
"COG0272",-3,NA,102689.316050044,0.0641829000222885,"3","1"
"COG0280",-3,NA,70136.712646272,0.0934751690225949,"3","1"
"COG0296",-3,NA,23331.2058869441,0.257071396860583,"3","2"
"COG0316",NA,-3,38929.0473370753,0.0289020506920021,"3","1"
"COG0319",NA,-3,18816.7247917785,0.0567636515398902,"3","1"
"COG0326",-3,NA,45208.3406698564,0.116834146743694,"3","1"
"COG0333",NA,-3,4577.47530655455,0.135343163143708,"2","1"
"COG0340",NA,-3,35161.4028298842,0.0217324802188411,"3","1"
"COG0346",NA,-3,45335.3594457574,0.0376190149595862,"3","1"
"COG0351",-3,NA,25399.9581037559,0.0541620839997555,"3","1"
"COG0381",NA,-3,30358.7107458592,0.0831077007326586,"3","1"
"COG0418",-3,NA,13279.2448769664,0.270654033348992,"3","2"
"COG0424",-3,NA,29939.7409077811,0.0494709900269982,"3","1"
"COG0434",NA,-3,3508.15994074384,0.182279157273192,"2","1"
"COG0438",-3,NA,321664.941104069,0.0301729238016508,"3","1"
"COG0446",-3,NA,146511.502276934,0.0536398076278814,"3","1"
"COG0459",NA,-3,128253.500548472,0.0364654408253419,"3","1"
"COG0465",NA,-3,129025.253623442,0.123037715367306,"3","1"
"COG0498",-3,NA,77434.5165152923,0.0329408352568579,"3","1"
"COG0503",NA,-3,26230.6345689952,0.027149129386842,"3","1"
"COG0512",NA,-3,39220.3691117941,0.0496860840639044,"3","1"
"COG0519",-3,NA,70273.6654399865,0.0330738083283033,"3","1"
"COG0521",-3,NA,15142.0816560888,0.0583934464844966,"3","1"
"COG0529",NA,-3,19809.8335038565,0.0268718444182961,"3","1"
