"","X39_DCM_0d2.1d6","X76_DCM_0d2.3","X76_SUR_0d2.3","X65_MES_0d2.3","X84_SUR_0d2.3","X123_DCM_0d1.0d2","X142_DCM_0d2.3","X41_DCM_0.0d2","X78_DCM_0d2.3","X124_SUR_0d2.3","X4_SUR_0d2.1d6","X34_SUR_0d1.0d2","X100_SUR_0d2.3","X150_SUR_0d2.3","X125_SUR_0d45.0d8","X31_SUR_0.0d2","X72_DCM_0d2.3","X112_SUR_0d2.3","X72_MES_0d2.3","X150_DCM_0d2.3"
"COG0001",5585,8228,7153,12153,7841,3894,6365,2136,8339,8308,6905,2271,8512,6791,10525,3130,6650,7500,8466,6301
"COG0002",4557,4314,5891,5570,5176,2022,4937,1794,5650,4948,6322,1731,4520,5593,3984,2942,4982,6475,5319,4879
"COG0003",323,530,287,167,35,498,279,23,376,319,139,699,129,370,245,1331,181,119,194,450
"COG0004",17036,12917,15153,10264,9444,12336,15483,7753,15958,14854,17876,8248,15720,17961,9128,8253,16511,15761,12521,17161
"COG0005",4649,4252,4711,5909,2416,1176,5085,894,4882,4775,3657,1539,4071,4675,3522,1950,4728,5485,4633,4431
"COG0006",21178,16140,18447,29688,20392,7960,22257,2686,22621,20949,20427,7420,21686,23337,19526,9718,24346,18993,20725,21522
"COG0007",2323,2531,2058,3193,1452,1800,1295,3529,2296,1905,1676,424,1368,1673,3591,4613,1512,1911,3125,2046
"COG0008",13323,13080,12451,16173,14632,5962,15670,7510,15357,14571,14240,6316,15601,15018,15165,11370,14705,13419,14109,14277
"COG0009",5317,4406,5545,5722,6389,2367,6070,2350,5879,5667,6159,2071,6287,6066,3894,2884,5952,5852,5341,5484
"COG0010",9836,5822,8239,9830,9691,2570,8268,1014,8438,8114,7662,2839,8232,8665,5859,1941,8638,7557,8837,8657
"COG0011",272,186,82,115,9,26,123,14,190,482,60,24,356,92,121,3,115,166,162,84
"COG0012",8009,7310,9098,11432,7106,2669,9739,1990,9593,8904,8783,3418,9009,9549,6132,3091,9115,9720,9690,8656
"COG0013",12304,10709,13322,12094,10662,3799,13644,3190,13017,12711,19875,6998,19496,20625,12585,7529,20622,21688,18585,20034
"COG0014",7438,6003,8469,4656,5023,2661,7491,2646,7907,7610,8991,2446,6982,8234,4960,3889,8254,9027,6223,7662
"COG0015",9661,9016,10686,8955,8669,3234,10985,3781,10622,10571,10781,3708,10859,10689,7430,5778,10828,12063,8805,10158
"COG0016",7256,6499,8094,7766,7179,2502,8658,1748,8382,7967,8093,3123,8134,8441,6094,3318,8169,8675,7298,8067
"COG0017",2201,4373,2473,7183,3070,1426,4467,303,3874,2739,1761,1955,3080,3208,5011,396,2944,2164,4845,3348
"COG0018",12469,10246,13274,10519,10430,4020,13703,3460,12873,12987,13860,4795,14175,13710,8628,4956,13624,14693,12295,12828
"COG0019",10293,9322,12502,9263,10986,5420,12586,5817,11878,11017,13434,4571,10815,12997,8176,8201,13043,14061,9985,12078
"COG0020",4543,4603,4771,5253,4464,1971,5750,1298,5127,5404,5027,1885,5652,5348,3863,1947,5675,5438,4878,5041
"COG0021",12960,12442,12976,10399,8036,4378,13385,3521,12887,13726,13893,4136,13301,13439,9744,5853,14979,15403,11106,13000
"COG0022",8993,10824,8516,8875,12338,6586,12310,3679,9701,10646,7836,10179,11077,10113,9882,5441,10628,8470,7909,10262
"COG0023",560,831,699,1117,845,338,641,457,766,450,624,251,519,764,630,175,492,539,936,750
"COG0024",5465,5460,5861,5671,5126,2334,6456,2355,6007,6230,5949,2207,6188,6564,4517,3495,6070,6308,5684,6369
"COG0025",2743,3540,2862,3191,1814,2930,2400,3998,2251,2680,2066,1031,2234,2245,3430,5443,1638,2654,3385,2406
"COG0026",5611,4105,6756,2838,5281,1882,5524,1941,5415,5399,6349,1692,5728,5864,2521,2902,4728,6993,5050,5323
"COG0027",1797,1688,2322,274,1664,863,1441,2151,1596,2106,2007,689,1755,1668,976,1471,945,2220,1447,1279
"COG0028",27592,28439,28669,37851,22608,13162,25540,10103,32852,27358,30608,28182,27015,29529,34694,19164,30181,28916,28021,27279
"COG0029",4249,3881,4170,1331,1870,1494,3279,2798,3571,3981,4371,1013,2729,3728,2803,3166,2351,4794,3461,4010
"COG0030",4704,4508,5592,5812,5104,1821,5940,1604,5765,5802,5803,1779,6117,5952,4254,2336,5821,5878,5521,5165
"COG0031",9442,9204,10467,10815,7935,6047,9615,5729,10424,10383,9693,5642,10816,10216,8221,6348,9451,10851,9738,9936
"COG0033",3308,2188,3027,392,124,854,1664,1533,1623,1976,1696,328,1267,1658,969,2111,823,2749,2502,2088
"COG0034",10026,9411,11280,10537,10889,3452,11678,2993,10638,11123,11611,3727,12101,11407,7314,4243,10998,12223,9846,11156
"COG0035",2081,1477,1760,1242,1089,834,1399,1186,1479,1742,1549,540,1471,1576,1270,1291,1311,1603,1762,1518
"COG0036",5074,4639,5636,5509,4858,1677,5964,1264,6130,6106,5473,1798,6032,5965,3982,1923,5588,5995,5298,5521
