"","X123_DCM_0d2.3","X66_SUR_0d2.3","X41_DCM_0.0d2","X128_SUR_0d2.3","X109_DCM_0d2.3","X68_SUR_0d2.0d45","X52_DCM_0d2.1d6","X122_SUR_0d45.0d8","X112_MES_0d2.3","X65_SUR_0d2.3","X152_MES_0d2.3","X18_SUR_0.0d2","X78_SUR_0d45.0d8","X78_DCM_0d45.0d8","X132_SUR_0d2.3","X102_DCM_0d2.3","X67_SUR_0d2.3","X110_SUR_0d2.3","X41_DCM_0d2.1d6","X65_DCM_0d2.3"
"COG0001",1249,709,212,848,706,738,709,1004,1202,621,1129,305,860,806,735,689,631,737,557,728
"COG0002",596,542,194,439,474,604,474,569,516,517,570,303,591,520,624,455,486,456,393,471
"COG0003",40,22,2,49,19,10,20,38,16,15,47,32,28,34,18,26,22,32,38,24
"COG0004",1388,1594,747,1383,1764,1641,1725,1608,1018,1687,1068,1060,1426,1283,1765,1623,1567,1671,1511,1771
"COG0005",588,408,95,409,414,452,536,547,581,477,589,245,511,488,525,383,273,430,512,470
"COG0006",2359,2698,279,2108,2351,2686,2193,1478,2749,2444,2966,1095,1558,1902,1877,2398,2310,2436,2420,2373
"COG0007",313,104,350,170,167,149,206,365,364,83,312,405,312,276,217,152,288,121,140,120
"COG0008",1600,1636,754,1559,1474,1517,1420,1346,1513,1554,1712,1239,1362,1502,1293,1469,1455,1571,1460,1443
"COG0009",561,661,236,615,590,630,622,578,532,629,534,351,499,508,612,563,579,590,547,641
"COG0010",883,886,107,844,857,924,824,748,868,866,978,375,1017,787,865,841,860,915,982,911
"COG0011",28,6,1,40,38,2,26,199,6,7,9,4,22,41,6,15,5,20,12,12
"COG0012",966,1008,219,944,858,1056,956,930,976,1021,1148,356,887,907,1015,875,746,891,870,887
"COG0013",1800,2074,488,1975,2043,2135,2127,1919,1639,2050,1835,800,1994,1924,2121,2139,1484,2082,2020,1972
"COG0014",634,783,253,668,716,815,840,733,471,781,524,370,727,714,863,737,616,719,698,782
"COG0015",1039,1124,364,1116,1049,1153,1145,1170,862,1062,876,535,1072,1081,1113,1076,930,1039,1002,1034
"COG0016",827,852,176,847,817,950,814,700,689,850,710,317,708,761,876,806,717,876,761,816
"COG0017",553,415,31,429,276,377,249,296,715,361,622,210,244,377,197,336,344,304,531,435
"COG0018",1187,1474,349,1396,1328,1521,1485,1384,983,1476,688,385,836,920,1008,850,786,910,882,741
"COG0019",1057,1228,601,1078,1124,1421,1275,904,937,1383,1018,925,1021,1043,1304,1166,1021,1214,1079,1249
"COG0020",538,598,135,582,614,599,562,561,487,599,519,243,496,520,514,549,456,551,500,524
"COG0021",1210,1305,370,1258,1397,1416,1530,1311,891,1460,1079,581,1228,1204,1523,1337,998,1321,1281,1396
"COG0022",1078,1061,401,1221,1034,982,904,1140,1038,1015,845,717,1133,1067,949,1080,1131,1054,1246,1042
"COG0023",60,54,43,61,43,60,57,117,106,44,82,59,115,100,56,51,69,53,74,55
"COG0024",640,607,214,681,601,624,677,617,589,641,579,438,568,566,670,626,473,659,641,617
"COG0025",206,89,397,272,211,115,196,612,441,153,372,549,510,291,283,157,210,188,257,229
"COG0026",360,578,206,560,490,663,574,725,314,542,284,298,751,566,747,482,545,511,474,482
"COG0027",54,70,209,186,156,75,152,537,48,69,32,211,463,225,265,132,98,152,81,117
"COG0028",3976,2886,965,2456,2878,2826,2825,1974,4040,3063,3889,1254,2636,3014,2841,2670,2390,2892,2630,3022
"COG0029",246,243,293,339,304,183,346,748,117,209,81,246,418,359,337,187,186,186,165,200
"COG0030",540,652,166,621,537,692,595,692,477,585,529,255,660,613,575,551,466,608,569,569
"COG0031",1027,827,571,957,1037,904,1059,1421,1118,828,1108,800,1245,1135,1064,935,735,966,984,877
"COG0033",13,25,155,181,179,53,221,583,37,67,22,49,576,295,331,134,35,149,124,74
"COG0034",1016,1137,272,1134,1150,1141,1187,1176,985,1127,1117,475,1097,1099,1202,1132,1040,1165,1017,1074
"COG0035",92,106,129,170,165,102,179,318,115,125,112,95,280,183,211,146,157,144,93,146
"COG0036",637,651,131,648,577,646,581,609,497,605,549,200,552,589,554,559,476,609,526,576
"COG0037",1183,1316,459,1117,988,1341,991,966,930,1166,1121,618,1000,1076,1046,1078,1054,1072,1066,1071
"COG0038",220,137,110,270,246,115,259,666,446,185,338,497,622,398,364,264,280,237,287,281
"COG0039",830,807,98,762,726,862,726,386,593,786,667,305,471,599,743,726,654,794,761,839
"COG0040",486,430,117,347,365,411,376,367,374,420,384,230,311,396,427,309,368,390,318,354
"COG0041",337,386,83,359,356,398,416,368,308,352,362,139,374,353,429,357,316,366,357,391
"COG0042",704,873,532,933,865,872,836,1238,522,844,603,668,1067,940,982,756,931,840,771,822
"COG0043",886,306,138,245,123,306,257,185,716,355,771,306,186,574,94,249,185,142,338,465
"COG0044",1383,1455,288,1347,1289,1590,1428,751,1453,1446,1501,570,1028,1117,1300,1432,1152,1365,1248,1398
"COG0045",1011,1146,225,1040,1082,1200,1045,511,946,1188,1049,404,637,814,952,1133,933,1210,1020,1155
"COG0046",1103,1156,418,1213,1246,1203,1262,1199,1098,1197,1703,866,1609,1681,1989,1683,1523,1915,1599,1768
"COG0047",438,644,432,576,650,548,522,483,513,535,783,700,749,711,903,788,809,988,680,798
"COG0048",312,275,64,259,280,287,303,332,286,329,262,154,315,250,283,262,276,266,266,339
"COG0049",373,412,88,393,356,396,364,413,340,366,415,184,322,338,329,379,322,378,356,382
"COG0050",826,829,316,1000,996,830,898,967,767,899,796,654,977,915,1034,925,966,979,794,881
"COG0051",215,246,67,275,243,208,246,292,167,218,212,121,236,255,247,257,208,243,193,234
"COG0052",587,697,172,604,568,648,606,645,504,654,575,287,569,555,591,573,549,618,534,617
"COG0053",64,73,116,50,50,69,42,14,196,79,281,287,34,53,40,117,148,59,114,141
"COG0054",280,279,69,305,301,304,325,312,219,270,231,157,328,305,350,282,285,310,259,291
"COG0055",998,1049,236,1242,1271,1062,1137,1188,778,1179,819,482,1068,960,1307,1158,1099,1285,1076,1191
"COG0056",975,1249,295,1331,1429,1224,1376,1287,752,1331,816,550,1357,1172,1492,1279,1208,1353,1147,1353
"COG0057",861,967,657,1078,1088,974,1041,1245,832,1045,793,1033,1278,1102,1231,1014,1171,1043,992,964
"COG0058",86,96,1217,420,333,98,460,1152,196,224,173,116,755,541,454,324,73,263,992,219
"COG0059",460,429,119,463,576,481,530,470,375,485,617,412,743,679,814,695,642,786,628,747
"COG0060",2160,2364,521,2311,2304,2421,2417,2252,2001,2411,1363,597,1452,1440,1561,1557,1296,1538,1501,1491
"COG0061",696,647,160,700,670,639,669,943,632,624,683,248,771,723,771,598,606,626,570,625
"COG0062",569,233,302,319,233,297,338,595,584,273,657,387,527,476,422,256,112,244,368,382
"COG0063",694,282,272,441,358,413,487,754,684,387,729,434,603,570,499,302,171,330,463,426
"COG0064",831,1007,223,1009,1057,982,1149,1084,757,1030,868,367,990,928,1081,929,825,997,867,926
"COG0065",1267,1183,241,1179,1189,1248,1220,992,984,1203,944,419,1092,1111,1305,1142,997,1196,1129,1397
"COG0066",572,672,129,544,523,576,565,448,396,597,297,138,318,381,373,343,304,366,393,460
"COG0067",1819,2372,839,2063,2447,2316,2378,1593,1434,2481,1574,1098,2321,2104,2716,2100,1951,2439,1943,2487
"COG0068",9,1,14,10,7,3,3,12,38,3,20,42,22,14,13,13,4,13,3,3
"COG0069",2538,3170,1079,2823,3356,3205,3247,2464,2280,3171,2405,1674,3167,2768,3630,3169,2839,3431,2605,3281
"COG0070",1667,2156,864,1761,2288,2173,2176,1190,1181,2289,1291,1055,2161,1955,2332,1889,1803,2125,1796,2371
"COG0071",423,374,3478,437,654,406,699,341,432,528,389,581,314,358,425,913,518,594,1386,414
"COG0072",1700,1795,378,1698,1627,1994,1803,1667,1241,1835,1309,704,1604,1495,1748,1690,1405,1721,1527,1589
"COG0073",1252,1442,754,1397,1377,1496,1286,1110,1104,1426,1070,820,1295,1279,1258,1241,1365,1489,1245,1341
"COG0074",624,527,109,475,609,562,499,245,585,503,936,285,489,565,766,749,725,815,731,853
"COG0075",705,412,41,616,677,428,638,1130,972,475,925,198,1017,832,750,530,563,662,401,559
"COG0076",219,169,258,371,249,285,257,679,383,246,391,352,514,398,330,288,344,256,296,269
"COG0077",420,440,113,414,463,530,453,414,307,425,524,314,613,553,700,569,552,685,565,611
"COG0078",668,621,168,507,435,679,533,564,569,602,713,308,487,618,538,483,471,498,546,593
"COG0079",1019,1021,591,961,951,1164,1092,1418,1058,966,1121,500,1240,1218,1195,949,898,939,894,951
"COG0080",316,283,99,344,337,300,305,352,322,254,292,167,295,299,310,293,251,293,280,346
"COG0081",504,530,130,545,530,530,535,497,478,531,485,244,481,517,521,531,474,480,543,563
"COG0082",789,840,189,932,917,853,934,893,604,884,605,301,774,824,911,870,638,910,845,947
"COG0083",246,76,6,213,145,159,149,446,286,95,243,36,279,237,181,117,91,130,90,118
"COG0084",548,527,352,575,597,619,564,582,424,533,476,273,528,533,551,571,553,582,456,476
"COG0085",2828,3053,635,3029,2975,3089,2943,2697,2396,3189,2655,1410,2685,2705,3080,3246,3592,2828,2731,2838
"COG0086",2790,3354,828,3516,3462,3242,3383,3843,2156,3429,2309,1328,3549,3246,3536,3660,3660,3199,3192,3252
"COG0087",571,546,101,539,477,565,547,557,545,535,542,257,493,512,542,510,488,500,587,563
"COG0088",458,466,86,448,464,528,471,442,411,463,438,174,430,495,472,483,406,402,476,496
"COG0089",185,263,57,250,199,218,216,241,192,212,211,94,185,194,186,216,210,179,179,221
"COG0090",575,584,106,674,634,609,650,658,522,630,545,271,677,631,739,594,589,608,564,624
"COG0091",260,294,60,308,295,297,287,265,227,279,264,115,256,263,284,294,245,283,288,299
"COG0092",330,379,65,372,364,380,374,395,289,410,482,247,519,475,517,563,497,548,519,577
"COG0093",257,250,62,304,295,276,320,288,239,272,258,100,299,275,313,278,264,269,264,281
"COG0094",461,494,97,430,432,477,449,420,383,463,410,187,429,435,414,428,417,437,391,440
"COG0095",107,22,63,98,66,29,83,309,110,33,151,19,214,153,113,69,30,57,24,76
"COG0096",301,303,82,288,273,340,291,342,261,310,288,155,323,268,322,293,264,321,282,319
"COG0097",404,459,106,407,394,433,390,441,303,421,335,172,398,415,446,395,404,421,423,400
"COG0098",384,413,68,440,402,394,389,509,340,432,358,192,376,405,412,401,354,408,380,454
"COG0099",289,307,58,344,283,319,308,349,296,317,320,152,307,283,321,300,268,279,290,267
"COG0100",288,325,42,337,319,272,288,290,331,315,284,132,266,269,292,326,290,317,233,311
"COG0101",437,700,166,606,592,664,626,614,377,646,389,253,559,576,583,596,548,629,627,637
"COG0102",343,343,82,413,399,408,333,384,303,386,234,103,212,244,248,258,220,238,237,253
"COG0103",278,352,89,305,287,323,317,302,216,336,254,177,274,282,325,290,276,347,316,346
"COG0104",995,1008,472,1026,1013,1078,1063,1055,815,1135,855,429,888,935,1059,1094,817,1056,1006,1044
"COG0105",265,287,80,311,332,336,314,373,297,300,324,163,272,321,315,301,261,317,277,327
"COG0106",434,392,138,369,339,438,404,389,387,402,360,220,404,368,451,359,341,354,265,380
"COG0107",587,458,132,476,509,575,490,511,475,522,469,242,542,491,583,496,392,523,441,527
"COG0108",688,823,225,875,757,777,843,968,478,779,513,465,887,791,860,738,578,766,680,746
"COG0109",765,741,148,759,703,851,794,797,666,778,729,292,837,802,828,766,605,745,704,830
