"","X124_SUR_0d2.3","X72_SUR_0d2.3","X52_DCM_0d2.1d6","X48_SUR_0d2.1d6","X78_SUR_0d2.0d45","X125_DCM_0d45.0d8"
"COG0001",85,63,59,22,28,37
"COG0002",50,58,42,77,52,36
"COG0003",2,3,3,2,3,0
"COG0004",161,146,168,181,185,146
"COG0005",38,64,61,48,53,51
"COG0006",192,200,248,176,278,143
"COG0007",21,12,14,3,4,12
"COG0008",151,141,135,129,123,137
"COG0009",54,50,50,60,77,58
"COG0010",83,89,91,80,79,85
"COG0011",6,2,2,1,0,15
"COG0012",90,91,113,124,92,76
"COG0013",191,190,256,246,205,164
"COG0014",82,83,65,86,110,47
"COG0015",99,106,99,38,31,28
"COG0016",65,73,91,87,83,70
"COG0017",30,18,29,8,15,37
"COG0018",137,142,143,170,173,138
"COG0019",129,115,126,117,161,88
"COG0020",70,44,59,61,62,70
"COG0021",142,135,132,145,172,118
"COG0022",123,92,94,89,64,136
"COG0023",4,5,7,9,4,7
"COG0024",64,64,70,70,60,56
"COG0025",21,30,17,26,7,52
"COG0026",69,61,59,65,70,74
"COG0027",23,25,13,38,7,33
"COG0028",288,268,275,278,298,202
"COG0029",44,28,36,44,23,72
"COG0030",54,47,56,61,59,60
"COG0031",96,97,97,107,82,111
"COG0033",18,29,25,36,8,53
"COG0034",104,91,105,116,105,116
"COG0035",19,18,9,18,16,32
"COG0036",55,69,55,43,77,68
"COG0037",115,101,99,109,118,98
"COG0038",39,38,33,42,5,64
"COG0039",79,65,83,70,92,37
"COG0040",38,33,48,46,38,27
"COG0041",33,40,44,44,44,32
"COG0042",111,84,101,98,62,118
"COG0043",37,12,29,6,6,48
"COG0044",120,102,118,138,155,75
"COG0045",102,83,109,87,125,58
"COG0046",189,157,156,169,172,177
"COG0047",83,80,98,101,80,56
"COG0048",27,23,37,29,26,28
"COG0049",38,32,35,35,27,29
"COG0050",88,80,121,85,91,92
"COG0051",26,23,31,22,29,16
"COG0052",60,47,66,50,53,54
"COG0053",13,2,7,5,5,1
"COG0054",37,30,29,40,28,33
"COG0055",131,101,122,107,119,113
"COG0056",156,123,147,132,137,114
"COG0057",100,110,109,119,113,126
"COG0058",36,60,47,52,13,96
"COG0059",79,66,74,77,71,69
"COG0060",215,221,233,230,215,235
"COG0061",79,63,65,77,69,71
"COG0062",34,35,40,14,7,10
"COG0063",39,38,48,36,31,69
"COG0064",123,115,109,115,124,83
"COG0065",119,114,126,117,148,98
"COG0066",40,56,61,51,61,42
"COG0067",210,230,247,99,115,39
"COG0068",0,3,1,0,0,6
"COG0069",315,318,342,339,415,223
"COG0070",185,231,225,241,330,138
"COG0071",42,111,52,33,75,23
"COG0072",181,173,173,182,180,152
"COG0073",139,125,113,162,132,127
"COG0074",97,62,76,60,89,39
"COG0075",72,64,62,82,39,106
"COG0076",34,29,36,30,13,64
"COG0077",56,54,69,63,80,40
"COG0078",44,43,51,58,44,55
