"","X32_DCM_0d2.1d6","X125_SUR_0d2.0d45","X125_SUR_0d45.0d8","X68_DCM_0d2.3","X85_MES_0d2.3","X125_SUR_0d1.0d2"
"COG0001",10833,12583,10499,7756,10742,3896
"COG0002",4920,7392,3979,5683,4894,1942
"COG0003",409,139,275,235,185,760
"COG0004",14863,16124,9068,15410,9836,7336
"COG0005",4759,5442,3492,4553,5635,1540
"COG0006",22748,25633,19259,20575,29279,7285
"COG0007",2206,2460,3581,2985,3406,1879
"COG0008",15547,16204,15178,14201,16408,6181
"COG0009",5184,6493,4042,5464,5442,2457
"COG0010",7121,10793,5887,9008,8488,2946
"COG0011",105,37,118,314,109,38
"COG0012",8933,11848,6179,8926,8551,2777
"COG0013",12030,13917,8474,20584,14766,5907
"COG0014",6543,6779,5010,7775,4846,2659
"COG0015",10220,12151,7509,9815,8242,4405
"COG0016",7944,9929,6013,7797,6525,2555
"COG0017",3546,4988,3256,3288,5155,1051
"COG0018",11893,15122,8692,13410,10410,4151
"COG0019",9212,12137,8179,11543,7644,5206
"COG0020",4774,6001,3943,5021,4809,1956
"COG0021",11921,13160,9558,12996,10993,4278
"COG0022",12475,8799,9769,8752,8941,5952
"COG0023",472,483,361,1160,744,376
"COG0024",5905,7017,4534,6402,5300,2466
"COG0025",2014,1225,3531,3709,2658,2254
"COG0026",3946,4965,2451,5899,2761,2172
"COG0027",1042,308,908,2835,180,1544
"COG0028",41739,35430,34644,26172,36820,13336
"COG0029",2652,1038,2970,5080,2719,1595
"COG0030",5394,6620,4223,5817,4976,2091
"COG0031",9820,10739,8486,10936,9580,7115
"COG0033",616,63,985,3857,155,525
"COG0034",9713,11223,7311,11577,9722,3631
"COG0035",1358,839,1324,2039,1377,784
"COG0036",3560,5469,2618,6086,5029,1743
"COG0037",9646,13799,9400,10763,9514,6879
"COG0038",2761,1187,3121,5065,5009,1070
"COG0039",7221,8430,5291,5897,6119,2125
"COG0040",3774,5464,2995,4066,2990,1356
"COG0041",3351,3803,2469,3823,3056,1164
"COG0042",6922,7744,6803,10617,6711,3736
"COG0043",7125,5779,5389,4553,6932,1706
"COG0044",8522,10416,6550,12106,14148,4166
"COG0045",9862,11258,6645,8270,9133,3313
"COG0046",16038,17887,12374,17992,16197,5969
"COG0047",6621,7166,6837,7363,7827,3752
"COG0048",2605,3242,2044,3477,2637,1042
"COG0049",3576,4603,2571,4177,3357,1209
"COG0050",5560,5310,5153,9053,8242,3633
"COG0051",2058,2464,1722,2623,1832,818
"COG0052",5389,6702,4269,6333,4991,2058
"COG0053",1011,891,1467,861,3689,864
"COG0054",2484,3147,2209,3128,2242,1108
"COG0055",8957,9482,6830,11511,7479,3759
"COG0056",10071,10116,7494,12854,8763,3999
"COG0057",8997,9451,8076,10241,8080,5911
"COG0058",2091,268,2228,6211,3110,12898
"COG0059",6466,7357,5132,6903,5739,2730
"COG0060",20501,25362,15787,22089,18617,6699
"COG0061",6010,9151,4677,7801,5597,2056
"COG0062",4885,5674,4916,4231,5663,1500
"COG0063",5496,7402,5672,4652,6529,1720
"COG0064",8118,9711,4989,9777,7492,2815
"COG0065",12428,14663,7957,11189,9155,3758
"COG0066",6497,6208,4068,5510,4115,1777
"COG0067",18698,18831,13884,23068,17263,8672
"COG0068",98,80,756,162,58,435
"COG0069",25012,24878,20731,29978,25772,11990
"COG0070",18360,16675,12538,21952,13592,8277
"COG0071",4013,4381,3105,3894,3452,36737
"COG0072",14907,18532,10627,16622,11546,5018
"COG0073",12391,12714,10094,13875,11566,6107
"COG0074",7489,9125,5456,5931,8221,2444
"COG0075",7659,6999,6695,8363,12828,2909
