"","X42_SUR_0d2.1d6","X133_SUR_0d2.3","X64_MES_0d2.3","X125_DCM_0d1.0d2","X123_SUR_0d45.0d8","X123_DCM_0d2.3"
"COG0001",335,355,646,173,417,533
"COG0002",342,290,257,75,181,318
"COG0003",5,10,4,18,45,16
"COG0004",908,894,525,702,520,652
"COG0005",272,146,276,51,175,274
"COG0006",1050,1058,1516,244,960,1188
"COG0007",87,86,173,63,81,154
"COG0008",674,724,883,234,786,761
"COG0009",281,329,284,84,288,269
"COG0010",440,338,481,145,358,440
"COG0011",8,2,5,1,8,15
"COG0012",485,413,581,111,422,514
"COG0013",1032,976,868,207,945,939
"COG0014",442,438,244,102,309,361
"COG0015",559,532,463,160,489,522
"COG0016",464,377,384,81,382,428
"COG0017",83,117,350,32,304,296
"COG0018",785,683,537,179,648,583
"COG0019",666,669,426,198,447,532
"COG0020",302,230,233,66,265,267
"COG0021",249,231,186,148,511,625
"COG0022",410,422,457,180,791,475
"COG0023",29,33,53,9,26,37
"COG0024",349,279,309,93,316,309
"COG0025",107,96,121,84,173,89
"COG0026",367,300,142,22,97,64
"COG0027",102,98,13,41,78,27
"COG0028",1389,1472,1994,478,1102,2024
"COG0029",178,208,55,46,155,117
"COG0030",323,279,255,63,272,272
"COG0031",519,440,562,277,530,468
"COG0033",122,55,27,12,57,7
"COG0034",529,589,511,148,593,527
"COG0035",36,22,27,23,73,57
"COG0036",296,272,285,76,318,319
"COG0037",573,496,548,575,538,543
"COG0038",148,120,178,36,157,99
"COG0039",380,374,335,69,390,378
"COG0040",176,234,193,51,140,216
"COG0041",232,198,171,18,58,42
"COG0042",431,422,258,112,449,354
"COG0043",75,65,386,71,225,458
"COG0044",605,685,777,195,671,685
"COG0045",423,493,505,131,471,540
"COG0046",875,929,850,81,288,290
"COG0047",132,151,131,126,399,333
"COG0048",144,140,135,38,136,160
"COG0049",148,178,196,44,188,201
"COG0050",465,467,364,107,452,463
"COG0051",133,122,95,31,115,112
"COG0052",277,298,267,79,325,305
"COG0053",46,10,136,37,63,50
"COG0054",157,131,137,62,145,136
"COG0055",548,580,406,111,633,475
"COG0056",660,694,415,127,650,530
"COG0057",537,539,414,197,156,162
"COG0058",219,149,105,135,178,40
"COG0059",126,111,116,77,291,324
"COG0060",1151,1089,1037,238,1106,1088
"COG0061",312,319,365,22,106,125
"COG0062",162,95,345,74,160,276
"COG0063",227,146,382,80,148,343
"COG0064",557,482,404,127,389,389
"COG0065",614,574,500,140,471,625
"COG0066",278,225,214,57,253,260
"COG0067",1315,1275,728,267,804,902
"COG0068",3,3,10,4,8,2
"COG0069",1775,1731,1187,405,1115,1227
"COG0070",1269,1140,634,72,220,291
"COG0071",431,261,203,1992,204,206
"COG0072",889,862,616,198,782,795
"COG0073",643,721,513,239,753,604
"COG0074",379,349,504,79,304,437
"COG0075",327,325,508,80,296,360
"COG0076",139,139,186,180,216,137
"COG0077",342,364,250,91,252,310
"COG0078",272,275,351,86,229,352
"COG0079",194,186,190,250,396,529
"COG0080",147,164,156,52,138,162
"COG0081",272,255,257,61,278,283
"COG0082",448,455,310,86,395,397
"COG0083",44,64,137,17,85,132
"COG0084",77,95,83,115,278,251
"COG0085",1375,1651,1162,541,1445,1443
"COG0086",1628,1789,1143,529,1725,1448
"COG0087",271,243,260,56,257,297
"COG0088",241,223,249,51,210,239
"COG0089",31,26,42,24,125,79
"COG0090",338,316,280,232,290,319
"COG0091",154,144,119,39,137,132
"COG0092",264,265,228,66,265,256
"COG0093",52,46,37,33,156,120
"COG0094",207,195,196,44,215,239
"COG0095",47,33,86,4,28,45
"COG0096",50,52,64,41,150,146
"COG0097",195,160,151,44,179,221
"COG0098",196,189,184,49,167,212
"COG0099",132,149,166,37,162,172
"COG0100",114,156,138,30,157,164
"COG0101",324,298,167,67,313,245
"COG0102",188,165,162,38,191,174
"COG0103",170,133,128,13,66,48
"COG0104",502,550,408,482,440,505
"COG0105",139,136,141,38,150,139
"COG0106",216,216,172,65,169,205
"COG0107",247,238,245,306,202,303
"COG0108",402,400,264,117,396,335
"COG0109",374,360,391,121,349,356
"COG0110",115,124,174,152,142,205
"COG0111",875,923,944,650,729,1039
"COG0112",575,500,458,208,479,508
"COG0113",404,414,246,79,317,296
"COG0114",472,486,310,131,466,446
"COG0115",809,815,717,173,676,780
"COG0116",93,94,41,65,136,38
"COG0117",328,312,179,74,308,242
"COG0118",210,225,163,70,156,227
"COG0119",1011,1044,917,351,778,1045
"COG0120",93,105,131,25,96,79
"COG0121",6,3,21,23,17,5
"COG0122",205,186,293,39,202,246
"COG0123",365,372,243,122,427,252
"COG0124",529,486,460,131,486,532
"COG0125",236,155,230,55,156,228
"COG0126",491,464,396,43,144,125
"COG0127",295,250,180,71,240,233
"COG0128",463,474,414,117,438,411
"COG0129",854,863,673,218,522,692
"COG0130",185,227,215,52,226,237
"COG0131",222,199,190,51,108,194
"COG0132",51,39,94,37,48,67
"COG0133",425,430,344,124,293,407
"COG0134",286,262,242,62,180,212
"COG0135",194,213,129,38,121,128
"COG0136",448,424,338,111,296,342
"COG0137",385,403,356,98,303,336
"COG0138",611,653,396,177,621,543
"COG0139",151,166,119,36,105,124
"COG0140",98,82,61,22,52,65
"COG0141",576,576,456,92,394,484
"COG0142",771,750,747,164,702,709
"COG0143",606,527,620,150,573,557
"COG0144",247,260,164,65,278,147
"COG0145",278,244,787,20,129,271
"COG0146",208,232,651,41,298,641
"COG0147",804,767,568,175,634,646
"COG0148",446,453,488,110,446,487
"COG0149",247,258,237,63,247,258
"COG0150",434,376,380,398,367,377
"COG0151",488,480,512,103,479,464
"COG0152",274,305,298,577,262,358
"COG0153",50,110,61,3,144,60
"COG0154",1211,1214,1697,239,1097,1482
"COG0155",218,125,261,117,150,209
"COG0156",312,318,336,101,456,319
"COG0157",281,205,191,66,170,242
"COG0158",22,28,27,49,101,60
"COG0159",258,264,210,57,230,234
"COG0160",181,169,423,377,317,302
"COG0161",610,595,742,255,476,653
"COG0162",455,478,417,108,457,465
"COG0163",14,24,80,22,49,87
"COG0164",237,258,210,56,192,248
"COG0165",428,443,488,128,302,465
"COG0166",475,465,395,146,499,393
"COG0167",448,444,395,110,428,394
"COG0168",671,639,489,195,632,560
"COG0169",350,311,332,105,293,319
"COG0170",43,27,51,3,54,22
"COG0171",533,409,343,328,366,443
"COG0172",469,478,442,119,418,477
"COG0173",705,654,418,147,576,517
"COG0174",1063,1089,1187,715,788,1100
"COG0175",116,129,206,386,139,159
"COG0176",455,323,191,664,227,265
"COG0177",277,265,236,63,256,258
"COG0178",1117,1191,919,72,412,394
"COG0179",336,386,511,138,308,424
"COG0180",447,431,383,102,361,433
"COG0181",374,390,262,74,411,298
"COG0182",178,125,231,64,126,274
"COG0183",764,867,1310,387,939,1083
"COG0184",94,97,105,23,98,113
"COG0185",105,89,115,30,106,101
"COG0186",90,86,83,23,79,84
"COG0187",1111,1312,771,396,1218,1094
"COG0188",1418,1602,887,388,1365,1129
"COG0189",405,416,321,682,301,266
"COG0190",364,358,361,112,321,348
"COG0191",199,156,69,33,157,60
"COG0192",477,507,444,143,401,454
"COG0193",211,210,163,12,75,60
"COG0194",222,222,131,57,184,169
"COG0195",166,184,144,127,493,499
"COG0196",355,362,229,75,327,274
"COG0197",138,141,156,15,56,46
"COG0198",74,88,95,13,118,102
"COG0199",102,107,46,22,107,88
"COG0200",164,152,171,49,147,172
"COG0201",498,539,424,128,506,510
"COG0202",404,394,314,206,443,349
"COG0203",139,159,124,52,117,130
"COG0204",541,542,465,271,664,529
"COG0205",228,222,195,39,231,172
"COG0206",515,471,452,139,482,505
"COG0207",147,249,79,749,208,115
"COG0208",730,658,150,2776,449,243
"COG0209",1941,1773,1089,11520,1184,1297
"COG0210",1046,956,878,2734,881,852
"COG0211",105,86,71,19,94,84
"COG0212",150,196,148,157,135,149
"COG0213",42,60,128,15,110,81
"COG0214",38,20,104,18,63,151
"COG0215",570,508,523,120,560,522
"COG0216",401,421,315,86,381,355
"COG0217",217,251,187,77,202,218
"COG0218",93,118,63,35,130,80
"COG0219",151,134,97,25,121,128
"COG0220",125,159,70,21,188,103
"COG0221",96,66,11,73,51,28
"COG0222",136,129,94,58,118,130
"COG0223",443,447,344,245,399,437
"COG0224",398,373,232,77,330,307
"COG0225",398,384,266,69,344,292
"COG0226",379,83,52,164,123,105
"COG0227",113,103,73,24,95,65
"COG0228",148,163,74,41,137,126
"COG0229",229,243,196,44,233,183
"COG0230",5,2,1,6,8,9
"COG0231",194,196,223,54,204,218
"COG0232",297,258,187,93,198,249
"COG0233",184,200,121,53,173,159
"COG0234",139,142,116,321,122,103
"COG0235",237,259,214,99,224,224
"COG0236",93,90,70,31,110,88
"COG0237",194,183,202,61,215,230
"COG0238",77,78,52,18,82,73
"COG0239",20,25,32,6,29,42
"COG0240",270,322,254,81,299,265
"COG0241",91,103,89,41,93,117
"COG0242",350,328,173,911,224,236
"COG0243",426,348,695,270,496,656
"COG0244",213,185,211,57,219,252
"COG0245",300,247,153,54,222,194
"COG0246",67,73,47,34,51,39
"COG0247",499,540,816,203,533,759
"COG0248",279,224,103,56,212,108
"COG0249",456,535,366,197,660,381
"COG0250",224,222,200,59,219,230
"COG0251",209,248,378,101,336,351
"COG0252",28,38,195,53,105,133
"COG0253",350,310,195,68,283,276
"COG0254",85,86,66,21,86,70
"COG0255",5,22,14,4,13,15
"COG0256",130,119,125,33,123,136
"COG0257",5,4,4,2,6,1
"COG0258",1200,971,646,2344,978,806
"COG0259",179,197,116,46,149,114
"COG0260",526,489,365,172,419,476
"COG0261",172,189,99,24,156,123
"COG0262",79,121,57,15,29,24
"COG0263",419,328,223,93,237,279
"COG0264",240,272,206,66,247,212
"COG0265",742,786,753,859,746,1023
"COG0266",309,295,228,91,329,237
"COG0267",30,26,17,2,15,7
"COG0268",73,114,46,16,53,64
"COG0269",5,6,3,0,0,5
"COG0270",229,204,110,7687,211,235
"COG0271",24,33,19,16,64,64
"COG0272",741,741,482,382,677,680
"COG0274",108,86,76,235,91,78
"COG0275",356,343,194,67,281,261
"COG0276",407,400,154,85,373,343
"COG0277",934,880,1106,369,892,981
"COG0278",107,99,89,25,79,73
"COG0279",127,86,114,119,79,155
"COG0280",152,195,102,133,455,442
"COG0281",354,460,351,154,424,366
"COG0282",9,8,19,34,17,12
"COG0283",276,235,179,56,218,181
"COG0284",265,258,253,158,243,264
"COG0285",439,414,319,87,433,380
"COG0286",71,84,79,734,107,139
"COG0287",378,307,275,95,261,288
"COG0288",26,41,26,44,48,41
"COG0289",281,267,137,61,189,199
"COG0290",211,207,120,79,180,188
"COG0291",85,63,25,15,39,58
"COG0292",135,136,105,17,124,119
"COG0293",169,156,172,49,135,165
"COG0294",331,326,276,73,305,283
"COG0295",24,25,46,16,41,32
"COG0296",211,145,133,27,188,41
"COG0297",148,106,100,16,208,41
"COG0298",0,0,2,0,0,0
"COG0299",260,213,191,256,216,229
"COG0300",104,146,108,53,168,87
"COG0301",4,1,202,52,27,116
"COG0302",311,292,213,510,225,228
"COG0303",293,289,368,39,102,130
"COG0304",620,672,431,195,637,620
"COG0305",1269,1090,368,19463,675,602
"COG0306",148,165,228,72,217,191
"COG0307",233,212,171,43,202,168
"COG0308",553,529,914,240,893,612
"COG0309",5,0,30,11,7,42
"COG0310",44,13,1,6,12,7
"COG0311",26,12,84,12,39,87
"COG0312",798,708,480,154,558,376
"COG0313",278,343,175,75,283,236
"COG0314",72,85,115,18,70,115
"COG0315",93,84,124,28,89,131
"COG0316",274,300,282,273,77,91
"COG0317",302,248,178,291,647,574
"COG0318",1511,1750,2095,554,1830,1645
"COG0319",162,131,114,41,141,92
"COG0320",416,370,228,83,323,299
"COG0321",265,245,150,54,230,203
"COG0322",851,715,492,168,687,665
"COG0323",48,55,68,67,341,212
"COG0324",97,104,79,63,279,275
"COG0325",282,231,140,55,222,190
"COG0326",317,381,185,64,445,176
"COG0327",31,53,34,32,107,42
"COG0328",186,181,138,111,136,147
"COG0329",562,576,534,202,441,676
"COG0330",590,625,610,175,594,731
"COG0331",337,287,192,90,265,281
"COG0332",221,329,235,97,378,257
