"","X145_MES_0d2.3","X72_MES_0.0d2","X70_MES_0d2.0d45","X137_DCM_0d2.3","X70_MES_0d2.3","X42_SUR_0d2.1d6","X111_MES_0d2.3","X124_SUR_0d45.0d8","X112_DCM_0d2.3","X122_MES_0d45.0d8"
"COG0001",1186,225,1357,879,862,608,1081,935,752,728
"COG0002",532,282,466,532,410,230,195,140,163,145
"COG0003",14,45,123,15,22,19,20,25,25,11
"COG0004",1089,673,978,1658,979,1868,1362,1414,1485,1202
"COG0005",578,222,560,661,320,547,611,491,534,310
"COG0006",3111,800,1861,3051,2105,2166,3048,1423,2062,2322
"COG0007",329,361,310,531,494,184,416,369,182,354
"COG0008",1660,869,1716,1431,1420,1351,1701,1400,1492,1260
"COG0009",172,83,186,182,169,607,535,478,591,429
"COG0010",943,216,979,927,862,319,347,238,222,201
"COG0011",12,4,1,27,2,14,3,122,29,15
"COG0012",1117,305,1190,741,702,998,1112,769,905,620
"COG0013",1690,715,1652,1524,1241,2063,1775,1683,2154,1251
"COG0014",478,414,511,531,427,976,563,558,852,591
"COG0015",893,389,680,897,638,1194,918,974,1094,720
"COG0016",788,321,739,675,524,851,733,657,735,501
"COG0017",694,58,976,351,488,145,694,289,270,358
"COG0018",1104,483,1067,962,772,1531,1175,1160,1381,798
"COG0019",908,828,780,1001,843,1405,888,813,1310,830
"COG0020",492,209,484,443,376,197,169,155,173,132
"COG0021",1048,573,901,1509,920,1415,1146,1081,1520,1076
"COG0022",952,452,643,758,461,795,763,1232,1103,664
"COG0023",101,4,107,42,100,61,95,76,71,75
"COG0024",586,330,696,527,451,578,563,540,615,436
"COG0025",284,521,281,306,420,84,77,181,106,166
"COG0026",330,313,428,175,323,682,308,588,522,334
"COG0027",31,70,44,33,103,212,20,429,198,161
"COG0028",3813,1383,1984,3070,2721,2679,3522,1942,2789,2673
"COG0029",144,266,324,328,327,410,183,605,380,278
"COG0030",594,201,567,527,390,606,547,584,572,374
"COG0031",1014,729,959,985,791,1046,1050,1211,1112,898
"COG0033",18,113,75,67,226,236,12,458,232,204
"COG0034",1091,376,961,1039,766,1093,1068,1060,1170,760
"COG0035",113,82,110,142,108,188,165,275,186,172
"COG0036",575,167,495,482,372,614,558,572,579,392
"COG0037",1078,547,1032,995,971,375,356,310,371,232
"COG0038",125,66,140,100,123,333,352,564,344,432
"COG0039",701,282,595,634,428,709,713,390,705,484
"COG0040",378,168,290,365,285,382,377,340,397,273
"COG0041",362,122,311,280,251,379,374,319,434,267
"COG0042",563,514,698,672,739,912,588,1093,821,761
"COG0043",900,91,849,690,657,141,806,373,298,489
"COG0044",1485,756,1026,1371,978,1320,1476,837,1421,902
"COG0045",1086,338,847,845,723,932,1016,523,974,709
"COG0046",1825,671,1596,1782,1323,1803,1848,1576,1728,1292
"COG0047",844,337,702,772,962,810,840,660,751,892
