"","X124_SUR_0d2.3","X98_MES_0d2.3","X25_SUR_0d2.1d6","X56_MES_0d2.3","X33_SUR_0d2.1d6","X152_MES_0d2.3","X66_DCM_0d2.3","X124_DCM_0d2.0d45","X36_DCM_0d2.1d6","X32_DCM_0d2.1d6"
"COG0001",4088,6768,3039,4925,3104,5678,3646,5443,3165,5302
"COG0002",2348,2911,3304,2737,2912,2821,2621,3146,2848,2417
"COG0003",166,75,25,82,128,210,85,95,117,215
"COG0004",5005,3679,5802,3449,6163,5334,8599,8444,9268,7474
"COG0005",1617,2070,1117,1796,1602,2952,2030,2734,2153,2397
"COG0006",10391,15629,10488,11362,12307,14810,13211,11713,12561,11398
"COG0007",916,1571,884,1624,784,1638,490,943,742,1113
"COG0008",7407,8356,7287,7432,7209,8231,7921,8183,7072,7766
"COG0009",2776,2757,3284,2668,3157,2826,3095,3139,3074,2576
"COG0010",4219,4850,4136,4307,4989,5026,4520,4338,4709,3589
"COG0011",206,32,100,93,111,55,26,33,55,57
"COG0012",4359,5727,4166,5115,4704,5522,4872,5777,4306,4384
"COG0013",9643,9143,9136,8613,9469,8847,10340,10359,9330,8995
"COG0014",3786,2485,4562,2540,4202,2508,3794,3644,4353,3329
"COG0015",5409,4518,5035,3964,5160,4552,5470,6014,4957,5232
"COG0016",4172,4019,3807,3593,4091,3730,4353,4823,4127,4005
"COG0017",941,2387,351,2089,805,3230,2115,2921,1065,2667
"COG0018",6522,5585,5912,5404,6807,5247,7195,7053,6295,5751
"COG0019",5555,4585,7417,5211,6255,5031,6303,5763,6690,4682
"COG0020",2713,2601,2499,2529,2615,2505,2759,2786,2410,2430
"COG0021",6891,5451,6869,4654,6739,3675,4477,4632,4604,3869
"COG0022",5234,4342,3096,4534,4095,4245,5035,4493,3631,6133
"COG0023",207,530,163,412,221,454,279,338,151,337
"COG0024",3144,2879,2725,3092,3072,2864,3111,3341,2796,2871
"COG0025",1365,1079,741,2951,1129,1838,561,435,696,1033
"COG0026",2717,1426,3540,1998,3124,1521,2619,2819,3073,1920
"COG0027",1033,127,686,494,856,129,303,232,529,512
"COG0028",13650,21752,15479,14141,13690,19696,14513,17192,14108,20703
"COG0029",1894,556,1638,1078,1798,637,1457,775,1521,1305
"COG0030",2847,2998,2873,2858,2953,2878,3039,2898,2662,2660
"COG0031",5067,5475,4543,5297,4526,5201,4457,5502,3906,4986
"COG0033",973,33,508,739,970,71,139,59,328,316
"COG0034",5572,5377,5510,4945,5423,5156,5910,5754,5561,4855
"COG0035",914,581,548,681,969,487,347,298,357,449
"COG0036",3072,2745,2689,2556,2832,2721,3051,3436,2727,2834
"COG0037",5251,5663,4957,5158,5268,5356,5813,6261,5457,4891
"COG0038",1595,1457,1512,2009,1583,1666,650,589,1041,1369
"COG0039",3603,3586,3629,3032,3396,2283,2749,3031,2374,2294
"COG0040",1823,1935,2399,1844,1866,1921,2046,2573,1982,1893
"COG0041",1816,1826,1927,1599,1713,1780,1872,2068,1724,1690
"COG0042",4603,2602,4297,2770,4253,2901,4305,4013,3787,3446
"COG0043",1748,4488,773,3261,1402,3829,1859,4226,931,5402
"COG0044",6317,7928,6956,6470,6750,7426,7600,7270,6871,6535
"COG0045",3382,3561,3218,3045,3222,5147,5917,6180,5133,4882
"COG0046",8528,8657,8656,7804,8465,8455,9508,8955,8644,7902
"COG0047",4086,3882,4036,3569,3749,3901,4581,4135,3825,3237
"COG0048",1538,1455,1334,1296,1387,1370,1503,1524,1314,1332
"COG0049",1871,1939,1567,1684,1773,1839,1946,2059,1624,1748
"COG0050",4811,4006,4475,3172,4527,4020,4667,4279,4513,4221
"COG0051",868,678,735,637,708,950,1180,1201,1106,1064
"COG0052",3161,2848,2871,2665,2835,2810,3207,3217,2809,2783
"COG0053",567,1311,397,1264,673,1396,471,366,515,499
