"","X30_SUR_0d2.1d6","X123_DCM_0d2.3","X125_DCM_0d2.3","X64_SUR_0d2.3","X100_SUR_0d2.3","X67_SUR_0d2.0d45","X78_DCM_0d2.0d45","X68_SUR_0d45.0d8","X152_SUR_0d2.3","X122_DCM_0d45.0d8"
"COG0001",3211,6069,6085,3369,4208,2455,3920,4115,3939,3871
"COG0002",3574,3079,2662,2983,2348,2944,2937,2534,2538,2324
"COG0003",3,144,154,95,54,56,98,115,76,223
"COG0004",9070,6916,6668,8750,7755,9957,9378,6574,8769,5656
"COG0005",1912,2792,2442,2760,2058,1187,2516,2406,2061,2012
"COG0006",10120,12288,12836,11178,10990,13056,12189,9578,11791,7240
"COG0007",432,1429,1396,981,670,655,658,1384,754,2184
"COG0008",6500,8130,7350,7123,7770,6624,7725,7731,7957,6504
"COG0009",4000,2587,2535,2982,3206,3534,3285,2631,2890,2463
"COG0010",3099,4532,4701,4744,4011,4081,3847,4071,4647,2644
"COG0011",10,102,45,94,168,5,6,68,22,108
"COG0012",4586,4814,4641,5200,4611,4931,5416,4612,4749,3456
"COG0013",9371,9134,8723,11016,9737,9641,10823,9930,10342,7806
"COG0014",3302,3361,3304,4209,3409,4967,4160,3535,3495,3174
"COG0015",5649,5228,5067,5703,5438,5891,5790,5370,5425,4122
"COG0016",3565,4261,4067,4449,3947,4417,4629,3999,4266,2853
"COG0017",964,2887,2864,1393,1517,941,2098,2158,2182,1571
"COG0018",6556,6116,5764,7364,7033,7343,7573,6948,7003,5086
"COG0019",7433,5347,5253,6554,5540,8012,6317,5027,5837,4409
"COG0020",2687,2573,2521,2661,2890,3387,3032,2726,2702,2231
"COG0021",8344,5881,6031,7218,6611,7235,7494,5898,6202,5906
"COG0022",5232,5140,4946,5273,5509,4331,5261,5761,5424,4530
"COG0023",165,259,277,387,269,94,296,653,316,497
"COG0024",3489,3180,3068,3242,3163,2980,3226,3125,3295,2548
"COG0025",564,1055,1051,1421,1039,284,407,1929,893,2785
"COG0026",3624,1787,1597,3514,2910,3204,2793,2720,2855,2294
"COG0027",330,297,247,1229,871,177,216,1633,614,1640
"COG0028",13379,19941,19872,13676,13584,13928,16438,11815,14681,9323
"COG0029",1762,1160,858,2246,1373,926,997,2882,1757,2902
"COG0030",3088,2725,2652,3162,3015,3006,3113,3091,2886,2482
"COG0031",4940,4814,4931,5237,5436,3153,4912,5425,5133,4981
"COG0033",160,80,168,1695,649,21,106,1890,530,1748
"COG0034",6255,5165,4770,5764,6115,5247,5840,5590,5797,4176
"COG0035",301,470,478,980,722,701,485,1148,681,1143
"COG0036",2839,3178,3004,3202,3080,2871,3418,3041,3048,2184
"COG0037",4674,5962,5558,5602,5801,6867,6006,5174,5373,4660
"COG0038",611,1169,1023,1780,1243,163,489,2373,1083,2427
"COG0039",3357,3999,3708,3502,3803,3883,4360,2861,3788,1866
"COG0040",2004,2288,2057,2012,1701,2004,2271,1734,1858,1553
"COG0041",2084,1708,1592,1849,1840,1769,1936,1957,2029,1474
"COG0042",5131,3621,3495,4619,4600,3318,3712,5085,4484,4695
"COG0043",185,4243,4159,1319,332,333,2337,2703,1735,3123
"COG0044",8492,6953,6819,6340,6914,7679,7814,6129,7371,4623
"COG0045",4762,5257,4789,4887,5644,5837,6272,3655,5470,2523
"COG0046",8918,8029,7754,8976,9293,7851,9298,8819,9440,7216
"COG0047",1606,1120,1056,1279,1664,3610,4147,4186,4896,3597
"COG0048",1113,1475,1367,1536,1456,1426,1667,1693,1525,1220
"COG0049",378,605,623,593,562,1869,2001,2038,1740,1491
"COG0050",4154,4283,4010,4550,4881,1552,1484,1532,1493,1398
"COG0051",864,1076,1106,1041,1233,1234,1172,1212,1182,983
"COG0052",2548,3024,2994,2964,3149,3032,3150,3266,3126,2247
"COG0053",362,566,558,420,156,948,448,418,413,415
"COG0054",1379,1404,1282,1630,1483,1568,1530,1557,1434,1436
"COG0055",5472,4665,4517,6083,6111,5954,5860,5129,5937,4075
"COG0056",5874,5054,4982,6941,6974,6497,6600,6138,6732,4378
"COG0057",5922,4374,4364,5130,5454,5510,5282,5069,5154,5316
"COG0058",495,399,465,2514,1238,43,465,3308,1102,3346
"COG0059",1314,1149,1071,1325,1317,4164,3994,3443,3810,2801
