"","X76_SUR_0d2.0d45","X122_MES_0d1.0d2","X122_SUR_0d2.3","X125_DCM_0d1.0d2","X142_SUR_0d2.3","X152_DCM_0d2.3","X68_DCM_0d2.0d45","X25_SUR_0d2.1d6","X124_DCM_0d2.3","X109_MES_0d2.3","X34_SUR_0d2.1d6","X122_SUR_0d2.0d45"
"COG0001",306,206,398,158,305,434,426,305,525,466,291,368
"COG0002",311,140,234,59,244,259,247,327,247,290,305,220
"COG0003",5,29,21,19,12,8,9,3,11,7,19,16
"COG0004",936,490,777,754,813,850,1176,843,731,738,956,691
"COG0005",236,59,252,57,269,220,186,195,266,233,241,221
"COG0006",1139,452,1050,263,1101,1153,1129,1053,1180,1483,1250,1141
"COG0007",55,219,82,71,76,74,98,88,122,210,58,36
"COG0008",694,446,709,228,760,815,728,718,839,768,700,779
"COG0009",300,154,265,91,281,294,223,347,260,289,311,279
"COG0010",354,139,452,133,390,496,446,394,409,485,447,370
"COG0011",0,4,30,0,6,2,1,10,7,1,9,7
"COG0012",487,174,465,97,493,475,495,423,504,459,457,515
"COG0013",1087,327,989,212,1048,978,1056,906,910,827,903,1063
"COG0014",478,135,369,107,394,348,293,480,333,248,400,349
"COG0015",593,168,576,129,572,553,561,465,545,443,495,656
"COG0016",434,146,435,105,424,428,392,383,397,357,408,463
"COG0017",70,132,164,33,204,221,271,57,258,276,159,198
"COG0018",810,221,742,174,666,667,193,203,210,184,201,240
"COG0019",796,338,603,198,610,609,474,761,531,413,662,589
"COG0020",303,97,270,74,288,273,203,250,249,217,275,360
"COG0021",842,228,763,150,653,638,857,657,654,572,660,855
"COG0022",340,199,567,153,570,567,590,299,506,369,419,536
"COG0023",22,49,30,13,29,43,31,10,20,33,23,27
"COG0024",89,42,118,30,96,93,380,281,318,264,300,321
"COG0025",69,270,120,94,99,82,107,72,81,187,104,65
"COG0026",366,147,279,63,257,310,239,336,247,175,269,251
"COG0027",30,22,37,10,23,22,15,77,45,15,59,45
"COG0028",1398,668,1338,469,1305,1464,1750,1506,1781,1550,1341,1226
"COG0029",163,168,169,44,158,163,127,163,118,143,167,110
"COG0030",382,80,300,80,289,282,228,311,251,237,271,343
"COG0031",437,239,535,300,473,526,470,460,523,494,418,436
"COG0033",70,86,81,9,87,40,18,53,16,24,65,43
"COG0034",616,312,623,167,566,614,639,550,504,477,527,659
"COG0035",56,48,68,33,83,54,52,61,51,79,78,33
"COG0036",308,105,320,76,270,336,315,267,300,289,284,310
"COG0037",187,94,153,220,208,176,460,525,546,506,517,613
"COG0038",66,139,137,19,149,111,90,140,97,192,157,63
"COG0039",377,108,396,75,403,354,474,374,415,295,353,443
"COG0040",223,98,180,58,205,217,166,245,224,175,216,145
"COG0041",236,87,193,56,173,204,239,171,183,162,160,179
"COG0042",401,291,464,118,441,424,385,432,361,344,381,406
"COG0043",29,166,100,66,182,181,270,94,471,368,173,103
"COG0044",754,187,680,183,670,726,729,671,684,596,647,653
"COG0045",642,144,599,101,526,583,761,500,534,461,492,631
"COG0046",1007,432,939,238,867,888,1130,852,854,844,816,1046
"COG0047",485,322,446,115,476,485,550,395,402,445,376,518
"COG0048",164,49,182,37,174,138,156,143,147,129,155,140
"COG0049",180,66,211,25,183,174,245,153,160,172,171,179
"COG0050",423,275,476,123,446,437,544,493,458,441,478,496
"COG0051",91,57,129,23,117,140,137,117,110,104,113,108
"COG0052",294,99,324,82,317,303,304,292,296,261,290,304
"COG0053",47,62,27,38,58,34,54,33,32,216,82,35
"COG0054",159,84,164,39,166,145,116,142,138,83,157,165
"COG0055",689,244,654,110,594,573,735,581,557,462,554,643
"COG0056",724,239,767,123,590,682,792,602,575,505,591,643
"COG0057",517,492,513,576,537,528,515,549,480,467,544,463
"COG0058",108,203,217,150,176,102,44,107,64,97,257,125
"COG0059",404,188,363,92,355,386,429,382,352,283,336,363
"COG0060",1270,352,1135,233,1161,1124,1159,1018,1046,990,1141,1260
"COG0061",311,145,347,91,343,357,325,300,354,303,357,359
"COG0062",38,53,62,20,68,46,206,92,204,313,163,142
"COG0063",50,60,67,25,93,56,260,148,223,341,189,203
"COG0064",633,149,528,114,448,449,436,541,430,380,468,498
"COG0065",721,154,628,137,595,660,756,587,728,471,622,532
"COG0066",241,88,286,87,300,325,322,213,299,192,288,285
"COG0067",1491,493,1106,269,1135,1169,1300,1320,1006,865,1307,1030
"COG0068",2,90,2,4,1,2,18,9,5,39,2,5
"COG0069",2004,664,1574,367,1535,1661,1815,1771,1404,1357,1695,1435
"COG0070",1380,461,998,266,1075,1036,1204,1212,926,723,1189,969
"COG0071",298,1581,295,1954,190,189,194,246,222,190,311,282
"COG0072",960,316,877,190,855,815,689,887,803,565,804,937
"COG0073",685,355,694,235,716,653,639,732,691,488,717,730
"COG0074",347,124,440,105,378,411,537,377,429,392,368,444
"COG0075",206,193,312,79,283,298,216,322,385,401,298,209
"COG0076",93,123,137,198,167,127,119,80,152,238,117,96
"COG0077",310,121,341,73,329,328,302,387,292,264,312,325
"COG0078",284,145,293,79,310,278,311,311,310,293,297,284
"COG0079",590,410,497,235,522,524,406,603,507,586,438,458
"COG0080",183,72,166,60,146,168,178,156,145,147,146,147
"COG0081",258,108,264,62,285,267,323,227,230,231,248,260
"COG0082",489,123,480,84,421,435,495,393,415,277,458,456
"COG0083",40,56,64,15,70,63,89,38,76,79,54,50
"COG0084",317,225,277,116,253,260,229,296,258,288,255,285
"COG0085",1677,623,1605,548,1463,1580,1599,1600,1379,1243,1327,1515
"COG0086",1787,520,1814,481,1652,1629,1844,1478,1384,1164,1692,1668
"COG0087",288,110,309,65,257,300,352,245,271,236,242,274
"COG0088",217,69,238,54,257,261,291,206,240,189,241,261
"COG0089",123,39,113,27,97,88,91,86,91,96,99,101
"COG0090",320,124,356,265,327,314,391,301,330,234,323,352
"COG0091",164,53,143,27,135,137,145,142,146,131,153,168
"COG0092",276,114,281,53,276,248,316,222,314,229,268,282
"COG0093",155,56,138,27,135,153,160,145,142,107,128,145
"COG0094",185,82,215,48,226,209,62,66,71,59,69,70
"COG0095",15,15,54,2,46,25,1,9,7,18,15,8
"COG0096",163,68,171,35,155,165,131,141,149,148,134,156
"COG0097",168,72,209,50,205,192,225,219,219,160,205,255
"COG0098",177,69,205,28,205,230,75,52,77,50,45,61
"COG0099",178,56,201,43,164,156,146,148,162,141,160,152
"COG0100",174,70,177,41,168,170,187,156,132,153,147,132
"COG0101",323,89,309,72,354,340,263,298,251,177,316,323
"COG0102",178,82,190,37,189,179,211,170,170,149,183,211
"COG0103",157,64,163,32,187,152,159,142,146,131,138,188
"COG0104",610,213,554,444,547,502,664,522,481,418,502,595
"COG0105",170,65,143,44,125,144,147,128,161,161,140,181
"COG0106",232,84,184,41,184,197,54,74,65,45,61,56
"COG0107",326,108,284,303,247,268,252,303,276,227,257,224
"COG0108",436,153,426,131,391,396,379,417,395,257,397,469
"COG0109",391,183,421,107,355,373,476,367,381,377,394,418
"COG0110",152,175,142,145,133,125,144,140,164,163,110,155
"COG0111",826,448,776,651,905,942,734,959,1021,927,962,808
"COG0112",534,271,532,184,528,519,608,469,530,422,513,526
"COG0113",399,140,395,79,302,358,277,368,318,257,348,359
"COG0114",580,164,591,134,503,502,178,137,141,102,159,194
"COG0115",718,334,754,172,766,810,763,760,749,724,719,820
"COG0116",60,172,102,66,79,79,53,93,55,73,67,44
"COG0117",358,92,324,62,272,307,262,341,301,201,320,421
"COG0118",241,78,224,61,227,189,155,241,245,174,191,189
"COG0119",405,153,335,109,345,298,1128,1055,1004,903,1015,885
"COG0120",86,82,107,29,98,91,119,96,119,145,117,99
"COG0121",4,69,3,23,6,4,26,13,9,23,8,5
"COG0122",216,122,187,58,202,205,209,229,253,238,231,268
"COG0123",366,232,366,108,312,348,305,500,277,255,441,361
"COG0124",597,181,514,125,506,508,518,461,529,409,505,607
"COG0125",221,82,206,52,287,194,186,193,217,174,225,264
"COG0126",496,199,488,105,486,470,452,428,427,402,432,508
"COG0127",202,82,239,53,282,247,249,226,241,193,265,275
"COG0128",544,163,489,132,503,456,418,532,490,349,465,532
"COG0129",763,492,692,221,673,773,877,859,709,613,756,632
"COG0130",168,126,226,51,214,249,236,220,260,223,204,223
"COG0131",62,27,62,20,51,51,144,212,167,160,153,143
"COG0132",40,68,48,33,34,30,38,41,58,81,44,21
"COG0133",436,163,387,104,408,369,473,426,395,333,362,374
"COG0134",317,123,257,74,250,248,181,284,216,223,251,245
"COG0135",201,96,180,42,180,154,109,199,148,157,185,194
"COG0136",410,228,382,102,408,470,429,405,384,387,442,375
"COG0137",455,167,366,87,360,365,313,422,323,344,362,292
"COG0138",689,241,686,182,586,595,567,618,495,455,562,660
"COG0139",181,56,129,34,155,146,124,174,117,90,140,105
"COG0140",98,50,100,24,76,84,43,120,53,29,60,66
"COG0141",658,193,535,116,517,509,540,672,536,558,589,450
"COG0142",674,293,842,162,785,760,698,754,721,596,699,802
"COG0143",682,226,594,147,605,582,548,526,590,514,573,668
"COG0144",137,195,210,51,239,262,163,260,207,208,239,189
"COG0145",68,153,183,62,302,296,188,339,710,662,440,106
"COG0146",51,105,149,43,235,261,109,286,543,554,345,66
"COG0147",899,323,725,188,708,721,552,843,622,642,668,713
"COG0148",530,174,522,125,532,509,552,414,486,440,446,578
"COG0149",295,112,276,67,297,269,253,238,242,251,253,303
"COG0150",461,299,406,362,348,422,387,377,381,343,329,445
