"","X98_SUR_0d2.3","X148_SUR_0d2.3","X42_DCM_0d2.1d6","X48_SUR_0d1.0d2","X152_DCM_0d2.3","X94_SUR_0d2.3","X4_DCM_0d2.1d6","X125_DCM_0d2.3","X111_DCM_0d2.3","X78_DCM_0d45.0d8","X85_DCM_0d2.3","X152_SUR_0d2.3"
"COG0001",371,370,333,102,388,352,404,596,350,400,471,407
"COG0002",324,263,203,93,238,295,257,291,270,277,369,234
"COG0003",2,14,8,6,3,2,4,12,9,25,3,6
"COG0004",787,859,797,245,872,924,822,670,851,695,488,889
"COG0005",210,250,278,46,209,182,224,228,279,278,238,193
"COG0006",1072,1189,1207,277,1211,1073,1174,1253,1218,938,1353,1147
"COG0007",75,76,59,94,66,83,95,149,74,121,131,71
"COG0008",694,795,700,300,782,752,720,753,715,723,763,777
"COG0009",316,321,259,104,339,316,304,243,283,264,398,271
"COG0010",332,408,476,95,475,396,440,440,473,363,350,445
"COG0011",0,1,2,1,3,1,6,5,19,16,0,8
"COG0012",157,160,154,50,188,138,481,457,432,460,460,500
"COG0013",976,943,1032,271,1036,974,1045,845,1123,998,786,1011
"COG0014",493,375,371,105,334,440,380,318,413,347,273,342
"COG0015",671,524,483,159,561,483,533,519,565,505,466,500
"COG0016",447,413,379,90,408,411,433,367,433,396,378,424
"COG0017",91,202,230,68,207,97,179,288,142,191,145,190
"COG0018",222,238,255,50,231,265,706,570,650,637,605,687
"COG0019",747,658,602,238,587,702,598,516,690,508,530,616
"COG0020",300,280,289,82,295,244,270,216,309,269,257,253
"COG0021",765,632,723,167,578,683,685,567,740,599,457,582
"COG0022",414,490,562,339,542,406,541,497,497,612,520,540
"COG0023",15,29,23,19,31,17,26,20,31,56,41,37
"COG0024",321,351,302,126,307,305,344,279,327,281,284,329
"COG0025",87,89,112,191,81,131,89,104,95,162,113,90
"COG0026",375,247,214,114,284,320,256,166,271,253,275,296
"COG0027",28,19,12,19,19,29,58,29,72,120,83,57
"COG0028",1582,1516,1249,456,1490,1549,1470,2027,1498,1452,963,1413
"COG0029",231,143,129,101,177,164,175,96,178,254,217,176
"COG0030",350,278,291,93,292,281,101,85,96,92,64,103
"COG0031",541,488,507,246,525,526,472,500,488,557,392,524
"COG0033",75,47,74,92,67,80,49,18,97,169,2,52
"COG0034",609,556,530,166,608,593,605,498,559,503,655,631
"COG0035",64,50,64,40,58,66,63,55,75,98,61,65
"COG0036",305,292,278,93,346,293,291,292,311,276,296,282
"COG0037",486,589,524,190,546,573,592,554,583,570,643,560
"COG0038",99,140,145,122,118,114,110,90,140,215,159,116
"COG0039",378,439,356,93,380,368,426,369,353,302,303,384
"COG0040",256,196,185,67,210,216,170,214,188,188,134,184
"COG0041",174,166,162,40,169,181,182,158,213,181,168,193
"COG0042",417,438,364,189,445,439,413,369,433,453,462,452
"COG0043",41,214,192,63,192,31,143,411,164,281,118,166
"COG0044",773,790,631,170,736,718,671,678,765,570,640,700
"COG0045",554,546,491,113,508,575,548,499,515,416,385,574
"COG0046",1021,821,836,268,951,931,1000,830,937,809,786,912
"COG0047",440,432,289,163,499,465,458,345,416,355,411,478
"COG0048",152,154,123,39,146,129,166,143,162,146,179,155
"COG0049",184,164,156,55,183,148,199,183,182,160,195,205
"COG0050",499,458,439,181,421,445,461,397,485,444,643,419
"COG0051",117,110,105,32,113,93,123,106,124,107,144,137
"COG0052",316,318,290,85,284,310,265,268,308,326,310,322
"COG0053",18,57,63,44,34,13,47,59,37,28,93,44
"COG0054",53,54,38,24,44,44,176,156,164,145,145,141
"COG0055",703,575,529,177,539,608,545,456,633,497,639,559
"COG0056",723,675,613,193,632,664,610,518,658,590,700,659
"COG0057",564,524,509,227,532,490,528,439,571,527,516,515
"COG0058",150,116,617,348,81,91,119,39,176,231,2,112
"COG0059",427,388,314,115,363,409,365,314,413,363,286,346
"COG0060",1189,1151,1110,321,1148,1109,1142,1006,1177,1103,936,1177
"COG0061",357,329,307,85,344,338,333,311,358,340,304,322
"COG0062",115,175,189,87,142,125,129,282,196,245,65,144
"COG0063",183,242,206,116,175,152,184,346,242,306,64,181
"COG0064",544,481,473,136,444,508,495,399,479,432,408,422
"COG0065",653,703,611,141,617,628,616,596,578,551,556,657
"COG0066",290,266,284,68,285,227,271,295,266,298,229,308
"COG0067",439,389,329,122,370,448,1194,848,1080,1037,855,1156
"COG0068",1,2,0,32,3,11,3,21,1,9,1,4
"COG0069",1847,1564,1351,483,1591,1913,1593,1201,1663,1504,1603,1682
"COG0070",1117,1074,955,328,1104,1210,1103,762,923,1043,870,1090
"COG0071",199,185,707,2298,205,216,190,234,237,168,67,208
"COG0072",937,894,745,259,842,901,802,721,894,845,764,857
"COG0073",628,653,609,234,723,633,688,547,668,599,697,757
"COG0074",433,403,366,73,386,436,403,356,442,294,301,391
"COG0075",301,292,255,128,258,303,269,337,296,431,210,268
"COG0076",86,158,176,100,113,112,122,140,150,186,229,122
"COG0077",435,314,309,77,313,360,345,285,335,282,319,338
