"","X67_SUR_0d45.0d8","X142_MES_0d2.3","X4_SUR_0d2.1d6","X57_SUR_0d2.3","X68_SUR_0d2.3","X109_DCM_0d2.3","X4_DCM_0d2.1d6","X124_DCM_0d2.3","X123_DCM_0d2.0d45","X112_MES_0d2.3","X65_MES_0d2.3","X110_DCM_0d2.3","X93_DCM_0d2.3","X137_MES_0d2.3","X122_SUR_0d2.3","X100_DCM_0d2.3","X148_SUR_0d2.3","X85_DCM_0d2.3","X122_SUR_0d2.0d45","X30_DCM_0d2.1d6"
"COG0001",3030,5349,3344,3246,4011,3818,3672,5308,6061,5924,6104,3651,3580,4585,4107,3620,3623,4951,3763,3505
"COG0002",2174,2705,3189,2707,2976,2349,2486,2658,2932,2484,2794,1887,2298,2219,2284,2396,2651,3333,2200,2927
"COG0003",62,90,42,71,56,106,36,103,86,50,88,260,80,123,193,89,151,25,147,19
"COG0004",6447,5518,9017,8748,7896,9022,8301,7625,5829,5181,5130,7213,7225,6669,7894,8158,8626,4862,6689,8802
"COG0005",1276,2633,1928,2513,2285,2166,2060,2517,2330,2886,2967,2096,1049,3130,2356,2280,2567,2242,2175,2074
"COG0006",10412,13676,10206,10308,10483,11542,11845,11212,10332,13377,14972,11714,10067,13630,10596,11532,12007,13504,11363,10411
"COG0007",1206,1799,868,1257,1326,851,857,1088,1695,1701,1603,769,1071,2174,743,1028,742,1096,325,689
"COG0008",8213,8092,7125,7078,7274,7616,7508,8001,7981,7959,8177,7472,8145,7448,7436,6804,7699,7512,7519,7267
"COG0009",2905,2718,2990,2789,2856,2925,2892,2664,2639,2514,2788,2768,3233,2326,3024,2887,2959,3784,3100,3005
"COG0010",3895,4424,3841,4953,4359,4376,4291,4006,3566,4346,4957,4682,4420,4445,4369,4583,4280,3322,3862,3292
"COG0011",35,48,37,155,183,204,83,76,125,50,54,69,24,93,232,171,39,17,94,33
"COG0012",3759,5168,4307,4648,4501,4435,4737,5021,4414,5135,5676,4419,3456,4205,4750,4282,4844,4346,4994,4643
"COG0013",7939,8195,9760,10787,9505,9985,10212,9350,8485,8141,8910,10277,7679,7450,10307,9851,10126,7909,10717,10149
"COG0014",2267,2291,4561,4107,4014,3558,3777,3312,3176,2304,2352,3107,3071,2332,3717,3813,3818,2858,3476,4419
"COG0015",3200,2715,3717,3586,3222,3647,3616,3456,3274,2683,4421,5056,4050,4146,5603,4983,5383,4827,6272,5588
"COG0016",3646,3554,3933,4301,3988,4021,4190,4399,3863,3437,3902,4006,3433,3363,4229,4019,4413,3948,4373,4046
"COG0017",2369,3444,895,1218,1537,1447,1658,2672,2922,3424,3603,2596,1779,2574,1812,1458,2074,1515,2158,1034
"COG0018",6201,4947,6755,7147,6468,6635,6921,6231,5825,4919,5314,6701,5525,5000,7016,6308,6457,6192,7559,6642
"COG0019",4429,4483,6709,5968,6019,5334,5899,5137,4940,4505,4539,5188,5989,4397,5676,6113,6405,5342,5873,7021
"COG0020",2783,2476,2549,2583,2540,2831,2860,2482,2510,2299,2569,2590,1968,2283,2895,2667,2817,2591,3331,2857
"COG0021",4207,4867,6951,7326,6115,6999,6829,6182,5438,4727,5330,6310,5146,7393,7318,6833,6906,4546,8029,7433
"COG0022",7240,3880,3877,4459,4215,5279,5312,5351,4690,4912,4371,6402,4801,3923,5627,4663,5255,5030,5532,4408
"COG0023",389,539,309,261,513,247,333,301,317,469,554,364,346,398,303,310,276,369,234,239
"COG0024",2470,2719,3098,3106,3278,2878,3080,3134,2784,2840,2865,3275,2483,2650,3382,2918,3330,2570,3210,3095
"COG0025",1032,2222,1019,1488,1811,1018,899,785,1319,2149,1512,1034,1771,1776,1151,1409,894,1263,710,846
"COG0026",2568,1533,3204,3155,3018,2707,2460,2346,1820,1644,1476,2292,2878,735,2667,2582,2654,2662,2332,3042
"COG0027",588,190,1046,1235,1420,838,584,472,401,247,109,458,541,180,980,805,588,793,377,665
"COG0028",9849,15304,15123,12765,14069,14307,13836,17799,17707,19692,19084,12952,11791,14745,13652,13766,15081,9757,12363,15861
"COG0029",1353,835,2255,2409,2276,1525,1764,1174,1374,611,653,1710,1403,1387,1719,1750,1372,2232,1124,1947
"COG0030",2871,2637,2838,2784,2758,2735,2983,2676,2716,2456,2912,2797,2194,2522,2963,2612,2827,2335,3489,2832
"COG0031",4168,5126,4812,4889,5345,4999,4733,5154,4719,5711,5576,4622,4107,4765,5148,4424,4819,3920,4561,5044
"COG0033",109,244,929,1884,1630,799,712,179,323,189,195,559,662,288,903,940,500,86,353,786
"COG0034",3611,3198,3703,4103,3561,3906,3948,3465,3102,3454,5257,5801,4929,5073,6153,5410,5765,6125,6416,6253
"COG0035",749,693,816,940,1046,784,804,602,494,594,643,595,621,616,823,871,627,540,469,586
"COG0036",2484,2467,2629,2965,3212,2891,2943,2879,2868,2599,1784,1957,1653,1594,2018,1801,2124,1805,2087,1926
"COG0037",5442,5293,5065,5488,5245,5233,5712,5774,5800,4664,5558,5072,4719,5117,5487,5597,5838,6516,6071,5369
"COG0038",1141,2080,1330,2209,2158,1327,1086,1059,1293,2168,1780,1146,1233,1433,1290,1424,1187,1572,646,1254
"COG0039",2983,3078,3547,3421,2913,3696,3964,4041,3484,3042,3294,4057,3290,3139,3969,3494,4073,3119,4334,3817
"COG0040",1682,1828,2151,1837,2131,1715,1771,2145,2360,1863,1891,1503,1818,1741,1762,1748,1973,1341,1560,2204
"COG0041",1591,1561,1984,1806,1785,1749,1883,1784,1526,1583,1723,1792,1597,1397,1880,1850,1887,1539,1901,1886
"COG0042",4030,2848,4587,4598,4924,4304,4305,3761,3578,2467,2653,4097,4534,3233,4500,4352,4225,4238,4184,4184
"COG0043",924,4155,523,1137,2089,595,1553,4524,4344,3727,4236,1921,1251,3503,981,1686,2418,1307,1025,441
"COG0044",6134,6465,6912,6762,6230,6527,6958,6739,5879,7555,7522,7166,5945,7127,6724,6502,7635,6235,6921,7520
"COG0045",4658,4850,5127,4698,4244,5753,5290,5508,4787,4644,5333,5701,4497,3938,5598,5126,5459,3615,6088,5422
"COG0046",8404,8003,8890,9237,8115,9139,9474,8361,7554,8159,8406,9516,7757,9043,9456,8844,9065,7864,10102,9440
"COG0047",4799,4160,4689,3752,3805,4622,4720,3816,3585,3964,3865,4883,4795,3886,4497,4247,4069,4190,5164,4567
"COG0048",1249,1312,1469,1507,1861,1456,1486,1525,1321,1358,1351,1403,1176,1287,1754,1423,1611,1914,1610,1573
"COG0049",1763,1686,1689,1808,2147,1764,1734,1816,1757,1712,1884,1764,1392,1566,1999,1712,1860,2021,1830,1802
"COG0050",4359,3660,4576,4856,4960,4784,4565,4383,3870,3766,3579,4472,4699,4949,5149,4447,4706,6428,4786,5261
"COG0051",1147,998,1161,1249,1381,1186,1245,1227,1024,938,998,1212,974,935,1295,1141,1217,1240,1212,1181
"COG0052",3002,2556,2914,3028,3530,2940,2958,2857,2675,2585,2716,2891,2433,2596,3104,2826,3093,2929,3119,3190
"COG0053",705,1577,227,671,447,297,503,450,500,1479,883,220,279,1228,169,249,349,628,209,204
"COG0054",1418,1110,1630,1618,1483,1394,1486,1433,1291,1161,1130,1440,1134,951,1450,1364,1403,1569,1600,1701
"COG0055",4808,3474,5872,6150,6279,6327,5874,5279,4166,3654,3650,5578,5090,4111,6402,5859,6053,6221,6316,6421
