"","X34_SUR_0d1.0d2","X124_DCM_0d2.0d45","X18_SUR_0.0d2","X30_DCM_0d2.1d6","X25_DCM_0.0d2","X110_MES_0d2.3","X41_DCM_0.0d2","X132_DCM_0d2.3","X128_SUR_0d2.3","X34_DCM_0d2.1d6","X64_MES_0d2.3","X38_OMZ_0d1.0d2","X45_SUR_0d2.1d6","X111_SUR_0d2.3","X68_DCM_0d2.0d45","X4_SUR_0d2.1d6","X100_DCM_0d2.3","X93_SUR_0d2.3","X122_MES_0d1.0d2","X76_DCM_0d2.3"
"COG0001",1163,5592,1533,3465,1314,4705,1087,3359,4313,5754,6156,1805,3581,3993,4374,3377,3719,3365,2168,3949
"COG0002",862,3186,1488,2978,1346,2663,890,2170,2210,2613,2782,1391,3392,2436,2112,3082,2413,2896,1496,2209
"COG0003",338,76,182,33,122,132,13,109,253,161,90,233,72,88,96,70,89,15,303,252
"COG0004",4005,8577,4967,8656,5993,7885,3852,7113,7040,6198,5349,4961,9171,8305,11967,8948,8204,7170,4591,6453
"COG0005",739,2540,1083,2107,1004,2792,445,2351,2236,2562,3047,760,2862,2261,2339,1839,2159,1319,643,2164
"COG0006",3698,11787,5501,10531,4531,14190,1339,11645,10596,13177,15538,5010,9692,11711,11237,10363,11677,10528,4290,8193
"COG0007",207,956,1927,702,2163,1745,1765,837,787,1098,1628,2601,1347,665,859,874,1027,896,2117,1326
"COG0008",3135,8085,5939,7392,5013,8151,3737,7763,7631,7988,8188,5582,6511,7440,7378,7185,6764,7686,4657,6540
"COG0009",1039,3015,1673,2956,1202,3027,1140,2717,3114,2740,2792,2170,2875,2981,2531,3158,2967,3285,1540,2288
"COG0010",1450,4463,1644,3304,1091,4828,504,4351,4161,4660,5010,1074,5092,4457,4611,3834,4595,4253,1355,2878
"COG0011",12,23,14,27,4,69,10,102,213,62,41,2,137,185,3,21,183,52,64,99
"COG0012",1675,5766,1824,4643,1512,5087,976,4764,4795,4802,5639,1946,5164,4660,5258,4309,4177,3939,1831,3723
"COG0013",3503,10323,3952,10125,3552,9304,2434,10139,10040,9804,9055,4527,10988,9979,10445,9823,9723,8896,3502,8085
"COG0014",1253,3833,1990,4447,2141,2948,1299,3115,3417,3014,2364,1707,4682,3919,3154,4523,3881,4090,1366,3082
"COG0015",1874,5749,2739,5505,2191,4753,1937,5288,5626,5267,4456,2131,5799,5669,5435,5201,4964,4851,1713,4525
"COG0016",1579,4846,1697,4132,1414,4013,898,4195,4045,4316,3980,2003,4286,4218,4090,3939,3896,3889,1475,3338
"COG0017",1028,2968,1169,991,698,2741,144,2768,2061,3169,3498,1029,548,1433,2499,862,1385,1286,1396,2119
"COG0018",2348,7044,2790,6625,2374,6150,1701,6690,6908,6546,5391,3019,7529,7000,5891,6890,6330,6514,2091,5227
"COG0019",2221,5770,4714,6865,3773,4903,2996,4965,5531,5232,4488,4326,6576,5957,5031,6625,6107,7134,3412,4654
"COG0020",941,2664,1226,2770,1015,2641,622,2998,3011,2738,2526,1350,2646,2855,2355,2617,2572,2253,1052,2384
"COG0021",2040,7041,3027,7289,2607,6226,1700,6451,6474,5946,5494,3143,7151,7319,8478,6810,6675,5734,2436,6316
"COG0022",5069,4498,3287,4419,2169,4350,1886,6720,6131,5806,4347,1914,4040,5188,5938,3776,4701,3857,1733,5365
"COG0023",120,307,257,261,158,427,237,450,330,399,540,532,414,248,287,321,337,250,363,366
"COG0024",1174,3316,2142,3111,1853,2926,1154,3081,3187,2981,2777,2304,3112,3188,3471,3031,2971,2415,1526,2778
"COG0025",503,449,2803,832,2453,1095,2023,1298,1320,847,1480,2919,1741,930,751,1013,1489,1497,2638,1876
"COG0026",801,2687,1657,3016,1340,2008,969,1910,2727,1736,1465,1395,4189,2600,2275,3261,2675,3508,1396,2027
"COG0027",337,219,988,696,392,261,1063,580,932,325,133,622,1725,783,171,991,797,576,614,776
"COG0028",13954,17070,6188,15774,7145,15094,4988,12592,12058,17979,20100,5576,13138,15387,16996,15230,13504,11729,6650,14248
"COG0029",490,783,1789,2023,1793,1323,1392,1673,1811,903,587,2120,2869,1603,1366,2193,1740,1338,1567,1895
"COG0030",869,2928,1239,2908,1008,2947,808,3024,3294,3152,2807,1314,3272,2961,2149,2868,2698,2726,1061,2277
"COG0031",2848,5463,3882,5058,3684,5043,2889,4568,5042,4948,5470,3431,5794,5357,4782,4734,4614,4329,2584,4528
"COG0033",170,44,171,729,289,269,762,514,850,192,192,1068,2442,656,233,880,981,640,879,1086
"COG0034",1833,5807,2412,6150,1845,5572,1515,5269,5793,5006,5306,3083,5784,5897,6211,5660,5320,5199,2939,4579
"COG0035",270,457,474,657,266,773,608,642,820,526,617,575,1281,761,512,815,777,585,590,727
"COG0036",877,3418,1016,2789,867,2819,637,2834,3096,3184,2784,1028,2819,2928,3069,2769,2779,2504,1068,2267
"COG0037",2026,6325,3154,5344,2520,5469,2247,5481,5588,5671,5349,2813,5719,5685,4502,4993,5540,5065,2815,4101
"COG0038",386,578,2703,1203,1758,1611,623,1311,1542,1203,1801,1501,2390,1294,703,1352,1432,1239,1444,1734
"COG0039",1135,4505,1647,3890,1405,3468,574,3529,3710,3786,3490,1076,3138,3930,4885,3595,3354,3177,1141,3049
"COG0040",617,2538,1121,2260,927,1720,666,1501,1677,2022,1960,899,1953,1785,1823,2087,1841,2290,988,1650
"COG0041",553,1934,788,1928,627,1886,427,1658,1809,1715,1774,781,1882,1802,2416,1937,1771,1747,934,1540
"COG0042",1340,3929,3328,4384,2901,3637,2554,3942,4530,3507,2669,4091,4997,4471,3993,4546,4234,4297,2970,3822
"COG0043",431,4378,1515,429,1344,3229,672,2715,1146,4399,4238,1742,545,809,2534,522,1661,864,1758,2631
"COG0044",2314,7477,2745,7559,3280,7198,1655,6910,6548,7209,7663,1739,5710,6849,7455,6966,6501,6749,1833,5384
"COG0045",1583,6094,2020,5372,1724,5278,1092,4889,5171,5077,5148,1606,4020,5879,6916,5209,5080,4685,1626,3926
"COG0046",2850,8966,4513,9448,3619,9158,3294,8835,9095,8043,8296,4454,9038,9331,10755,9139,8729,7774,4487,7426
"COG0047",1376,4124,3333,4533,2111,4302,3075,3727,4448,3114,3746,2748,4250,4459,5481,4497,4277,4253,3279,3409
"COG0048",560,1505,696,1445,539,1510,255,1511,1586,1490,1414,874,1342,1519,1847,1425,1483,1142,710,1271
"COG0049",687,2109,802,1801,648,1936,431,1875,1967,1822,1871,1082,1650,1735,2200,1676,1760,1489,734,1462
"COG0050",1499,4268,3268,5231,2834,4351,1853,4244,4934,3748,3753,3676,4644,4762,5902,4756,4627,3822,2576,4087
"COG0051",415,1305,588,1226,473,1194,332,1116,1269,1052,1019,757,1013,1260,1253,1138,1115,979,540,973
"COG0052",1010,3195,1551,3265,1180,2724,764,3001,3193,3083,2827,1574,3029,3109,2893,2817,2842,2844,1154,2453
"COG0053",300,348,1395,369,1009,1534,905,518,348,613,1452,845,292,234,569,185,412,416,621,525
"COG0054",462,1514,772,1655,634,1205,409,1359,1512,1380,1193,920,1788,1463,1157,1559,1320,1339,709,1294
"COG0055",1693,5460,2374,6551,1999,4802,1091,5134,6103,4272,3752,2401,5943,6382,7279,5794,5908,5096,2074,4617
"COG0056",1842,5814,2769,7133,2224,5369,1414,5615,6758,4709,4043,2693,6894,6959,7853,6707,6183,5478,2341,5255
"COG0057",1821,4740,5148,5471,3324,4699,3286,5227,5342,4410,4030,4367,5046,5193,5371,5547,5445,5221,4932,4830
"COG0058",10738,324,498,1322,967,1248,6108,1622,1978,1451,1043,1271,3228,1425,485,1692,1656,957,2116,2248
"COG0059",1176,3986,1962,4243,1497,3462,920,3015,3482,3186,3224,1979,4018,3851,4418,3964,3639,3720,1910,2868
"COG0060",4106,12074,4524,11597,4010,10972,2641,11442,11771,11180,10285,5103,11003,11745,11240,10884,10807,10314,3739,8725
"COG0061",974,4128,1342,3347,1095,3486,736,3071,3566,3177,3612,1607,3959,3345,3292,3360,3293,2828,1326,2697
"COG0062",475,1834,1868,1144,1607,2676,1346,1962,1632,2840,3259,1902,2292,1334,1867,1310,1776,787,1577,2064
"COG0063",584,2508,2053,1547,1734,3225,1393,2311,2126,3338,3701,2012,2741,1854,2389,1865,2279,1044,1685,2525
"COG0064",1456,5161,1925,5285,1851,4185,1092,4016,4932,3915,4242,1730,5841,5353,4125,4981,4655,4200,1284,3602
"COG0065",1247,4850,1338,4037,1162,3618,811,3571,3788,3898,5013,2019,6070,5995,7875,5898,5589,4924,1768,4774
"COG0066",894,2917,906,2483,776,2463,618,2769,2675,2851,2187,999,2595,2671,3258,2621,2478,2520,831,2320
"COG0067",4316,10975,5277,14756,5279,9488,4433,7743,10139,8448,7523,4459,14037,11559,12463,13429,10358,11248,4736,9213
"COG0068",38,40,329,11,1079,126,59,33,44,38,81,621,28,13,125,43,228,173,901,224
"COG0069",5283,14659,8465,19011,8047,14006,5255,11506,14603,11954,11748,6341,18538,17084,17647,17869,15165,16244,6652,12054
"COG0070",3950,9961,5259,14439,5229,8077,4327,7050,8928,7620,6144,3875,12230,10596,11986,13214,9085,10267,4558,8737
"COG0071",40420,2310,3125,2674,8273,2539,17105,4409,2237,2646,2178,10226,2400,2605,1994,2614,2229,2466,16300,3228
"COG0072",2909,9140,3562,8865,2928,7383,2092,8348,8504,8196,6440,3444,9150,8749,7141,8597,8328,8501,2710,6318
"COG0073",2358,7105,4202,7922,3261,5994,3659,6800,7012,6123,3531,2696,4339,4743,4362,4915,4653,5405,2420,3684
"COG0074",1254,4868,1504,4026,1210,4089,797,3640,3661,3893,4829,1362,2956,4372,5703,3601,3771,3248,1325,3106
"COG0075",717,3289,1127,2655,1190,3644,183,2575,3210,3443,5181,1316,4436,3381,2389,3260,2952,2025,1909,3103
"COG0076",449,880,1702,867,2398,1811,1258,1510,1726,1469,1902,827,2289,1097,1305,1307,1432,1424,1268,2015
"COG0077",1061,3434,1526,3814,1293,2990,942,2622,3179,2602,2466,1741,3404,3433,3137,3709,3136,3588,1356,2359
"COG0078",900,3351,1454,3085,1303,3033,906,2903,2447,3153,3399,1529,2685,2703,3096,2826,2683,2750,1557,2591
"COG0079",5919,5829,2612,5378,3183,5540,2768,4397,4878,5436,5701,3529,6847,4801,4114,5729,4739,5054,3928,4756
"COG0080",566,1680,698,1717,552,1527,500,1478,1698,1558,1624,976,1513,1523,2111,1513,1454,1291,741,1348
"COG0081",964,2882,1279,2876,1040,2630,651,2722,2590,2619,2523,1541,2835,2674,3318,2473,2598,2298,1092,2307
"COG0082",884,3224,1105,2868,936,2392,571,2551,3101,2428,3340,1468,4583,4482,5354,4299,4155,3484,1364,3296
"COG0083",137,848,91,446,38,609,19,398,616,690,1375,408,1074,709,894,773,750,814,606,912
"COG0084",1030,3055,1471,3021,1179,2760,1843,2642,2851,2575,2417,2628,2571,2758,2402,2835,2757,3134,2110,2349
"COG0085",5993,15543,6920,16809,5688,13417,3204,15266,14862,13583,12644,7757,13643,15417,16516,14289,14280,13371,6114,12246
"COG0086",7869,15195,6756,17860,5868,13777,4128,16981,17169,14146,11148,7439,16336,17218,18032,16107,15676,14299,5562,13822
"COG0087",1079,2820,1167,2762,1002,2695,476,2719,2730,2751,1776,927,1833,1693,2293,1579,1642,1498,702,1569
"COG0088",896,2525,971,2329,745,2203,477,2398,2235,2336,2183,1158,2474,2254,2878,2270,2159,2065,889,1938
"COG0089",380,1086,463,956,284,956,246,1020,1162,998,991,475,984,1001,1111,956,905,989,395,844
"COG0090",1191,3421,1371,3383,966,3043,596,3052,3330,2750,2887,1526,3495,3224,3957,3074,3052,2282,1318,2743
"COG0091",516,1484,623,1503,456,1349,208,1464,1455,1376,906,470,897,970,1036,860,948,862,353,762
"COG0092",1099,2991,1180,2867,930,2400,496,2643,2871,2610,2391,1290,2806,2780,3177,2541,2657,2248,981,2319
"COG0093",518,1440,580,1520,415,1299,304,1390,1424,1242,819,438,933,947,1044,884,909,790,404,833
"COG0094",774,2298,975,2321,682,2139,456,2260,2272,2208,2054,975,2217,2123,1893,2097,2086,1989,852,1809
"COG0095",60,151,118,326,309,623,319,369,536,416,722,139,817,352,101,443,446,217,178,618
"COG0096",565,1581,651,1505,502,1562,414,1541,1606,1492,1407,819,1595,1514,1406,1541,1444,1249,628,1284
"COG0097",823,2188,944,2226,693,1860,460,2097,2184,1963,1126,652,1379,1460,1345,1320,1349,1217,545,1117
"COG0098",765,2163,874,2209,750,2010,300,2079,2196,2002,1824,1069,2007,2056,2649,1885,1910,1715,827,1779
"COG0099",550,1691,748,1582,622,1532,323,1532,1629,1730,1559,771,1437,1522,1743,1466,1349,1273,614,1306
"COG0100",522,1638,630,1486,477,1497,264,1468,1660,1490,1423,824,1383,1491,1987,1417,1516,1239,627,1301
"COG0101",1008,2640,1307,3139,968,2331,804,2948,3185,2543,1782,1231,3124,2986,2789,3088,2877,3160,868,2439
"COG0102",656,1937,833,1866,651,1710,457,1798,1952,1776,1651,921,1786,1677,1828,1734,1688,1654,746,1443
