"","Sample.1.to.5","Sample.6.to.10","BaseMean","Estimated.dispersion","AbundanceStrata","VariabilityStrata"
"COG0001",NA,-1.5,43844.7948254965,0.0948915085666629,"3","1"
"COG0010",-1.5,NA,45800.4727842166,0.11955317465654,"3","1"
"COG0018",-1.5,NA,68949.3695879998,0.103019513712422,"3","1"
"COG0047",NA,-1.5,45547.960514578,0.0489880113523075,"3","1"
"COG0048",-1.5,NA,15808.3291860368,0.0785856030017801,"3","1"
"COG0059",-1.5,NA,38608.3678400971,0.0805540609048407,"3","1"
"COG0066",-1.5,NA,27584.2095509388,0.112275086602084,"3","1"
"COG0068",-1.5,NA,2042.74144651321,1.47388503377256,"2","3"
"COG0072",-1.5,NA,85594.9369461876,0.103074337352149,"3","1"
"COG0075",NA,-1.5,35963.558616148,0.129847452320096,"3","1"
"COG0086",-1.5,NA,170216.59975492,0.103474248808008,"3","1"
"COG0089",-1.5,NA,10500.4978213174,0.0963854662952901,"3","1"
"COG0090",NA,-1.5,33614.4410089228,0.0943818841982286,"3","1"
"COG0091",-1.5,NA,14707.3987324791,0.100848439663436,"3","1"
"COG0101",NA,-1.5,29383.4717873731,0.12174557144358,"3","1"
"COG0115",NA,-1.5,80539.9959807964,0.0609926321452907,"3","1"
"COG0126",-1.5,NA,48139.1227274989,0.0932701925107942,"3","1"
"COG0136",NA,-1.5,43069.4195600792,0.0774582553002365,"3","1"
"COG0142",NA,-1.5,78049.8694751246,0.0900758485494525,"3","1"
"COG0145",NA,-1.5,43446.4508784174,0.310180075204702,"3","2"
"COG0154",NA,-1.5,130428.240637719,0.0728772267244489,"3","1"
"COG0164",NA,-1.5,25103.5377078405,0.0988516026037013,"3","1"
"COG0174",-1.5,NA,116034.013896336,0.0779318062268948,"3","1"
"COG0182",-1.5,NA,17973.3495353877,0.192727161011257,"3","1"
"COG0197",-1.5,NA,16698.2123870007,0.0970942641768765,"3","1"
"COG0199",NA,-1.5,9720.17263879014,0.128491835901003,"3","1"
"COG0211",-1.5,NA,9667.69477118835,0.0977781384716222,"3","1"
"COG0217",NA,-1.5,24627.2986344367,0.0666551543319265,"3","1"
"COG0219",NA,-1.5,14121.7985011133,0.0713830807081189,"3","1"
"COG0220",NA,-1.5,13483.7749639897,0.0941642835709409,"3","1"
"COG0232",NA,-1.5,26220.8810448105,0.0797775013116032,"3","1"
"COG0235",-1.5,NA,25006.570233003,0.0505566976600149,"3","1"
"COG0241",-1.5,NA,11068.4491155425,0.0700972805591156,"3","1"
"COG0253",NA,-1.5,30387.1772894488,0.13161644903739,"3","1"
"COG0259",-1.5,NA,17996.697417518,0.103943484493354,"3","1"
"COG0260",NA,-1.5,54282.436620711,0.0506519154941711,"3","1"
"COG0281",NA,-1.5,47207.8008360113,0.0521770449096749,"3","1"
"COG0307",-1.5,NA,21860.0217239889,0.0928269285827944,"3","1"
"COG0311",NA,-1.5,4840.95498993086,0.759348146127601,"2","2"
"COG0315",-1.5,NA,10718.7809754125,0.105333042007931,"3","1"
"COG0339",NA,-1.5,30727.035828143,0.0902086172360922,"3","1"
"COG0347",-1.5,NA,11888.9029781349,0.0598087658324263,"3","1"
"COG0352",-1.5,NA,17848.5246729835,0.055465506679921,"3","1"
"COG0356",-1.5,NA,34794.8118765952,0.105515840860076,"3","1"
"COG0363",NA,-1.5,15421.5615583317,0.0670524970391448,"3","1"
"COG0369",NA,-1.5,17335.4596296905,0.311254570872202,"3","2"
"COG0399",-1.5,NA,113244.874592969,0.140243330847661,"3","1"
"COG0407",NA,-1.5,34913.836881874,0.116904919566743,"3","1"
"COG0412",-1.5,NA,23104.340166421,0.0982100003776977,"3","1"
"COG0416",-1.5,NA,26718.5841825976,0.0945559733374103,"3","1"
"COG0444",-1.5,NA,22255.0474683729,0.31426875533698,"3","2"
"COG0463",-1.5,NA,208200.364972069,0.0758037893563454,"3","1"
"COG0465",-1.5,NA,96253.4925544156,0.152046463830293,"3","1"
"COG0479",NA,-1.5,33980.8580637956,0.0771232509229082,"3","1"
"COG0480",NA,-1.5,92473.3718158021,0.0620981806540064,"3","1"
"COG0493",NA,-1.5,57879.3202259383,0.12170798001463,"3","1"
"COG0494",NA,-1.5,59181.3960317786,0.0144321214957714,"3","1"
"COG0495",-1.5,NA,103704.569315841,0.0990563525853781,"3","1"
"COG0521",NA,-1.5,11402.8092236612,0.0773576188027825,"3","1"
"COG0524",-1.5,NA,80299.9791272856,0.07444223675903,"3","1"
"COG0528",-1.5,NA,19312.9987247403,0.0474699495022441,"3","1"
"COG0562",NA,-1.5,3023.82863738481,0.500296189619435,"2","2"
"COG0563",NA,-1.5,24486.8998770585,0.043540042706932,"3","1"
"COG0565",NA,-1.5,19737.4930101801,0.121613890898349,"3","1"
"COG0569",NA,-1.5,44966.1260864836,0.0700320108414064,"3","1"
"COG0586",-1.5,NA,7040.17318517555,0.189031378761214,"2","1"
"COG0600",-1.5,NA,32249.3810314292,0.0528759782956051,"3","1"
"COG0611",NA,-1.5,24652.5146993206,0.0880689380702155,"3","1"
"COG0622",-1.5,NA,2562.60953533174,0.268202624525675,"2","1"
"COG0623",NA,-1.5,29944.2615306475,0.175761183651373,"3","1"
"COG0629",-1.5,NA,23632.1084189195,0.1659551694526,"3","1"
"COG0642",NA,-1.5,289566.939859591,0.255555499598852,"3","1"
"COG0654",-1.5,NA,79279.6383797363,0.103214614083171,"3","1"
"COG0656",-1.5,NA,9754.0733043785,0.151782739852429,"3","1"
"COG0664",-1.5,NA,27204.0366073759,0.179807369581227,"3","1"
"COG0666",-1.5,NA,26291.2701561649,0.369693392376751,"3","2"
"COG0668",NA,-1.5,64660.2095348418,0.0343055558143152,"3","1"
"COG0674",-1.5,NA,29753.8023226052,0.541998637276454,"3","2"
"COG0680",-1.5,NA,436.441240755116,2.14955145759604,"1","3"
"COG0704",NA,-1.5,15921.7982669934,0.428283348369487,"3","2"
"COG0711",-1.5,NA,28284.11895425,0.191628524707448,"3","1"
"COG0746",NA,-1.5,9696.15913944961,0.168920566951863,"3","1"
"COG0753",-1.5,NA,4909.02996786131,2.03729525130186,"2","3"
"COG0771",NA,-1.5,42165.9990027271,0.120592456723445,"3","1"
"COG0775",-1.5,NA,11702.1466636738,0.218425235329504,"3","1"
"COG0776",NA,-1.5,23932.4731842945,0.0487712506089942,"3","1"
"COG0781",-1.5,NA,14747.2419101748,0.0838811776791581,"3","1"
"COG0783",NA,-1.5,2674.41452910828,1.1183423005053,"2","2"
"COG0842",NA,-1.5,42975.9467471243,0.0217390772946412,"3","1"
"COG1014",NA,-1.5,38372.672813951,0.270418844777315,"3","1"
"COG1015",NA,-1.5,4039.41672505128,0.262983814942465,"2","1"
"COG1021",-1.5,NA,653.928469144233,1.10073092684728,"1","2"
"COG1022",-1.5,NA,70805.2399388174,0.0899448547285441,"3","1"
"COG1047",-1.5,NA,8981.61221943324,0.418478851605204,"3","2"
"COG1049",NA,-1.5,36155.0547680461,0.320680319831306,"3","2"
"COG1053",NA,-1.5,115810.616597901,0.116118492121081,"3","1"
"COG1072",NA,-1.5,1839.89310469117,0.306391926369715,"2","2"
"COG1073",NA,-1.5,37990.1843468041,0.0442899631136686,"3","1"
"COG1080",-1.5,NA,8555.84298458145,0.255200598715638,"3","1"
"COG1087",NA,-1.5,20354.0480245766,0.0726032178512411,"3","1"
"COG1102",-1.5,NA,2091.38719820466,1.47077637566361,"2","3"
"COG1107",-1.5,NA,52.4329004854654,4.67332781960975,"1","3"
"COG1118",-1.5,NA,1285.13307181428,0.975451834023739,"2","2"
"COG1127",NA,-1.5,10748.8838626352,0.163284882718876,"3","1"
"COG1131",-1.5,NA,86301.3269057986,0.0339695884357364,"3","1"
"COG1134",-1.5,NA,6095.57798247305,0.177494814826588,"2","1"
"COG1150",NA,-1.5,381.594413481362,3.24369306147455,"1","3"
"COG1163",NA,-1.5,4523.13876302647,1.35449481278077,"2","2"
"COG1167",-1.5,NA,18138.6419052372,0.175126543947239,"3","1"
"COG1179",NA,-1.5,1638.16626395089,0.911199299525585,"2","2"
"COG1197",NA,-1.5,72164.4018976449,0.0587071797676829,"3","1"
"COG1199",NA,-1.5,30221.4402717114,0.117157335550094,"3","1"
"COG1221",NA,-1.5,2902.3272631446,1.30140962246756,"2","2"
"COG1241",NA,-1.5,11744.4373459357,0.890185884639798,"3","2"
"COG1245",-1.5,NA,6823.31151876431,1.32189461670772,"2","2"
"COG1259",NA,-1.5,4991.74560043345,0.244944743396882,"2","1"
"COG1260",-1.5,NA,9022.9007726054,0.663301118482757,"3","2"
"COG1269",-1.5,NA,8521.19897721054,1.19877133061322,"3","2"
"COG1291",NA,-1.5,10249.4830123249,0.214911915499879,"3","1"
"COG1306",NA,-1.5,3002.82903340652,1.40344261652759,"2","2"
"COG1309",-1.5,NA,33019.0153534133,0.429962540924995,"3","2"
"COG1316",-1.5,NA,3818.71241594099,0.685663980241704,"2","2"
"COG1333",NA,-1.5,6067.96794925417,1.12100358732157,"2","2"
"COG1368",-1.5,NA,9172.52392621039,0.433869066621361,"3","2"
"COG1394",NA,-1.5,2919.65187453167,1.25905155296995,"2","2"
"COG1403",NA,-1.5,24667.534095571,0.234156627092479,"3","1"
"COG1418",-1.5,NA,5298.76663244676,0.460612682744551,"2","2"
"COG1435",-1.5,NA,11079.6543537234,0.113236917791902,"3","1"
"COG1436",-1.5,NA,625.270666180017,1.08260348866568,"1","2"
"COG1437",NA,-1.5,184.137410452875,1.48017207414341,"1","3"
"COG1441",-1.5,NA,1042.95493219393,1.14228040675884,"2","2"
"COG1460",-1.5,NA,136.580949879247,1.42921800480051,"1","2"
"COG1466",NA,-1.5,28854.2938722286,0.0957074436331341,"3","1"
"COG1486",NA,-1.5,6135.27355289557,0.556782301817469,"2","2"
"COG1501",NA,-1.5,4552.6904760454,0.521747203241276,"2","2"
"COG1510",NA,-1.5,875.604302048731,0.751799279756864,"2","2"
"COG1558",-1.5,NA,2292.94028376889,0.223617181143915,"2","1"
"COG1577",-1.5,NA,3908.55250814195,1.08132002941572,"2","2"
"COG1579",NA,-1.5,3771.89137326061,0.41704406081472,"2","2"
"COG1582",NA,-1.5,21.3079447879454,1.96329199653936,"1","3"
"COG1584",NA,-1.5,43.4887978197917,2.71343368568031,"1","3"
"COG1585",NA,-1.5,550.912496019387,0.850241923964502,"1","2"
"COG1612",-1.5,NA,33783.6490989848,0.104267469513894,"3","1"
"COG1613",-1.5,NA,176.16833128326,2.55335052787857,"1","3"
"COG1620",NA,-1.5,3176.64897124638,0.909267863616438,"2","2"
"COG1650",NA,-1.5,3369.81585355079,1.52602416470983,"2","3"
"COG1678",NA,-1.5,10772.4587333053,0.0497989531928717,"3","1"
"COG1696",-1.5,NA,7808.48808886673,0.164841745163106,"3","1"
"COG1712",NA,-1.5,2452.05126292234,0.683581529457232,"2","2"
"COG1713",-1.5,NA,339.868752328824,2.66630377160369,"1","3"
"COG1725",NA,-1.5,4250.07060447113,0.837912629103991,"2","2"
"COG1726",NA,-1.5,13414.098437628,0.191793661781876,"3","1"
"COG1760",NA,-1.5,5098.71824464808,0.485172072845159,"2","2"
"COG1765",NA,-1.5,4472.31759810238,0.176331692076569,"2","1"
"COG1767",-1.5,NA,882.500032999106,0.309734594126358,"2","2"
"COG1779",NA,-1.5,877.931245789247,1.14172526053603,"2","2"
"COG1809",NA,-1.5,1824.18405711908,0.46746705894733,"2","2"
"COG1817",-1.5,NA,2860.87032387442,1.43656099304114,"2","2"
"COG1823",-1.5,NA,483.25767876719,0.718960979289567,"1","2"
"COG1828",-1.5,NA,5594.3158930308,0.203231935365649,"2","1"
"COG1838",NA,-1.5,6747.23637356096,0.375198650225389,"2","2"
