"","Sample.1.to.5","Sample.6.to.10","BaseMean","Estimated.dispersion","AbundanceStrata","VariabilityStrata"
"COG0001",-3,NA,43844.7948254965,0.0948972419019688,"3","1"
"COG0002",NA,-3,29057.3481958553,0.0705556776632369,"3","1"
"COG0007",NA,-3,14013.6110298635,0.195022396703793,"3","1"
"COG0010",NA,-3,45800.4727842166,0.119557400021532,"3","1"
"COG0014",-3,NA,38955.544177558,0.114237953222095,"3","1"
"COG0024",-3,NA,32986.1906711822,0.0554608395448557,"3","1"
"COG0034",NA,-3,59511.5019041363,0.0817664407554938,"3","1"
"COG0050",-3,NA,50102.6288635877,0.0523353943921637,"3","1"
"COG0071",NA,-3,46544.2249375105,0.650942124673908,"3","2"
"COG0075",-3,NA,35963.558616148,0.129851164859864,"3","1"
"COG0085",NA,-3,157291.335246637,0.0816327793838706,"3","1"
"COG0089",-3,NA,10500.4978213174,0.096393924668014,"3","1"
"COG0095",-3,NA,5468.03658827381,0.481126262396971,"2","2"
"COG0097",NA,-3,21526.2237835557,0.0935044991661608,"3","1"
"COG0108",-3,NA,39532.1359335868,0.103975769808247,"3","1"
"COG0130",-3,NA,24643.131342384,0.0485832197014969,"3","1"
"COG0136",NA,-3,43069.4195600792,0.0774647553984217,"3","1"
"COG0150",-3,NA,46048.5166570249,0.114214779685666,"3","1"
"COG0182",NA,-3,17973.3495353877,0.192726578048118,"3","1"
"COG0192",NA,-3,49861.9440322047,0.0804432382316639,"3","1"
"COG0204",NA,-3,64111.8354692039,0.0363078544822243,"3","1"
"COG0205",-3,NA,22939.384361247,0.101993800101727,"3","1"
"COG0229",NA,-3,23816.1490144444,0.0838748491092086,"3","1"
"COG0235",-3,NA,25006.570233003,0.0505637487070979,"3","1"
"COG0246",-3,NA,8663.58265091949,0.199784309917887,"3","1"
"COG0250",NA,-3,23446.6812719682,0.0600902867479599,"3","1"
"COG0258",-3,NA,119534.369596649,0.179320949873273,"3","1"
"COG0259",-3,NA,17996.697417518,0.103950122046181,"3","1"
"COG0275",-3,NA,32376.5173712815,0.105516793076,"3","1"
"COG0323",-3,NA,22565.0153133738,0.0473147488974656,"3","1"
"COG0339",-3,NA,30727.035828143,0.0902149735831773,"3","1"
"COG0349",-3,NA,22389.1005817327,0.0438733087746222,"3","1"
"COG0365",NA,-3,150576.397050526,0.0709407703010243,"3","1"
"COG0371",NA,-3,8244.91588565461,0.683523879419839,"3","2"
"COG0374",NA,-3,1891.65652898055,1.62095036196292,"2","3"
"COG0380",NA,-3,5848.66197370218,0.492405163781419,"2","2"
"COG0383",NA,-3,4592.67290290605,0.644508337152311,"2","2"
"COG0414",-3,NA,24410.4390297214,0.160952022107477,"3","1"
"COG0419",NA,-3,57126.9378077288,0.943411798967932,"3","2"
"COG0428",-3,NA,6453.21821505203,0.199170209761944,"2","1"
"COG0439",NA,-3,71067.6979070707,0.0417878625389671,"3","1"
"COG0445",-3,NA,66076.9597232548,0.116171981433234,"3","1"
"COG0447",NA,-3,8165.91010417446,0.33030102312153,"3","2"
"COG0457",-3,NA,237879.444864242,0.0483332664177773,"3","1"
"COG0477",-3,NA,283338.458378638,0.0322502002639832,"3","1"
"COG0508",-3,NA,104345.145316941,0.105413950240368,"3","1"
"COG0532",-3,NA,80699.3629271446,0.123954626737334,"3","1"
"COG0536",-3,NA,40316.434707168,0.109941423638765,"3","1"
"COG0542",-3,NA,113611.11909789,0.0956389806874518,"3","1"
"COG0567",-3,NA,74629.0810681451,0.154509548096599,"3","1"
"COG0569",NA,-3,44966.1260864836,0.0700386571865196,"3","1"
"COG0572",-3,NA,6783.92663095911,0.14991020419646,"2","1"
"COG0583",-3,NA,108500.792126596,0.4381043863605,"3","2"
"COG0595",NA,-3,38374.8672984044,0.185796959360228,"3","1"
"COG0616",-3,NA,39958.3412891989,0.0534261855786612,"3","1"
"COG0662",-3,NA,38609.7923134146,0.252309845373025,"3","1"
"COG0678",NA,-3,16796.7971506443,0.292526967491248,"3","1"
"COG0686",-3,NA,26401.2991976559,0.107701297601297,"3","1"
"COG0689",NA,-3,15865.4513952549,0.0515751551984178,"3","1"
"COG0691",-3,NA,16536.9867502104,0.0856451195353734,"3","1"
"COG0699",-3,NA,1615.19244111766,0.749080198912763,"2","2"
"COG0740",-3,NA,44410.0069580138,0.262849847916763,"3","1"
"COG0755",-3,NA,36252.5065101244,0.12320447708595,"3","1"
"COG0761",-3,NA,33900.7569983889,0.122788256030674,"3","1"
"COG0766",NA,-3,45405.3859909488,0.12353999575657,"3","1"
"COG0767",NA,-3,10696.6239564561,0.164458937209017,"3","1"
"COG0776",NA,-3,23932.4731842945,0.0487782804982293,"3","1"
"COG0806",-3,NA,10845.7068676891,0.0582958741961674,"3","1"
"COG0813",NA,-3,1935.92194549106,0.795776002273246,"2","2"
"COG0820",NA,-3,25558.8501622638,0.0474061740742851,"3","1"
"COG0823",NA,-3,62957.6693741409,0.117750265688847,"3","1"
"COG0827",-3,NA,4016.41162566523,0.724575199136434,"2","2"
"COG0833",NA,-3,41.2870135726457,2.42600910046814,"1","3"
"COG0842",-3,NA,42975.9467471243,0.0217441527834376,"3","1"
"COG0849",NA,-3,29049.6983883226,0.0546720354195917,"3","1"
"COG0851",-3,NA,1496.88467657787,0.829405802306394,"2","2"
