"","X150_DCM_0d2.3","X78_SUR_0d45.0d8","X125_SUR_0d45.0d8","X64_MES_0d2.3","X62_SUR_0d2.3","X57_SUR_0d2.3","X36_SUR_0d2.1d6","X37_OMZ_0d2.1d6","X122_SUR_0d1.0d2","X48_SUR_0d1.0d2","X48_SUR_0d2.1d6","X68_SUR_0d2.0d45"
"COG0001",315,393,540,593,290,310,274,372,153,137,345,343
"COG0002",272,270,199,300,268,289,287,214,89,107,364,302
"COG0003",35,9,15,8,6,9,11,10,14,12,1,9
"COG0004",862,738,439,523,856,888,915,637,299,236,835,832
"COG0005",196,244,171,282,269,256,211,352,68,53,250,220
"COG0006",367,243,324,575,362,341,1174,1345,251,264,983,1259
"COG0007",106,160,169,187,90,106,61,164,98,107,121,69
"COG0008",723,658,686,793,715,681,704,724,300,308,639,771
"COG0009",266,245,208,273,304,278,319,220,111,95,318,349
"COG0010",411,483,286,531,445,477,460,379,94,101,481,449
"COG0011",3,4,4,5,9,16,5,12,11,1,10,0
"COG0012",450,439,321,555,522,469,417,399,139,128,534,504
"COG0013",320,326,217,283,339,383,887,727,255,266,1154,1096
"COG0014",383,362,236,252,405,395,422,239,128,107,488,415
"COG0015",497,530,339,461,522,570,532,437,155,164,596,638
"COG0016",437,375,340,406,423,413,387,359,114,102,430,433
"COG0017",166,121,239,342,164,103,62,282,81,74,56,195
"COG0018",225,202,152,174,250,222,649,551,182,179,765,776
"COG0019",584,521,377,486,682,589,644,412,186,232,659,700
"COG0020",278,243,214,238,281,267,245,242,75,76,288,296
"COG0021",653,595,515,535,697,724,653,777,154,193,698,659
"COG0022",472,549,515,437,458,425,367,438,359,347,350,457
"COG0023",35,55,35,55,30,40,15,35,10,20,42,24
"COG0024",312,322,245,286,290,337,262,247,103,103,335,322
"COG0025",115,265,186,141,110,148,51,161,135,191,122,53
"COG0026",222,368,122,162,348,310,318,35,89,125,404,295
"COG0027",66,192,53,15,99,121,55,5,84,44,155,40
"COG0028",1395,1284,1700,2080,1256,1272,1515,1367,381,473,1395,1441
"COG0029",190,334,122,63,229,201,134,152,120,111,239,100
"COG0030",256,294,201,292,303,291,268,232,95,113,373,349
"COG0031",488,624,415,549,481,499,395,464,239,239,560,455
"COG0033",116,235,49,19,148,196,24,24,22,81,202,24
"COG0034",581,560,328,556,550,570,553,462,172,164,615,530
"COG0035",72,131,58,71,84,91,56,40,16,57,116,54
"COG0036",277,299,191,283,297,273,256,229,69,81,267,356
"COG0037",539,512,476,556,544,540,504,557,227,212,608,669
"COG0038",166,314,172,176,154,215,105,101,104,106,206,59
"COG0039",358,246,232,371,370,377,373,286,106,92,312,443
"COG0040",191,190,157,191,187,190,195,174,76,69,202,210
"COG0041",180,173,125,211,185,186,42,43,16,22,62,57
"COG0042",407,532,357,288,465,489,387,289,188,195,503,413
"COG0043",135,85,402,405,102,107,70,337,79,49,36,124
"COG0044",655,502,508,771,707,632,648,644,106,140,608,780
"COG0045",527,359,365,484,530,469,517,370,126,115,435,585
"COG0046",900,791,625,844,918,934,826,917,313,293,878,902
"COG0047",412,417,317,377,401,396,382,369,267,173,454,447
"COG0048",144,138,117,146,139,166,110,146,59,42,133,153
"COG0049",66,53,47,66,51,72,156,151,51,50,139,195
"COG0050",401,493,416,367,426,444,462,507,181,178,467,358
"COG0051",112,106,75,100,95,122,100,95,43,42,106,124
"COG0052",316,267,218,280,311,287,251,269,78,91,292,319
"COG0053",36,35,73,146,43,63,52,152,26,54,15,50
