"","Median TP count","Median FP count","Median true FDR","plotMD"
"1",0,0,NA,"m=3 d=10k"
"2",44,7,0.130506442912796,"m=3 d=100k"
"3",93,13.5,0.128073770491803,"m=3 d=500k"
"4",120,24,0.190142723756169,"m=3 d=1M"
"5",143,62,0.32591072689966,"m=3 d=5M"
"6",3.5,0,0,"m=5 d=10k"
"7",107.5,6,0.0557074805928017,"m=5 d=100k"
"8",129,18,0.127302165553532,"m=5 d=500k"
"9",151.5,16.5,0.0927220721436517,"m=5 d=1M"
"10",166.5,25.5,0.140218291075206,"m=5 d=5M"
"11",55.5,1,0.0169540229885057,"m=10 d=10k"
"12",158.5,6,0.0356462872858049,"m=10 d=100k"
"13",202.5,29,0.127148245173996,"m=10 d=500k"
"14",204,19,0.0856574923547401,"m=10 d=1M"
"15",228,39.5,0.150051951050566,"m=10 d=5M"
"16",148.5,2.5,0.0167220990391722,"m=30 d=10k"
"17",229.5,9.5,0.0389655114485864,"m=30 d=100k"
"18",263.5,26,0.08886925795053,"m=30 d=500k"
"19",279,59.5,0.175491494701617,"m=30 d=1M"
"20",285.5,71.5,0.196346128479092,"m=30 d=5M"
"21",170,2.5,0.0148120354488279,"m=50 d=10k"
"22",252,20,0.073665074886043,"m=50 d=100k"
"23",292.5,33,0.100189753320683,"m=50 d=500k"
"24",297.5,63.5,0.17497678595893,"m=50 d=1M"
"25",318,54.5,0.146028767979987,"m=50 d=5M"
"26",215,9,0.0383288121205411,"m=15 d=200k"
"27",159.5,15,0.0838934686112873,"m=6 d=500k"
"28",232,24,0.0871290545203589,"m=20 d=250k"
